@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,article-number,pii,prism:isbn,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132705916', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132705916?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132705916&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132705916&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132705916,SCOPUS_ID:85132705916,2-s2.0-85132705916,Performance of Machine Learning Techniques Before and After COVID-19 on Indian Foreign Exchange Rate,Pandey T.N.,"Smart Innovation, Systems and Technologies",21903018,21903026,271,,467-481,2022-01-01,2022,10.1007/978-981-16-8739-6_41,0,"[{'@_fa': 'true', 'affilname': 'Siksha O Anusandhan (Deemed to be University)', 'affiliation-city': 'Bhubaneswar', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,21100204111,0,False,,,,,"[{'@_fa': 'true', '$': '9789811687389'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85130547617', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85130547617?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130547617&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130547617&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85130547617,SCOPUS_ID:85130547617,2-s2.0-85130547617,"Towards Applicability of Artificial Intelligence in Healthcare, Banking and Education Sector",Pallathadka H.,ECS Transactions,19386737,19385862,107,1,16665-16671,2022-01-01,2022,10.1149/10701.16665ecst,0,"[{'@_fa': 'true', 'affilname': 'Manipur International University', 'affiliation-city': 'Imphal', 'affiliation-country': 'India'}]",Conference Proceeding,cp,Conference Paper,3400148107,0,False,,,,,"[{'@_fa': 'true', '$': '9781607685395'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85130097867', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85130097867?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130097867&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130097867&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85130097867,SCOPUS_ID:85130097867,2-s2.0-85130097867,Quantitative System Modeling of Financial Scenario Uncertainty based on Deep Learning in the Context of Algorithm Optimization,He Y.,"International Conference on Sustainable Computing and Data Communication Systems, ICSCDS 2022 - Proceedings",,,,,185-189,2022-01-01,2022,10.1109/ICSCDS53736.2022.9760800,0,"[{'@_fa': 'true', 'affilname': 'Jimei University', 'affiliation-city': 'Xiamen', 'affiliation-country': 'China'}]",Conference Proceeding,cp,Conference Paper,21101089003,0,False,,,,,"[{'@_fa': 'true', '$': '9781665478847'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129628117', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129628117?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129628117&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129628117&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85129628117,SCOPUS_ID:85129628117,2-s2.0-85129628117,How Artificial Intelligence Is Promoting Financial Inclusion? A Study On Barriers Of Financial Inclusion,Yasir A.,"2022 International Conference on Business Analytics for Technology and Security, ICBATS 2022",,,,,,2022-01-01,2022,10.1109/ICBATS54253.2022.9759038,0,"[{'@_fa': 'true', 'affilname': 'NCBAandE', 'affiliation-city': 'Lahore', 'affiliation-country': 'Pakistan'}]",Conference Proceeding,cp,Conference Paper,21101088232,0,False,,,,,"[{'@_fa': 'true', '$': '9781665409209'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128882169', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128882169?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128882169&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128882169&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128882169,SCOPUS_ID:85128882169,2-s2.0-85128882169,Advanced Machine Learning Scenarios for Real World Applications using Weka Platform,Madugula S.,"Proceedings of the International Conference on Electronics and Renewable Systems, ICEARS 2022",,,,,1215-1218,2022-01-01,2022,10.1109/ICEARS53579.2022.9752368,0,"[{'@_fa': 'true', 'affilname': 'Jyothishmathi Institute of Technology and Science', 'affiliation-city': 'Karimnagar', 'affiliation-country': 'India'}]",Conference Proceeding,cp,Conference Paper,21101087121,0,False,,,,,"[{'@_fa': 'true', '$': '9781665484251'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128828935', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128828935?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128828935&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128828935&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128828935,SCOPUS_ID:85128828935,2-s2.0-85128828935,Fast homomorphic SVM inference on encrypted data,Al Badawi A.,Neural Computing and Applications,09410643,14333058,,,,2022-01-01,2022,10.1007/s00521-022-07202-8,0,"[{'@_fa': 'true', 'affilname': 'Rabdan Academy', 'affiliation-city': 'Abu Dhabi', 'affiliation-country': 'United Arab Emirates'}]",Journal,ar,Article,24800,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128625756', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128625756?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128625756&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128625756&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128625756,SCOPUS_ID:85128625756,2-s2.0-85128625756,"The Past, Present, and Prospective Future of XAI: A Comprehensive Review",Islam M.U.,Studies in Computational Intelligence,1860949X,18609503,1025,,1-29,2022-01-01,2022,10.1007/978-3-030-96630-0_1,0,"[{'@_fa': 'true', 'affilname': 'University of Louisiana at Lafayette', 'affiliation-city': 'Lafayette', 'affiliation-country': 'United States'}]",Book Series,ch,Book Chapter,4900152708,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85127192101', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85127192101?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127192101&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127192101&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85127192101,SCOPUS_ID:85127192101,2-s2.0-85127192101,Design of a NLP-empowered finance fraud awareness model: the anti-fraud chatbot for fraud detection and fraud classification as an instance,Chang J.W.,Journal of Ambient Intelligence and Humanized Computing,18685137,18685145,,,,2022-01-01,2022,10.1007/s12652-021-03512-2,1,"[{'@_fa': 'true', 'affilname': 'National Taichung University of Science and Technology', 'affiliation-city': 'Taichung', 'affiliation-country': 'Taiwan'}]",Journal,ar,Article,19400158593,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85127044828', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85127044828?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127044828&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127044828&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85127044828,SCOPUS_ID:85127044828,2-s2.0-85127044828,Online Prediction of DGA Results for Intelligent Condition Monitoring of Power Transformers,Nandagopan G.,"PESGRE 2022 - IEEE International Conference on ""Power Electronics, Smart Grid, and Renewable Energy""",,,,,,2022-01-01,2022,10.1109/PESGRE52268.2022.9715908,0,"[{'@_fa': 'true', 'affilname': 'TKM College of Engineering', 'affiliation-city': 'Kollam', 'affiliation-country': 'India'}]",Conference Proceeding,cp,Conference Paper,21101082202,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,"[{'@_fa': 'true', '$': '9781665448376'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85126580536', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85126580536?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126580536&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126580536&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85126580536,SCOPUS_ID:85126580536,2-s2.0-85126580536,A Machine Learning Centered Approach for Uncovering Excavators' Last Known Location Using Bluetooth and Underground WSN,Kumari S.,Wireless Communications and Mobile Computing,15308669,15308677,2022,,,2022-01-01,2022,10.1155/2022/9160031,0,"[{'@_fa': 'true', 'affilname': 'Maharshi Dayanand University', 'affiliation-city': 'Rohtak', 'affiliation-country': 'India'}]",Journal,ar,Article,17543,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",9160031,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85126117602', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85126117602?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126117602&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126117602&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85126117602,SCOPUS_ID:85126117602,2-s2.0-85126117602,Digital Universal Financial Credit Risk Analysis Using Particle Swarm Optimization Algorithm with Structure Decision Tree Learning-Based Evaluation Model,Tian J.,Wireless Communications and Mobile Computing,15308669,15308677,2022,,,2022-01-01,2022,10.1155/2022/4060256,0,"[{'@_fa': 'true', 'affilname': 'Wuhan Donghu University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,ar,Article,17543,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",4060256,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125048013', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125048013?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125048013&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125048013&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125048013,SCOPUS_ID:85125048013,2-s2.0-85125048013,Artificial Intelligence Adoption in the Post COVID-19 New-Normal and Role of Smart Technologies in Transforming Business: a Review,Agarwal P.,Journal of Science and Technology Policy Management,20534620,20534639,,,,2022-01-01,2022,10.1108/JSTPM-08-2021-0122,1,"[{'@_fa': 'true', 'affilname': 'Dayalbagh Educational Institute', 'affiliation-city': 'Agra', 'affiliation-country': 'India'}]",Journal,re,Review,21100374809,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124831959', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124831959?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124831959&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124831959&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124831959,SCOPUS_ID:85124831959,2-s2.0-85124831959,Fraud-agents Detection in Online Microfinance: A Large-scale Empirical Study,Wu Y.,IEEE Transactions on Dependable and Secure Computing,15455971,19410018,,,,2022-01-01,2022,10.1109/TDSC.2022.3151132,1,"[{'@_fa': 'true', 'affilname': 'College of Computer Science and Technology, Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,28918,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123297919', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123297919?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123297919&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123297919&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123297919,SCOPUS_ID:85123297919,2-s2.0-85123297919,Automatic Credit Fraud Detection Using Ensemble Model,Srinidhi S.,Lecture Notes in Networks and Systems,23673370,23673389,314,,211-224,2022-01-01,2022,10.1007/978-981-16-5655-2_20,0,"[{'@_fa': 'true', 'affilname': 'SSN College of Engineering, Kalavakkam', 'affiliation-city': 'Kanchipuram', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,21100901469,0,False,,,,,"[{'@_fa': 'true', '$': '9789811656545'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122533573', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122533573?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122533573&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122533573&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122533573,SCOPUS_ID:85122533573,2-s2.0-85122533573,Real-Time Big Data Analysis Using Web Scraping in Apache Spark Environment: Case Study—Mobile Data Analysis from Flipkart,Ganguly P.,Lecture Notes in Electrical Engineering,18761100,18761119,806,,177-185,2022-01-01,2022,10.1007/978-981-16-6448-9_20,0,"[{'@_fa': 'true', 'affilname': 'Vellore Institute of Technology, Chennai', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,19700186822,0,False,,,,,"[{'@_fa': 'true', '$': '9789811664472'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121292607', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121292607?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121292607&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121292607&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85121292607,SCOPUS_ID:85121292607,2-s2.0-85121292607,What is the value of the cross-sectional approach to deep reinforcement learning?,Aboussalah A.M.,Quantitative Finance,14697688,14697696,22,6,1091-1111,2022-01-01,2022,10.1080/14697688.2021.2001032,1,"[{'@_fa': 'true', 'affilname': 'University of Toronto', 'affiliation-city': 'Toronto', 'affiliation-country': 'Canada'}]",Journal,ar,Article,16062,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115080653', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115080653?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115080653&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115080653&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115080653,SCOPUS_ID:85115080653,2-s2.0-85115080653,Evaluation of Neural Fuzzy Inference System and ML Algorithms for Prediction of Nifty Large Cap Companies Based Stock Values,Singh B.,Lecture Notes in Networks and Systems,23673370,23673389,307,,147-154,2022-01-01,2022,10.1007/978-3-030-85626-7_18,0,"[{'@_fa': 'true', 'affilname': 'Lovely Professional University', 'affiliation-city': 'Phagwara', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,21100901469,0,False,,,,,"[{'@_fa': 'true', '$': '9783030856250'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112524651', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112524651?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112524651&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112524651&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85112524651,SCOPUS_ID:85112524651,2-s2.0-85112524651,"Computing Conference, 2021",,Lecture Notes in Networks and Systems,23673370,23673389,283,,,2022-01-01,2022,,0,,Book Series,cr,Conference Review,21100901469,0,False,,,,,"[{'@_fa': 'true', '$': '9783030801182'}]",
