@_fa,link,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:isbn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,dc:creator,prism:doi,pii,affiliation,article-number,freetoread,freetoreadLabel,prism:issueIdentifier,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132836946', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132836946?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132836946&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132836946&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132836946,SCOPUS_ID:85132836946,2-s2.0-85132836946,Advance generalization technique through 3D CNN to overcome the false positives pedestrian in autonomous vehicles,Telecommunication Systems,10184864,15729451,,80,545-557,2022-08-01,August 2022,0,Journal,ar,Article,21916,0,False,Iftikhar S.,10.1007/s11235-022-00930-1,,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",,,,4,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85131413326', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85131413326?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131413326&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131413326&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0965856422001458'}",https://api.elsevier.com/content/abstract/scopus_id/85131413326,SCOPUS_ID:85131413326,2-s2.0-85131413326,A new curb lane monitoring and illegal parking impact estimation approach based on queueing theory and computer vision for cameras with low resolution and low frame rate,Transportation Research Part A: Policy and Practice,09658564,,,162,137-154,2022-08-01,August 2022,0,Journal,ar,Article,20891,0,False,Gao J.,10.1016/j.tra.2022.05.024,S0965856422001458,"[{'@_fa': 'true', 'affilname': 'NYU Tandon School of Engineering', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}]",,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85130809324', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85130809324?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130809324&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130809324&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261922006316'}",https://api.elsevier.com/content/abstract/scopus_id/85130809324,SCOPUS_ID:85130809324,2-s2.0-85130809324,Optimal deployment of distributed rooftop photovoltaic systems and batteries for achieving net-zero energy of electric bus transportation in high-density cities,Applied Energy,03062619,,,319,,2022-08-01,1 August 2022,0,Journal,ar,Article,28801,0,False,Ren H.,10.1016/j.apenergy.2022.119274,S0306261922006316,"[{'@_fa': 'true', 'affilname': 'City University of Hong Kong', 'affiliation-city': 'Kowloon', 'affiliation-country': 'Hong Kong'}]",119274,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129960792', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129960792?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129960792&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129960792&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0893608022001435'}",https://api.elsevier.com/content/abstract/scopus_id/85129960792,SCOPUS_ID:85129960792,2-s2.0-85129960792,Risk-based implementation of COLREGs for autonomous surface vehicles using deep reinforcement learning,Neural Networks,08936080,18792782,,152,17-33,2022-08-01,August 2022,0,Journal,ar,Article,24804,1,True,Heiberg A.,10.1016/j.neunet.2022.04.008,S0893608022001435,"[{'@_fa': 'true', 'affilname': 'Equinor ASA', 'affiliation-city': 'Stavanger', 'affiliation-country': 'Norway'}]",,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,35500457
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128727333', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128727333?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128727333&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128727333&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128727333,SCOPUS_ID:85128727333,2-s2.0-85128727333,Implementation of a Compact Traffic Signs Recognition System Using a New Squeezed YOLO,International Journal of Intelligent Transportation Systems Research,13488503,18688659,,20,466-482,2022-08-01,August 2022,1,Journal,ar,Article,19600157217,0,False,Khnissi K.,10.1007/s13177-022-00304-6,,"[{'@_fa': 'true', 'affilname': ""École Nationale Supérieure d'Ingénieurs de Tunis"", 'affiliation-city': 'Tunis', 'affiliation-country': 'Tunisia'}]",,,,2,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128580727', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128580727?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128580727&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128580727&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0045653522011018'}",https://api.elsevier.com/content/abstract/scopus_id/85128580727,SCOPUS_ID:85128580727,2-s2.0-85128580727,Evaluating the real changes of air quality due to clean air actions using a machine learning technique: Results from 12 Chinese mega-cities during 2013–2020,Chemosphere,00456535,18791298,,300,,2022-08-01,August 2022,0,Journal,ar,Article,24657,0,False,Guo Y.,10.1016/j.chemosphere.2022.134608,S0045653522011018,"[{'@_fa': 'true', 'affilname': 'Tsinghua University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Key Laboratory of Indoor Air Quality Evaluation and Control', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",134608,,,,35430204
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128204232', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128204232?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128204232&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128204232&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S107158192200060X'}",https://api.elsevier.com/content/abstract/scopus_id/85128204232,SCOPUS_ID:85128204232,2-s2.0-85128204232,Design patterns for human-AI co-learning: A wizard-of-Oz evaluation in an urban-search-and-rescue task,International Journal of Human Computer Studies,10715819,10959300,,164,,2022-08-01,August 2022,0,Journal,ar,Article,12960,1,True,Schoonderwoerd T.A.J.,10.1016/j.ijhcs.2022.102831,S107158192200060X,"[{'@_fa': 'true', 'affilname': 'Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO', 'affiliation-city': 'The Hague', 'affiliation-country': 'Netherlands'}]",102831,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122706625', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122706625?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122706625&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122706625&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122706625,SCOPUS_ID:85122706625,2-s2.0-85122706625,360 <sup>∘</sup> real-time and power-efficient 3D DAMOT for autonomous driving applications,Multimedia Tools and Applications,13807501,15737721,,81,26915-26940,2022-08-01,August 2022,0,Journal,ar,Article,25627,1,True,Gómez-Huélamo C.,10.1007/s11042-021-11624-2,,"[{'@_fa': 'true', 'affilname': 'Universidad de Alcalá', 'affiliation-city': 'Alcala de Henares', 'affiliation-country': 'Spain'}]",,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",19,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118984503', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118984503?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118984503&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118984503&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118984503,SCOPUS_ID:85118984503,2-s2.0-85118984503,Toward a real-time Smart Parking Data Management and Prediction (SPDMP) system by attributes representation learning,International Journal of Intelligent Systems,08848173,1098111X,,37,4437-4470,2022-08-01,August 2022,4,Journal,ar,Article,24305,0,False,Yang H.,10.1002/int.22725,,"[{'@_fa': 'true', 'affilname': 'University of Washington', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}]",,,,8,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85099108217', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85099108217?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099108217&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099108217&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85099108217,SCOPUS_ID:85099108217,2-s2.0-85099108217,HDSpeed: Hybrid Detection of Vehicle Speed via Acoustic Sensing on Smartphones,IEEE Transactions on Mobile Computing,15361233,15580660,,21,2833-2846,2022-08-01,1 August 2022,0,Journal,ar,Article,25038,0,False,Wu Y.,10.1109/TMC.2020.3048380,,"[{'@_fa': 'true', 'affilname': 'Beijing Institute of Technology', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,,,8,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121771453', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121771453?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121771453&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121771453&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85121771453,SCOPUS_ID:85121771453,2-s2.0-85121771453,SafeDriving: An Effective Abnormal Driving Behavior Detection System Based on EMG Signals,IEEE Internet of Things Journal,,23274662,,9,12338-12350,2022-07-15,15 July 2022,1,Journal,ar,Article,21100338350,0,False,Fan Y.,10.1109/JIOT.2021.3135512,,"[{'@_fa': 'true', 'affilname': 'Soochow University', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",,,,14,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133656263', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133656263?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133656263&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133656263&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133656263,SCOPUS_ID:85133656263,2-s2.0-85133656263,Dramatic changes in atmospheric pollution source contributions for a coastal megacity in northern China from 2011 to 2020,Atmospheric Chemistry and Physics,16807316,16807324,,22,8597-8615,2022-07-05,5 July 2022,0,Journal,ar,Article,12091,1,True,Liu B.,10.5194/acp-22-8597-2022,,"[{'@_fa': 'true', 'affilname': 'Nankai University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",13,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134344719', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134344719?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134344719&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134344719&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134344719,SCOPUS_ID:85134344719,2-s2.0-85134344719,Using Machine Learning to Efficiently Vaccinate Homebound Patients Against COVID-19: A Real-time Immunization Campaign,Journal of Medical Internet Research,,14388871,,24,,2022-07-01,1 July 2022,0,Journal,ar,Article,23709,1,True,Kumar A.,10.2196/37744,,"[{'@_fa': 'true', 'affilname': 'Icahn School of Medicine at Mount Sinai', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}]",e37744,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",7,35679053
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134223423', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134223423?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134223423&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134223423&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134223423,SCOPUS_ID:85134223423,2-s2.0-85134223423,The City as a Personal Assistant,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",,24749567,,6,,2022-07-01,July 2022,0,Journal,ar,Article,21101020041,1,True,Acer U.G.,10.1145/3534573,,"[{'@_fa': 'true', 'affilname': 'Nokia Bell Labs', 'affiliation-city': 'Murray', 'affiliation-country': 'United States'}]",40,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",2,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133674366', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133674366?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133674366&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133674366&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133674366,SCOPUS_ID:85133674366,2-s2.0-85133674366,Autonomous State-Based Flipper Control for Articulated Tracked Robots in Urban Environments,IEEE Robotics and Automation Letters,,23773766,,7,7794-7801,2022-07-01,1 July 2022,0,Journal,ar,Article,21100900379,0,False,Azayev T.,10.1109/LRA.2022.3185762,,"[{'@_fa': 'true', 'affilname': 'Czech Technical University in Prague', 'affiliation-city': 'Prague', 'affiliation-country': 'Czech Republic'}]",,,,3,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133218239', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133218239?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133218239&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133218239&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133218239,SCOPUS_ID:85133218239,2-s2.0-85133218239,Smart Attacks Learning Machine Advisor System for Protecting Smart Cities from Smart Threats,Applied Sciences (Switzerland),,20763417,,12,,2022-07-01,July-1 2022,0,Journal,ar,Article,21100829268,1,True,Ali H.,10.3390/app12136473,,"[{'@_fa': 'true', 'affilname': 'Mansoura University', 'affiliation-city': 'Mansoura', 'affiliation-country': 'Egypt'}]",6473,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",13,
