abstract,doi,downloadUrl,id,title,publishedDate,publisher,journals,database,query_name,query_value
"This research aims to explore and analyze the utilization of Artificial Intelligence (AI) as a reference in creating works in Visual Communication Design. The research method used is exploratory research, which aims to explore a specific topic or issue in more depth and gain a better understanding of it. The research procedure conducted includes: 1) Understanding keywords, 2) Testing the use of prompts on AI sites, and 3) Analyzing the data descriptively and analytically. The result obtained is that Artificial Intelligence (AI) image sites can be used as a reference in creating works of Visual Communication Design by deepening and clarifying the use of prompt sentences. The implication of this research is to consider the utilization of Artificial Intelligence (AI) image sites as a reference for creating works.Penelitian ini bertujuan untuk mengeksplorasi dan menganalisis pemanfaatan Artificial Intelligence (AI) sebagai referensi dalam membuat karya dalam Desain Komunikasi Visual. Metode penelitian yang digunakan yaitu penelitian eksploratif (exploratory research) yang bertujuan untuk menjelajahi topik atau isu tertentu secara lebih mendalam dan memperoleh pemahaman yang lebih baik tentang topik tersebut. Prosedur penelitian yang dilakukan yaitu: 1) Pemahaman kata kunci, 2) Uji coba penggunaan instruksi (prompt) pada situs-situs AI, 3) Analisa data secara deskriptif analitik. Hasil yang didapatkan yaitu situs-situs Gambar Artificial Intelligence (AI) dapat digunakan sebagai referensi dalam pembuatan karya Desain Komunikasi Visual dengan memperdalam dan memperjelas penggunaan kalimat instruksi (prompt). Implikasi dari penelitian ini yaitu menjadi pertimbangan pemanfaatan situs-situs gambar Artificial Intelligence (AI) sebagai referensi berkarya",10.30812/sasak.v5i1.2966,https://core.ac.uk/download/568525178.pdf,148539759,analisis pemanfaatan artificial intelligence (ai) sebagai referensi dalam desain komunikasi visual,2023-06-10T01:00:00,'STMIK Bumigora Mataram',[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"We present REMARK-LLM, a novel efficient, and robust watermarking framework
designed for texts generated by large language models (LLMs). Synthesizing
human-like content using LLMs necessitates vast computational resources and
extensive datasets, encapsulating critical intellectual property (IP). However,
the generated content is prone to malicious exploitation, including spamming
and plagiarism. To address the challenges, REMARK-LLM proposes three new
components: (i) a learning-based message encoding module to infuse binary
signatures into LLM-generated texts; (ii) a reparameterization module to
transform the dense distributions from the message encoding to the sparse
distribution of the watermarked textual tokens; (iii) a decoding module
dedicated for signature extraction; Furthermore, we introduce an optimized beam
search algorithm to guarantee the coherence and consistency of the generated
content. REMARK-LLM is rigorously trained to encourage the preservation of
semantic integrity in watermarked content, while ensuring effective watermark
retrieval. Extensive evaluations on multiple unseen datasets highlight
REMARK-LLM proficiency and transferability in inserting 2 times more signature
bits into the same texts when compared to prior art, all while maintaining
semantic integrity. Furthermore, REMARK-LLM exhibits better resilience against
a spectrum of watermark detection and removal attacks",,http://arxiv.org/abs/2310.12362,152091313,"remark-llm: a robust and efficient watermarking framework for generative
  large language models",2023-10-18T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
Article discussing the effects of artificial intelligence on the creative process in the art world,,https://core.ac.uk/download/591224401.pdf,152349809,ai and the creative process: part one,2023-10-24T08:00:00,Digital Commons@Lindenwood University,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Most experts agree that large language models (LLMs), such as those used by Copilot and ChatGPT, are expected to revo-
lutionize the way in which software is developed. Many papers are currently devoted to analyzing the potential advantages
and limitations of these generative AI models for writing code. However, the analysis of the current state of LLMs with
respect to software modeling has received little attention. In this paper, we investigate the current capabilities of ChatGPT to
perform modeling tasks and to assist modelers, while also trying to identify its main shortcomings. Our findings show that,
in contrast to code generation, the performance of the current version of ChatGPT for software modeling is limited, with
various syntactic and semantic deficiencies, lack of consistency in responses and scalability issues. We also outline our views
on how we perceive the role that LLMs can play in the software modeling discipline in the short term, and how the modeling
community can help to improve the current capabilities of ChatGPT and the coming LLMs for software modeling.Funding for open access publishing: Universidad de Málaga/ CBU",10.1007/s10270-023-01105-5,https://core.ac.uk/download/588388028.pdf,150436806,on the assessment of generative ai in modeling tasks: an experience report with chatgpt and uml,2023-01-01T00:00:00,Springer,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Large language models such as ChatGPT-3.5 and GPT-4.0 are ubiquitous and
dominate the current discourse. Their transformative capabilities have led to a
paradigm shift in how we interact with and utilize (text-based) information.
Each day, new possibilities to leverage the capabilities of these models
emerge. This paper presents findings on the performance of different large
language models in a university of applied sciences' undergraduate computer
science degree program. Our primary objective is to assess the effectiveness of
these models within the curriculum by employing them as educational aids. By
prompting the models with lecture material, exercise tasks, and past exams, we
aim to evaluate their proficiency across different computer science domains. We
showcase the strong performance of current large language models while
highlighting limitations and constraints within the context of such a degree
program. We found that ChatGPT-3.5 averaged 79.9% of the total score in 10
tested modules, BingAI achieved 68.4%, and LLaMa, in the 65 billion parameter
variant, 20%. Despite these convincing results, even GPT-4.0 would not pass the
degree program - due to limitations in mathematical calculations.Comment: Submitted to AI4AI Workshop 202",,http://arxiv.org/abs/2308.02432,144991567,"performance of large language models in a computer science degree
  program",2023-07-24T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"The growth of artificial intelligence (AI) is being referred to as the beginning of ""the fourth industrial revolution"". With the rapid development of hardware, algorithms, and applications, AI not only provides a new concept and relevant solutions to solve the problem of complexity science but also provides a new concept and method to promote the development of traditional Chinese medicine (TCM). In this study, based on the research and development of AI technology applications in biomedical and clinical diagnosis and treatment, we introduce AI technologies in current TCM research. This can have applications in intelligent clinical information acquisition, intelligent clinical decision, and efficacy evaluation of TCM; intelligent classification management, intelligent prescription, and drug research in Chinese herbal medicine; and health management. Furthermore, we propose a framework of ""intelligent TCM"" and outline its development prospects",10.61797/ijaaiml.v2i2.121,https://core.ac.uk/download/595875541.pdf,154163773,combining artificial intelligence with traditional chinese medicine for intelligent health management,2021-12-15T00:00:00,Research Lake International Inc.,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Public debate about AI is dominated by Frankenstein Syndrome, the fear that AI will become superhuman and escape human control. Although superintelligence is certainly a possibility, the interest it excites can distract the public from a more imminent concern: the rise of Artificial Stupidity (AS). This article discusses the roots of Frankenstein Syndrome in Mary Shelley’s famous novel of 1818. It then provides a philosophical framework for analysing the stupidity of artificial agents, demonstrating that modern intelligent systems can be seen to suffer from ‘stupidity of judgement’. Finally it identifies an alternative literary tradition that exposes the perils and benefits of AS. In the writings of Edmund Spenser, Jonathan Swift and E.T.A. Hoffmann, ASs replace, enslave or delude their human users. More optimistically, Joseph Furphy and Laurence Sterne imagine ASs that can serve human intellect as maps or as pipes. These writers provide a strong counternarrative to the myths that currently drive the AI debate. They identify ways in which even stupid artificial agents can evade human control, for instance by appealing to stereotypes or distancing us from reality. And they underscore the continuing importance of the literary imagination in an increasingly automated society",10.1080/03080188.2020.1840219,https://core.ac.uk/download/334410702.pdf,8228882,artificial stupidity,2020-07-01T00:00:00,'Informa UK Limited',[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"This papers explores the question of human authorship when works are created
with generative AI tools.Comment: 3 figure",,http://arxiv.org/abs/2309.13055,149799493,originality and the future of copyright in an age of generative ai,2023-09-07T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"The explosion in the performance of Machine Learning (ML) and the potential
of its applications are strongly encouraging us to consider its use in
industrial systems, including for critical functions such as decision-making in
autonomous systems. While the AI community is well aware of the need to ensure
the trustworthiness of AI-based applications, it is still leaving too much to
one side the issue of safety and its corollary, regulation and standards,
without which it is not possible to certify any level of safety, whether the
systems are slightly or very critical.The process of developing and qualifying
safety-critical software and systems in regulated industries such as aerospace,
nuclear power stations, railways or automotive industry has long been well
rationalized and mastered. They use well-defined standards, regulatory
frameworks and processes, as well as formal techniques to assess and
demonstrate the quality and safety of the systems and software they develop.
However, the low level of formalization of specifications and the uncertainties
and opacity of machine learning-based components make it difficult to validate
and verify them using most traditional critical systems engineering methods.
This raises the question of qualification standards, and therefore of
regulations adapted to AI. With the AI Act, the European Commission has laid
the foundations for moving forward and building solid approaches to the
integration of AI-based applications that are safe, trustworthy and respect
European ethical values. The question then becomes ""How can we rise to the
challenge of certification and propose methods and tools for trusted artificial
intelligence?",,http://arxiv.org/abs/2311.06263,153804337,no trust without regulation!,2023-09-27T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"The ease of using a Large Language Model (LLM) to answer a wide variety of
queries and their high availability has resulted in LLMs getting integrated
into various applications. LLM-based recommenders are now routinely used by
students as well as professional software programmers for code generation and
testing. Though LLM-based technology has proven useful, its unethical and
unattributed use by students and professionals is a growing cause of concern.
As such, there is a need for tools and technologies which may assist teachers
and other evaluators in identifying whether any portion of a source code is LLM
generated.
  In this paper, we propose a neural network-based tool that instructors can
use to determine the original effort (and LLM's contribution) put by students
in writing source codes. Our tool is motivated by minimum description length
measures like Kolmogorov complexity. Our initial experiments with moderate
sized (up to 500 lines of code) have shown promising results that we report in
this paper",,http://arxiv.org/abs/2307.04492,144552838,calculating originality of llm assisted source code,2023-07-10T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"This paper analyses a visual archive of drawings produced by an interactive
robotic art installation where audience members narrated their dreams into a
system powered by CLIPdraw deep learning (DL) model that interpreted and
transformed their dreams into images. The resulting archive of prompt-image
pairs were examined and clustered based on concept representation accuracy. As
a result of the analysis, the paper proposes four groupings for describing and
explaining CLIP-generated results: clear concept, text-to-text as image,
indeterminacy and confusion, and lost in translation. This article offers a
glimpse into a collection of dreams interpreted, mediated and given form by
Artificial Intelligence (AI), showcasing oftentimes unexpected, visually
compelling or, indeed, the dream-like output of the system, with the emphasis
on processes and results of translations between languages, sign-systems and
various modules of the installation. In the end, the paper argues that proposed
clusters support better understanding of the neural model",,http://arxiv.org/abs/2306.07429,143380317,explaining clip through co-creative drawings and interaction,2023-06-12T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"This paper argues that if we are to come to creative terms with AI image-making then we must critically interrogate these new tools in the production of creative works. In doing so, designers can start to chart new creative workflows that integrate AI for image-making while augmenting and then evolving our current ways of designing. Workflows are shown that relate to how AI models can augment human creativity in hybrid (human and AI) creative endeavors while taking advantage of the affordances of these technologies",,https://core.ac.uk/download/588868937.pdf,150879228,giving up control: hybrid ai-augmented workflows for image-making,2023-10-17T08:00:00,Digital Scholarship@UNLV,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"In recent years there has been growing interest in artificial neural networks (ANNs) which are quickly becoming the primary device for machine learning. Used for finding patterns in large data sets, ANNs were also recently employed in many artistic contexts: as tools for artists, semi-independent creators of content, and even as invisible ""critics"" which / who predict our aesthetic preferences. The aim of this paper is to speculate about the disruptive effect of these ‘alien agencies’ on the (modernist) aesthetic regime of art centred around the notion of autonomy. The author examines how neural networks and connectionist epistemologies may potentially affect the most common ways of producing, circulating, and valorising art. He claims that the possibility of automatizing creativity and art criticism may lead to the emergence of a new aesthetic regime based on forms of dynamic, distributed and probabilistic governance",10.14236/ewic/evac18.19,https://core.ac.uk/download/196611257.pdf,57214074,the dawn of the dead : (improbable) art after ai-zombie apocalypse,2018-01-01T00:00:00,'BCS Learning and Development Limited',[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"This essay explains complementary frameworks for understanding and managing AI in usage contexts. In contrast with broad generalizations about the nature and impact of AI, those frameworks focus on specific AI-based digital agents used by people and/or machines performing purposeful activities in business, home, or societal environments. The agent responsibility (AR) framework helps in describing roles and responsibilities of specific AI-based digital agents in their usage contexts. The agent evaluation (AE) framework identifies six criteria that different stakeholders might use for evaluating AI-based digital agents",,https://core.ac.uk/download/552657985.pdf,137210499,how can you verify that i am using ai? complementary frameworks for describing and evaluating ai-based digital agents in their usage contexts,2023-01-03T00:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"To apply eyeshadow without a brush, should I use a cotton swab or a
toothpick? Questions requiring this kind of physical commonsense pose a
challenge to today's natural language understanding systems. While recent
pretrained models (such as BERT) have made progress on question answering over
more abstract domains - such as news articles and encyclopedia entries, where
text is plentiful - in more physical domains, text is inherently limited due to
reporting bias. Can AI systems learn to reliably answer physical common-sense
questions without experiencing the physical world? In this paper, we introduce
the task of physical commonsense reasoning and a corresponding benchmark
dataset Physical Interaction: Question Answering or PIQA. Though humans find
the dataset easy (95% accuracy), large pretrained models struggle (77%). We
provide analysis about the dimensions of knowledge that existing models lack,
which offers significant opportunities for future research.Comment: AAAI 202",10.1609/aaai.v34i05.6239,http://arxiv.org/abs/1911.11641,89589990,piqa: reasoning about physical commonsense in natural language,2019-11-26T00:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"In an educational landscape dramatically altered by the swift proliferation
of Large Language Models, this essay interrogates the urgent this essay
interrogates the urgent pedagogical modifications required in secondary
schooling. Anchored in Madeline Grumet's triadic framework of curriculum
inquiry, the study delineates the multifaceted relationship between Generative
AI and Elliot Eisner's explicit, implicit, and null curriculum concepts. It
scrutinizes the logistical and ethical challenges, such as the reliability of
AI detectors, that educators confront when attempting to assimilate this
nascent technology into long-standing curricular structures. Engaging with Ted
Aoki's theory of the ""zone of between"", the essay illuminates educators'
dilemmas in reconciling prescriptive curricular aims with the fluid realities
of classroom life, all within an educational milieu in constant flux due to
Generative AI. The paper culminates in a reflective analysis by the researcher,
identifying avenues for further scholarly investigation within each of Grumet's
constitutive strands of curriculum theory, thereby providing a roadmap for
future research on Generative AI's transformative impact on educational
practice.Comment: 14 page",,http://arxiv.org/abs/2309.13053,149799103,using curriculum theory to inform approaches to generative ai in schools,2023-09-07T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"An important challenge for safety in machine learning and artificial
intelligence systems is a~set of related failures involving specification
gaming, reward hacking, fragility to distributional shifts, and Goodhart's or
Campbell's law. This paper presents additional failure modes for interactions
within multi-agent systems that are closely related. These multi-agent failure
modes are more complex, more problematic, and less well understood than the
single-agent case, and are also already occurring, largely unnoticed. After
motivating the discussion with examples from poker-playing artificial
intelligence (AI), the paper explains why these failure modes are in some
senses unavoidable. Following this, the paper categorizes failure modes,
provides definitions, and cites examples for each of the modes: accidental
steering, coordination failures, adversarial misalignment, input spoofing and
filtering, and goal co-option or direct hacking. The paper then discusses how
extant literature on multi-agent AI fails to address these failure modes, and
identifies work which may be useful for the mitigation of these failure modes.Comment: 12 Pages, This version re-submitted to Big Data and Cognitive
  Computing, Special Issue ""Artificial Superintelligence: Coordination &
  Strategy",10.3390/bdcc3020021,http://arxiv.org/abs/1810.10862,54163227,"multiparty dynamics and failure modes for machine learning and
  artificial intelligence",2019-04-01T01:00:00,'MDPI AG',"[{'title': 'Big Data and Cognitive Computing', 'identifiers': ['2504-2289', 'issn:2504-2289']}]",core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"With the rapid growth of language-learning models like ChatGPT, academia has been forced to reckon with the way the tool can be used as a citation source. However, given the secrecy of the tool\u27s dataset and its inability to provide sources for the information it provides, the question of if using it is plagiarism has become more pressing. Examining fanfiction as a source for how plagiarism and AI has been dealt with, the paper examines the paradox of citing ChatGPT and other models like it and the central question of how and when we can use it and use it ethically",,https://core.ac.uk/download/588592139.pdf,150533677,“source?” “i made it up”: the ethics of citing chatgpt in academia,2023-07-01T08:00:00,Scholarship@Western,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Large language models (LLMs) have enabled remarkable advances in automated
task-solving with multi-agent systems. However, most existing LLM-based
multi-agent approaches rely on predefined agents to handle simple tasks,
limiting the adaptability of multi-agent collaboration to different scenarios.
Therefore, we introduce AutoAgents, an innovative framework that adaptively
generates and coordinates multiple specialized agents to build an AI team
according to different tasks. Specifically, AutoAgents couples the relationship
between tasks and roles by dynamically generating multiple required agents
based on task content and planning solutions for the current task based on the
generated expert agents. Multiple specialized agents collaborate with each
other to efficiently accomplish tasks. Concurrently, an observer role is
incorporated into the framework to reflect on the designated plans and agents'
responses and improve upon them. Our experiments on various benchmarks
demonstrate that AutoAgents generates more coherent and accurate solutions than
the existing multi-agent methods. This underscores the significance of
assigning different roles to different tasks and of team cooperation, offering
new perspectives for tackling complex tasks. The repository of this project is
available at https://github.com/Link-AGI/AutoAgents",,http://arxiv.org/abs/2309.17288,152053194,autoagents: a framework for automatic agent generation,2023-10-15T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"We introduce SwiftSage, a novel agent framework inspired by the dual-process
theory of human cognition, designed to excel in action planning for complex
interactive reasoning tasks. SwiftSage integrates the strengths of behavior
cloning and prompting large language models (LLMs) to enhance task completion
performance. The framework comprises two primary modules: the Swift module,
representing fast and intuitive thinking, and the Sage module, emulating
deliberate thought processes. The Swift module is a small encoder-decoder LM
fine-tuned on the oracle agent's action trajectories, while the Sage module
employs LLMs such as GPT-4 for subgoal planning and grounding. We develop a
heuristic method to harmoniously integrate the two modules, resulting in a more
efficient and robust problem-solving process. In 30 tasks from the ScienceWorld
benchmark, SwiftSage significantly outperforms other methods such as SayCan,
ReAct, and Reflexion, demonstrating its effectiveness in solving complex
real-world tasks.Comment: Project website: https://yuchenlin.xyz/swiftsage",,http://arxiv.org/abs/2305.17390,143041943,"swiftsage: a generative agent with fast and slow thinking for complex
  interactive tasks",2023-05-27T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
