@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
true,2021-10-20T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2212827121008519', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2212827121008519?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.procir.2021.10.010,https://api.elsevier.com/content/article/pii/S2212827121008519,Trends In Machine Learning To Solve Problems In Logistics,Amita Singh,Procedia CIRP,103,2021-12-31,67,72,10.1016/j.procir.2021.10.010,True,S2212827121008519,"{'author': [{'$': 'Amita Singh'}, {'$': 'Magnus Wiktorsson'}, {'$': 'Jannicke Baalsrud Hauge'}]}"
true,2021-08-20T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1472811721000999', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1472811721000999?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ijme.2021.100550,https://api.elsevier.com/content/article/pii/S1472811721000999,Artificial intelligence in business curriculum: The pedagogy and learning outcomes,Jennifer J. Xu,The International Journal of Management Education,19,2021-11-30,100550,,10.1016/j.ijme.2021.100550,False,S1472811721000999,"{'author': [{'$': 'Jennifer J. Xu'}, {'$': 'Tamara Babaian'}]}"
true,2021-03-30T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2352154621000413', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2352154621000413?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cobeha.2021.02.019,https://api.elsevier.com/content/article/pii/S2352154621000413,Reinforcement-guided learning in frontal neocortex: emerging computational concepts,Abhishek Banerjee,Current Opinion in Behavioral Sciences,38,2021-04-30,133,140,10.1016/j.cobeha.2021.02.019,False,S2352154621000413,"{'author': [{'$': 'Abhishek Banerjee'}, {'$': 'Rajeev V Rikhye'}, {'$': 'Adam Marblestone'}]}"
true,2020-02-06T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S092523122030179X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S092523122030179X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neucom.2020.02.004,https://api.elsevier.com/content/article/pii/S092523122030179X,Correlation minimizing replay memory in temporal-difference reinforcement learning,Mirza Ramicic,Neurocomputing,393,2020-06-14,91,100,10.1016/j.neucom.2020.02.004,False,S092523122030179X,"{'author': [{'$': 'Mirza Ramicic'}, {'$': 'Andrea Bonarini'}]}"
true,2021-04-14T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2405896320329840', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2405896320329840?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ifacol.2020.12.2317,https://api.elsevier.com/content/article/pii/S2405896320329840,Cascade Attribute Network: Decomposing Reinforcement Learning Control Policies using Hierarchical Neural Networks,Haonan Chang,IFAC-PapersOnLine,53,2020-12-31,8181,8186,10.1016/j.ifacol.2020.12.2317,False,S2405896320329840,"{'author': [{'$': 'Haonan Chang'}, {'$': 'Zhuo Xu'}, {'$': 'Masayoshi Tomizuka'}]}"
true,2021-08-25T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950705121007012', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950705121007012?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.knosys.2021.107439,https://api.elsevier.com/content/article/pii/S0950705121007012,Local2Global: Unsupervised multi-view deep graph representation learning with Nearest Neighbor Constraint,Xiaobo Zhang,Knowledge-Based Systems,231,2021-11-14,107439,,10.1016/j.knosys.2021.107439,False,S0950705121007012,"{'author': [{'$': 'Xiaobo Zhang'}, {'$': 'Yan Yang'}, {'$': 'Hao Wang'}]}"
true,2021-04-06T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0925231221005154', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0925231221005154?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neucom.2021.03.123,https://api.elsevier.com/content/article/pii/S0925231221005154,Self-supervised graph representation learning via bootstrapping,Feihu Che,Neurocomputing,456,2021-10-07,88,96,10.1016/j.neucom.2021.03.123,False,S0925231221005154,"{'author': [{'$': 'Feihu Che'}, {'$': 'Guohua Yang'}, {'$': 'Tong Liu'}]}"
true,2020-12-25T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950705120308145', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950705120308145?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.knosys.2020.106685,https://api.elsevier.com/content/article/pii/S0950705120308145,Explainability in deep reinforcement learning,Alexandre Heuillet,Knowledge-Based Systems,214,2021-02-28,106685,,10.1016/j.knosys.2020.106685,False,S0950705120308145,"{'author': [{'$': 'Alexandre Heuillet'}, {'$': 'Fabien Couthouis'}, {'$': 'Natalia Díaz-Rodríguez'}]}"
true,2021-09-09T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0952197621002992', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0952197621002992?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.engappai.2021.104451,https://api.elsevier.com/content/article/pii/S0952197621002992,Quantum deep reinforcement learning for rotor side converter control of double-fed induction generator-based wind turbines,Linfei Yin,Engineering Applications of Artificial Intelligence,106,2021-11-30,104451,,10.1016/j.engappai.2021.104451,False,S0952197621002992,"{'author': [{'$': 'Linfei Yin'}, {'$': 'Lichun Chen'}, {'$': 'Fang Gao'}]}"
true,2021-03-01T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2352154621000280', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2352154621000280?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cobeha.2021.02.006,https://api.elsevier.com/content/article/pii/S2352154621000280,Hebbian learning revisited and its inference underlying cognitive function,Sukbin Lim,Current Opinion in Behavioral Sciences,38,2021-04-30,96,102,10.1016/j.cobeha.2021.02.006,False,S2352154621000280,{'author': 'Sukbin Lim'}
true,2021-10-23T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0360128521000654', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0360128521000654?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.pecs.2021.100967,https://api.elsevier.com/content/article/pii/S0360128521000654,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions",Masoud Aliramezani,Progress in Energy and Combustion Science,88,2022-01-31,100967,,10.1016/j.pecs.2021.100967,False,S0360128521000654,"{'author': [{'$': 'Masoud Aliramezani'}, {'$': 'Charles Robert Koch'}, {'$': 'Mahdi Shahbakhti'}]}"
true,2021-07-05T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780128203521001085', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780128203521001085?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-12-820352-1.00108-5,https://api.elsevier.com/content/article/pii/B9780128203521001085,"Artificial Intelligence and Machine Learning: New Age Tools for Augmenting Plastic Materials Designing, Processing, and Manufacturing",Kisor Kumar Sahu,Reference Module in Materials Science and Materials Engineering,,2021-12-31,,,10.1016/B978-0-12-820352-1.00108-5,False,B9780128203521001085,"{'author': [{'$': 'Kisor Kumar Sahu'}, {'$': 'Shibu Meher'}, {'$': 'Shreeja Das'}]}"
true,2020-09-22T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2212827120307435', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2212827120307435?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.procir.2020.04.109,https://api.elsevier.com/content/article/pii/S2212827120307435,Systematic review on machine learning (ML) methods for manufacturing processes – Identifying artificial intelligence (AI) methods for field application,Simon Fahle,Procedia CIRP,93,2020-12-31,413,418,10.1016/j.procir.2020.04.109,True,S2212827120307435,"{'author': [{'$': 'Simon Fahle'}, {'$': 'Christopher Prinz'}, {'$': 'Bernd Kuhlenkötter'}]}"
true,2021-10-16T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0952197621003523', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0952197621003523?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.engappai.2021.104504,https://api.elsevier.com/content/article/pii/S0952197621003523,Machine learning applications in power system fault diagnosis: Research advancements and perspectives,Rachna Vaish,Engineering Applications of Artificial Intelligence,106,2021-11-30,104504,,10.1016/j.engappai.2021.104504,False,S0952197621003523,"{'author': [{'$': 'Rachna Vaish'}, {'$': 'U. D. Dwivedi'}, {'$': 'S. M. Tripathi'}]}"
true,2020-10-21T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S004578252030637X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S004578252030637X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cma.2020.113452,https://api.elsevier.com/content/article/pii/S004578252030637X,Hierarchical Deep Learning Neural Network (HiDeNN): An artificial intelligence (AI) framework for computational science and engineering,Sourav Saha,Computer Methods in Applied Mechanics and Engineering,373,2021-01-01,113452,,10.1016/j.cma.2020.113452,False,S004578252030637X,"{'author': [{'$': 'Sourav Saha'}, {'$': 'Zhengtao Gan'}, {'$': 'Wing Kam Liu'}]}"
true,2021-07-27T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1361841521002395', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1361841521002395?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.media.2021.102193,https://api.elsevier.com/content/article/pii/S1361841521002395,Deep reinforcement learning in medical imaging: A literature review,S. Kevin Zhou,Medical Image Analysis,73,2021-10-31,102193,,10.1016/j.media.2021.102193,False,S1361841521002395,"{'author': [{'$': 'S. Kevin Zhou'}, {'$': 'Hoang Ngan Le'}, {'$': 'Nicholas Ayache'}]}"
true,2021-05-13T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0967586821002241', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0967586821002241?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jocn.2021.04.043,https://api.elsevier.com/content/article/pii/S0967586821002241,Machine learning applications to neuroimaging for glioma detection and classification: An artificial intelligence augmented systematic review,Quinlan D. Buchlak,Journal of Clinical Neuroscience,89,2021-07-31,177,198,10.1016/j.jocn.2021.04.043,False,S0967586821002241,"{'author': [{'$': 'Quinlan D. Buchlak'}, {'$': 'Nazanin Esmaili'}, {'$': 'Massimo Piccardi'}]}"
true,2020-06-10T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S136403212030191X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S136403212030191X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.rser.2020.109899,https://api.elsevier.com/content/article/pii/S136403212030191X,Artificial intelligence and machine learning approaches to energy demand-side response: A systematic review,Ioannis Antonopoulos,Renewable and Sustainable Energy Reviews,130,2020-09-30,109899,,10.1016/j.rser.2020.109899,True,S136403212030191X,"{'author': [{'$': 'Ioannis Antonopoulos'}, {'$': 'Valentin Robu'}, {'$': 'Steve Wattam'}]}"
true,2021-10-07T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0020025521010331', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0020025521010331?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ins.2021.10.025,https://api.elsevier.com/content/article/pii/S0020025521010331,Adaptive operator selection with reinforcement learning,Rafet Durgut,Information Sciences,581,2021-12-31,773,790,10.1016/j.ins.2021.10.025,False,S0020025521010331,"{'author': [{'$': 'Rafet Durgut'}, {'$': 'Mehmet Emin Aydin'}, {'$': 'Ibrahim Atli'}]}"
true,2021-07-12T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1932227521000318', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1932227521000318?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.anclin.2021.03.012,https://api.elsevier.com/content/article/pii/S1932227521000318,"Machine Learning, Deep Learning, and Closed Loop Devices—Anesthesia Delivery",Theodora Wingert,Anesthesiology Clinics,39,2021-09-30,565,581,10.1016/j.anclin.2021.03.012,False,S1932227521000318,"{'author': [{'$': 'Theodora Wingert'}, {'$': 'Christine Lee'}, {'$': 'Maxime Cannesson'}]}"
true,2021-05-14T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0166223621000771', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0166223621000771?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.tins.2021.04.005,https://api.elsevier.com/content/article/pii/S0166223621000771,Deep learning and the Global Workspace Theory,Rufin VanRullen,Trends in Neurosciences,44,2021-09-30,692,704,10.1016/j.tins.2021.04.005,False,S0166223621000771,"{'author': [{'$': 'Rufin VanRullen'}, {'$': 'Ryota Kanai'}]}"
true,2020-04-06T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S092523122030432X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S092523122030432X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neucom.2020.03.059,https://api.elsevier.com/content/article/pii/S092523122030432X,"Advances in artificial neural networks, machine learning and computational intelligence",Luca Oneto,Neurocomputing,416,2020-11-27,172,176,10.1016/j.neucom.2020.03.059,False,S092523122030432X,"{'author': [{'$': 'Luca Oneto'}, {'$': 'Kerstin Bunte'}, {'$': 'Alessandro Sperduti'}]}"
true,2021-08-25T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S221420962100067X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S221420962100067X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.vehcom.2021.100398,https://api.elsevier.com/content/article/pii/S221420962100067X,Deep reinforcement learning techniques for vehicular networks: Recent advances and future trends towards 6G,Abdelkader Mekrache,Vehicular Communications,,2021-08-25,100398,,10.1016/j.vehcom.2021.100398,False,S221420962100067X,"{'author': [{'$': 'Abdelkader Mekrache'}, {'$': 'Abbas Bradai'}, {'$': 'Samir Dawaliby'}]}"
true,2020-09-18T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0957582020317559', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0957582020317559?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.psep.2020.09.038,https://api.elsevier.com/content/article/pii/S0957582020317559,Review and analysis of supervised machine learning algorithms for hazardous events in drilling operations,Augustine Uhunoma Osarogiagbon,Process Safety and Environmental Protection,147,2021-03-31,367,384,10.1016/j.psep.2020.09.038,False,S0957582020317559,"{'author': [{'$': 'Augustine Uhunoma Osarogiagbon'}, {'$': 'Faisal Khan'}, {'$': 'Paul Gillard'}]}"
true,2021-08-28T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0169409X2100315X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0169409X2100315X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.addr.2021.113922,https://api.elsevier.com/content/article/pii/S0169409X2100315X,Artificial intelligence and machine learning assisted drug delivery for effective treatment of infectious diseases,Sheng He,Advanced Drug Delivery Reviews,178,2021-11-30,113922,,10.1016/j.addr.2021.113922,False,S0169409X2100315X,"{'author': [{'$': 'Sheng He'}, {'$': 'Leon G. Leanse'}, {'$': 'Yanfang Feng'}]}"
true,2020-05-20T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S037704272030282X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S037704272030282X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cam.2020.112991,https://api.elsevier.com/content/article/pii/S037704272030282X,Analysis on block chain financial transaction under artificial neural network of deep learning,Wenyou Gao,Journal of Computational and Applied Mathematics,380,2020-12-15,112991,,10.1016/j.cam.2020.112991,False,S037704272030282X,"{'author': [{'$': 'Wenyou Gao'}, {'$': 'Chang Su'}]}"
true,2020-12-01T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1574013720304172', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1574013720304172?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cosrev.2020.100317,https://api.elsevier.com/content/article/pii/S1574013720304172,Deep Learning Algorithms for Cybersecurity Applications: A Technological and Status Review,Priyanka Dixit,Computer Science Review,39,2021-02-28,100317,,10.1016/j.cosrev.2020.100317,False,S1574013720304172,"{'author': [{'$': 'Priyanka Dixit'}, {'$': 'Sanjay Silakari'}]}"
