paperId,url,title,abstract,venue,year,id,type
bc65f99c5fc710d8f2a2ae3445af367f2eb98a60,https://www.semanticscholar.org/paper/bc65f99c5fc710d8f2a2ae3445af367f2eb98a60,Multilevel Darwinist Brain: Context Nodes in a Network Memory Inspired Long Term Memory,"The Multilevel Darwinist Brain (MDB) is a cognitive architecture aimed at providing autonomous and self-motivated life-long learning capabilities for robots. This paper deals with a new structure and implementation for the long term memory (LTM) in MDB based on Fuster’s concept of Network memory and on the introduction of a new type of node or cognit called Context Node (Cnode). The idea of Network memory as proposed here, provides a path to hierarchically and progressively relate LTM knowledge elements, allowing for a developmental approach to learning that permits very efficient experience based responses from the robot. We include a simple, albeit quite illustrative, example of the application of these ideas using a real Baxter robot.",IWINAC,2017,11,filtered
dcbbe1d306b7ef25c2e9c5a5ba1599d79d03909c,https://www.semanticscholar.org/paper/dcbbe1d306b7ef25c2e9c5a5ba1599d79d03909c,Motivational engine with autonomous sub-goal identification for the Multilevel Darwinist Brain,"Abstract This work proposes a motivational system for an autonomous robot that guides the fulfillment of its goals in a developmental manner, discovering sub-goals not only as a way to simplify goal achievement, but as a way to acquire knowledge in an incremental, modular and reusable fashion. This system has been called MotivEn (Motivational Engine) and we have carried out its initial integration within the Multilevel Darwinist Brain (MDB) cognitive architecture. We describe here the main elements of MotivEn and how they improve the current MDB operation. Moreover, we present in detail a specific implementation of MotivEn and the application results obtained in terms of sub-goal identification when applying it in a real robot experiment with the MDB.",BICA 2016,2016,12,filtered
102f3f5f75401b1a70a6d3af4cf6f5df11ecb925,https://www.semanticscholar.org/paper/102f3f5f75401b1a70a6d3af4cf6f5df11ecb925,Introducing Synaptic Delays in the NEAT Algorithm to Improve Modelling in Cognitive Robotics,"This paper describes and tests an approach to improve the temporal processing capabilities of the neuroevolution of augmenting topologies (NEAT) algorithm. This algorithm is quite popular within the robotics community for the production of trained neural networks without having to determine a priori their size and topology. The main drawback of the traditional NEAT algorithm is that, even though it can implement recurrent synaptic connections, which allow it to perform some time related processing tasks, its capabilities are rather limited, especially when dealing with precise time dependent phenomena. NEAT’s ability to capture the underlying dynamics that correspond to complex time series still has a lot of room for improvement. To address this issue, the paper describes a new implementation of the NEAT algorithm that is able to generate artificial neural networks (ANNs) with trainable time delayed synapses in addition to its previous capacities. We show that this approach, called tao-NEAT improves the behavior of the neural networks obtained when dealing with complex time related processes. Several examples are presented, both dealing with the generation of ANNs that are able to produce complex theoretical signals such as chaotic signals or real data series, as in the case of the monthly number of international airline passengers or monthly $$\hbox {CO}_{2}$$CO2 concentrations. In these examples, t-NEAT clearly improves over the traditional NEAT algorithm in these tasks. A final example of the integration of this approach within a robot cognitive mechanism is also presented, showing the clear improvements it could provide in the modeling required for many cognitive processes.",Neural Processing Letters,2016,13,filtered
6fdc3a95b3b10dab13c7c4166daf2d013691ca20,https://www.semanticscholar.org/paper/6fdc3a95b3b10dab13c7c4166daf2d013691ca20,A Multiple Context Brain for Experiments With Robot Consciousness,"The PURR-PUSS system (PP) is a versatile model of a human-like brain, designed to be implemented in parallel hardware and embodied in the head of a robot moving in the real world. The aim of the research with PP is to try out mechanisms for learning, intelligence and consciousness. Limitations of resources have dictated that the experiments with PP are made on a personal computer by simulating the brain and robot body in a microworld. The unique features of PP are multiple context and novelty-seeking. In this paper, a squash-pop microworld is described first, so that concrete examples can be given for a brief review of the PP system, followed by two new features called trail memory, to realize Baars' global workspace, and belief memory, to realize Rosenthal's higher order thoughts and Johnson-Laird's conscious reasoning. The extended system, PP*, is designed to give consciousness to the subconscious PP, but higher order thoughts and conscious reasoning prove to be elusive. A definition of a conscious robot provides a measure of progress.",IEEE Transactions on Autonomous Mental Development,2011,14,filtered
85180e4e393d6da898ce3979eaeed3abb2e2a138,https://www.semanticscholar.org/paper/85180e4e393d6da898ce3979eaeed3abb2e2a138,Adaptivity on the Robot Brain Architecture Level Using Reinforcement Learning,"The design and implementation of a robot brain often requires making decisions between different modules with similar functionality. Many implementations and components are easy to create or can be downloaded, but it is difficult to assess which combination of modules work well and which does not. This paper discusses a reinforcement learning mechanism where the robot is choosing between the different components using empirical feedback and optimization criteria. With the interval estimation algorithm the robot deselects poorly functioning modules and retains only the best ones. A discount factor ensures that the robot keeps adapting to new circumstances in the real world. This allows the robot to adapt itself continuously on the architecture level and also allows working with large development teams creating several different implementations with similar functionalities to give the robot biggest chance to solve a task. The architecture is tested in the RoboCup@Home setting and can handle failure situations.",RoboCup,2012,15,filtered
13e35abae4e70dcbab11fbf87a63df996cb70feb,https://www.semanticscholar.org/paper/13e35abae4e70dcbab11fbf87a63df996cb70feb,Internet of Things for the Future of Smart Agriculture: A Comprehensive Survey of Emerging Technologies,"This paper presents a comprehensive review of emerging technologies for the internet of things (IoT)-based smart agriculture. We begin by summarizing the existing surveys and describing emergent technologies for the agricultural IoT, such as unmanned aerial vehicles, wireless technologies, open-source IoT platforms, software defined networking (SDN), network function virtualization (NFV) technologies, cloud/fog computing, and middleware platforms. We also provide a classification of IoT applications for smart agriculture into seven categories: including smart monitoring, smart water management, agrochemicals applications, disease management, smart harvesting, supply chain management, and smart agricultural practices. Moreover, we provide a taxonomy and a side-by-side comparison of the state-of-the-art methods toward supply chain management based on the blockchain technology for agricultural IoTs. Furthermore, we present real projects that use most of the aforementioned technologies, which demonstrate their great performance in the field of smart agriculture. Finally, we highlight open research challenges and discuss possible future research directions for agricultural IoTs.",IEEE/CAA Journal of Automatica Sinica,2021,16,filtered
cb0630bbe0f22662abae83a44cf26ef70814c4e7,https://www.semanticscholar.org/paper/cb0630bbe0f22662abae83a44cf26ef70814c4e7,Digital Livestock Farming,"Abstract As the global human population increases, livestock agriculture must adapt to provide more livestock products and with improved efficiency while also addressing concerns about animal welfare, environmental sustainability, and public health. The purpose of this paper is to critically review the current state of the art in digitalizing animal agriculture with Precision Livestock Farming (PLF) technologies, specifically biometric sensors, big data, and blockchain technology. Biometric sensors include either noninvasive or invasive sensors that monitor an individual animal’s health and behavior in real time, allowing farmers to integrate this data for population-level analyses. Real-time information from biometric sensors is processed and integrated using big data analytics systems that rely on statistical algorithms to sort through large, complex data sets to provide farmers with relevant trending patterns and decision-making tools. Sensors enabled blockchain technology affords secure and guaranteed traceability of animal products from farm to table, a key advantage in monitoring disease outbreaks and preventing related economic losses and food-related health pandemics. Thanks to PLF technologies, livestock agriculture has the potential to address the abovementioned pressing concerns by becoming more transparent and fostering increased consumer trust. However, new PLF technologies are still evolving and core component technologies (such as blockchain) are still in their infancy and insufficiently validated at scale. The next generation of PLF technologies calls for preventive and predictive analytics platforms that can sort through massive amounts of data while accounting for specific variables accurately and accessibly. Issues with data privacy, security, and integration need to be addressed before the deployment of multi-farm shared PLF solutions becomes commercially feasible.",,2021,17,filtered
f5255357b82adb03c6c6729fc939bd1b82b22a02,https://www.semanticscholar.org/paper/f5255357b82adb03c6c6729fc939bd1b82b22a02,A weighted fuzzy C-means clustering method with density peak for anomaly detection in IoT-enabled manufacturing process,"Accurate anomaly detection is the premise of production process control and normal execution of production plan. The implementation of Internet of Things (IoT) provides data foundation and guarantee for real-time perception and detection of production state. Taking abundant IoT data as support, a density peak (DP)-weighted fuzzy C-means (WFCM) based clustering method is proposed to detect abnormal situations in production process. Firstly, a features correlation and redundancy measure method based on mutual information (MI) and conditional MI is proposed, unsupervised feature reduction is completed based on the principle of maximum correlation-minimum redundancy. Secondly, a DP-WFCM based clustering model is established to identify clusters with fewer samples to detect production anomalies. DP is used to obtain the initial clustering centers to solve the problem that FCM is sensitive to the initial centers and the clusters number needs to be determined manually in advance. MI-based similarities are introduced as weight coefficients to guide the clustering process, which improves convergence speed and clustering quality. Finally, a real case from an IoT enabled machining workshop is carried out to verify the accuracy and effectiveness of the proposed method in anomaly detection of manufacturing process.",J. Intell. Manuf.,2020,18,filtered
e716a1d60fc26fedd5d86ec1ed8f02d4fdd1fe81,https://www.semanticscholar.org/paper/e716a1d60fc26fedd5d86ec1ed8f02d4fdd1fe81,Artificial intelligence techniques for enabling Big Data services in distribution networks: A review,"Abstract Artificial intelligence techniques lead to data-driven energy services in distribution power systems by extracting value from the data generated by the deployed metering and sensing devices. This paper performs a holistic analysis of artificial intelligence applications to distribution networks, ranging from operation, monitoring and maintenance to planning. The potential artificial intelligence techniques for power system applications and needed data sources are identified and classified. The following data-driven services for distribution networks are analyzed: topology estimation, observability, fraud detection, predictive maintenance, non-technical losses detection, forecasting, energy management systems, aggregated flexibility services and trading. A review of the artificial intelligence methods implemented in each of these services is conducted. Their interdependencies are mapped, proving that multiple services can be offered as a single clustered service to different stakeholders. Furthermore, the dependencies between the AI techniques with each energy service are identified. In recent years there has been a significant rise of deep learning applications for time series prediction tasks. Another finding is that unsupervised learning methods are mainly being applied to customer segmentation, buildings efficiency clustering and consumption profile grouping for non-technical losses detection. Reinforcement learning is being widely applied to energy management systems design, although more testing in real environments is needed. Distribution network sensorization should be enhanced and increased in order to obtain larger amounts of valuable data, enabling better service outcomes. Finally, the future opportunities and challenges for applying artificial intelligence in distribution grids are discussed.",,2021,19,filtered
4d5a882e125d41124fa895b3d68e9e8dfd80f235,https://www.semanticscholar.org/paper/4d5a882e125d41124fa895b3d68e9e8dfd80f235,A bibliographic review of trends in design and management of electrical power transmission transformers,"Electricity transmission substations are fixed infrastructure assets, and the power transformer is the most visible item of equipment. The technologies embedded in protection and control switchgear, as well as in power transformers change over the very long life of a substation, even though the basic functionality remains the same. Changes in equipment technologies present salient but real challenges in design of electricity transmission networks, and especially on acquisition, operation and maintenance, and disposal of transformers deployed in substations. In addition to obsolescence, some of the challenges include age-related degradation, as well as increasingly sophisticated loading requirements on substations. A bibliographic search between 1970 and 2014 indicates that new materials plus computer-aided modelling and tools are widely applied to design and manufacture transformers to achieve higher voltage and power ratings, while sensors, information and computing systems technologies and big data analytics are increasing applied to determine transformer health index. Empirical data obtained from a case study utility suggests that operators and maintainers tend to focus on technical health indices, and this raises concern as to the robustness of decisions to decommission, refurbish, replace, and dispose of transformers in electricity transmission substations. Keywords—electrical transformer technology trends; transformer replacement decisions; substation asset management",,2016,20,filtered
8abc1240fd02c210ad2a95f7e12c53ee61c26680,https://www.semanticscholar.org/paper/8abc1240fd02c210ad2a95f7e12c53ee61c26680,"Modeling, simulation, and implementation issues of CPGs for neuromorphic engineering applications","Neuromorphic engineering is a discipline used to develop hardware, which can mimic the characteristics and abilities of biological systems by investigating their physiological structures and data transfer mechanisms. The recent studies about the neuromorphic systems mostly consist of robotic applications whose designs are inspired by Central Pattern Generators (CPGs). CPGs are special neural networks which can produce coordinated rhythmic activity patterns and these rhythmic movements are modeled mathematically, tested with simulation programs and verified by hardware implementations. A reconfigurable hardware platform (Field Programmable Gate Array “FPGA”) is compatible with numerical simulation tools, allows software control over hardware, has a user‐friendly interface and allows real time modifications. Thus, recently, it is preferred in CPG based robotic applications. In this study, the details of the modeling, simulation and implementation stages of several CPG structures are introduced by using a digital reconfigurable hardware platform. In order to show the conceptual learning achievements of these stages and to assess the contribution to the modeling, simulation and implementation skills of the students, a training course has been planned for the undergraduate students at Erciyes University. This process has been held in an educative manner supported by a survey and an experimental examination, so that this training course has been evaluated by the trainees in terms of the advantage, practicality, and challenge.",Comput. Appl. Eng. Educ.,2018,21,filtered
22d86c1d6d359fbd5a4c05579cfabd01b58eccb3,https://www.semanticscholar.org/paper/22d86c1d6d359fbd5a4c05579cfabd01b58eccb3,A Novel Hardware-Efficient CPG Model Based on Nonlinear Dynamics of Asynchronous Cellular Automaton,"A novel hardware-efficient central pattern generator (CPG) model based on the nonlinear dynamics of an asynchronous cellular automaton is presented. It is shown that the presented model can generate multi-phase synchronized periodic signals, which are suitable for controlling a snake robot. Then, the presented model is implemented on a field programmable gate array (FPGA) and is connected to a snake robot hardware. It is shown by real machine experiments that the presented model can realize rhythmic spinal locomotions of the snake robot. Moreover, it is shown that the presented model consumes much fewer hardware resources (FPGA slices) than a standard simple CPG model.",ICONIP,2017,22,filtered
4d8fa54a23581d052296c31ae955cf711d01210f,https://www.semanticscholar.org/paper/4d8fa54a23581d052296c31ae955cf711d01210f,OFDM symbol identification by an unsupervised learning system under dynamically changing channel effects,"Orthogonal frequency-division multiplexing (OFDM) is one of the most successful digital communication techniques. Nevertheless, the decrease in inter-symbol interference in quadrature amplitude modulation (QAM) over dispersive channels is still challenging. Different researches recently proposed the idea of using unsupervised learning as an alternative to the classic approaches to equalization of OFDM channels. In those purposes, the identification of a received QAM symbol is possible by the comparison of its position on the in-phase/quadrature (IQ) plane relative to the positions of previously arrived symbols, generally processed by the Kohonen’s Self-Organizing Map (SOM) algorithm. This work presents the SOM unsupervised learning method executed on an embedded system applied to QAM symbols identification. The system is implemented on an FPGA, a configurable digital circuit able to meet the low power and parallel process requirements of mobile applications. Also, in order to extend the classical set of experiments to evaluate our system, this paper proposes a theoretical model of the time-varying scheme representing the transition between different channel characteristics, obtained from real measurements available on a public repository. The model is employed to verify our purpose under dynamically both changing and realistic conditions. On the assumption that it is provided enough IQ symbols for the initial training process, the hardware implementation of SOM is able to track and identify the time-varying distorted QAM constellation. No knowledge of channel characteristics is necessary. The system spends only some microseconds at start-up to reach about 100% performance, and no dedicated training phase is needed afterward.",Neural Computing and Applications,2018,23,filtered
970ff5216f30c29d69d61139be94822484ca8fca,https://www.semanticscholar.org/paper/970ff5216f30c29d69d61139be94822484ca8fca,Fast FPGA-based method for Matsuoka parameters tuning,"In this paper we present a novel method for real time hardware implementation of Central Pattern Generators (CPGs) for bipedal robot walking. We introduce a closed form solution for Matsuoka CPG model which is a widely applied parametric neuron-based method for walking pattern generation. Existing parameter tuning methods including trial and error, optimization methods like genetic algorithms or etc. are both computationally slow and inefficient. Our methodology is arguably fast and accurate and can be implemented on FPGA in online applications.",2016 2nd International Conference of Signal Processing and Intelligent Systems (ICSPIS),2016,24,filtered
116d6e724d0d15fbb2e84d741477102f9d988ed3,https://www.semanticscholar.org/paper/116d6e724d0d15fbb2e84d741477102f9d988ed3,iCub Whole-Body Control through Force Regulation on Rigid Non-Coplanar Contacts,"This paper details the implementation on the humanoid robot iCub of state-of-the-art algorithms for whole-body control. We regulate the forces between the robot and its surrounding environment to stabilize a desired robot posture. We assume that the forces and torques are exerted on rigid contacts. The validity of this assumption is guaranteed by constraining the contact forces and torques, e.g. the contact forces must belong to the associated friction cones. The implementation of this control strategy requires to estimate the external forces acting on the robot, and the internal joint torques. We then detail algorithms to obtain these estimations when using a robot with an iCub-like sensor set, i.e. distributed six-axis force-torque sensors and whole-body tactile sensors. A general theory for identifying the robot inertial parameters is also presented. From an actuation standpoint, we show how to implement a joint torque control in the case of DC brushless motors. In addition, the coupling mechanism of the iCub torso is investigated. The soundness of the entire control architecture is validated in a real scenario involving the robot iCub balancing and making contacts at both arms.",Front. Robot. AI,2015,25,filtered
cfc8a362f7f7e7b1bce51caac0db50dfb52b7f13,https://www.semanticscholar.org/paper/cfc8a362f7f7e7b1bce51caac0db50dfb52b7f13,Implementation of biomimetic central pattern generators on field-programmable gate array,"This study is a step towards the design of neuroprostheses using artificial biomimetic neural networks like the central pattern generator (CPG) we could find in the leech’s heartbeat system. We propose a resource-frugal implementation of CPG on a field-programmable gate array (FPGA) platform. Using Izhikevich’s neuron model and short-term plasticity synapse model, our implementation can host and mimic 500 CPGs in real time. Our results have been validated by comparing them to biological data. Our study shows a solid step towards hybridization of biological nervous system and artificial neural networks.",,2015,26,filtered
70ac48d994aa4a85884384dcbad501b9f2451821,https://www.semanticscholar.org/paper/70ac48d994aa4a85884384dcbad501b9f2451821,Versatile educational and research robotic platform based on reconfigurable hardware,"This paper presents the development of a field-programmable gate array (FPGA)-based platform. This platform is intended for the community as an educational and efficient prototyping tool, in digital signal processing, robotics, and control, but it can also be used as to develop custom robotic architectures. The proposed platform centered around an FPGA device is embedded on an off-the-shelf Phoenix hexapod robot. The platform is equipped with a camera module targeted to real time computer vision. From an academic point of view, the main use for the developed platform is to be employed as a didactic resource that facilitates the understanding of theoretical concepts commonly used in engineering courses and to speed up the development cycle in hands-on practice. A set of software tools and low-level drivers have been developed to configure the vision sensor, transfer images to/from a computer and to manage the testing of image and digital processing and control tasks in a transparent way. To validate the platform a hardware vision architecture and a locomotion control module have been created. The high level control is performed in a soft-processor that simulates the Arduino ONE micro controller. The soft-processor takes information from the vision sensor to generate controls signals for a generic module able to take a digital input and deliver a pulse-width modulation (PWM) output.",2014 International Conference on ReConFigurable Computing and FPGAs (ReConFig14),2014,27,filtered
8fb7ad2268200a4440eb336872f7971bc85e4bd4,https://www.semanticscholar.org/paper/8fb7ad2268200a4440eb336872f7971bc85e4bd4,A Survey and Categorization of Small Low-Cost Unmanned Aerial Vehicle System Identification,"Remote sensing has traditionally be done with satellites and manned aircraft. While these methods can yield useful scientific data, satellites and manned aircraft have limitations in data frequency, process time, and real time re-tasking. Small low-cost unmanned aerial vehicles (UAVs) can bridge the gap for personal remote sensing for scientific data. Precision aerial imagery and sensor data requires an accurate dynamics model of the vehicle for controller development. One method of developing a dynamics model is system identification (system ID). The purpose of this paper is to provide a survey and categorization of current methods and applications of system ID for small low-cost UAVs. This paper also provides background information on the process of system ID with in-depth discussion on practical implementation for UAVs. This survey divides the summaries of system ID research into five UAV groups: helicopter, fixed-wing, multirotor, flapping-wing, and lighter-than-air. The research literature is tabulated into five corresponding UAV groups for further research.",J. Intell. Robotic Syst.,2014,28,filtered
