@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:isbn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,pii,article-number,prism:issueIdentifier,freetoread,freetoreadLabel,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133531389', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133531389?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133531389&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133531389&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133531389,SCOPUS_ID:85133531389,2-s2.0-85133531389,Sim-to-Real: Mapless Navigation for USVs Using Deep Reinforcement Learning,Wang N.,Journal of Marine Science and Engineering,,20771312,,10,,2022-07-01,July 2022,10.3390/jmse10070895,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology of China', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",Journal,ar,Article,21100830140,1,True,,895,7,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133421492', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133421492?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133421492&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133421492&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133421492,SCOPUS_ID:85133421492,2-s2.0-85133421492,Deep Multimodal Detection in Reduced Visibility Using Thermal Depth Estimation for Autonomous Driving,Yoon S.,Sensors,14248220,,,22,,2022-07-01,July-2 2022,10.3390/s22145084,0,"[{'@_fa': 'true', 'affilname': 'Soonchunhyang University', 'affiliation-city': 'Asan', 'affiliation-country': 'South Korea'}]",Journal,ar,Article,130124,1,True,,5084,14,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133277179', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133277179?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133277179&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133277179&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133277179,SCOPUS_ID:85133277179,2-s2.0-85133277179,Deep Reinforcement Learning for Flocking Motion of Multi-UAV Systems: Learn From a Digital Twin,Shen G.,IEEE Internet of Things Journal,,23274662,,9,11141-11153,2022-07-01,1 July 2022,10.1109/JIOT.2021.3127873,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,21100338350,0,False,,,13,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133162874', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133162874?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133162874&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133162874&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133162874,SCOPUS_ID:85133162874,2-s2.0-85133162874,Real-Time Efficient FPGA Implementation of the Multi-Scale Lucas-Kanade and Horn-Schunck Optical Flow Algorithms for a 4K Video Stream,Blachut K.,Sensors,14248220,,,22,,2022-07-01,July-1 2022,10.3390/s22135017,0,"[{'@_fa': 'true', 'affilname': 'AGH University of Science and Technology', 'affiliation-city': 'Krakow MP', 'affiliation-country': 'Poland'}]",Journal,ar,Article,130124,1,True,,5017,13,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125856281', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125856281?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125856281&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125856281&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0031320322000954'}",https://api.elsevier.com/content/abstract/scopus_id/85125856281,SCOPUS_ID:85125856281,2-s2.0-85125856281,Learning residue-aware correlation filters and refining scale for real-time UAV tracking,Li S.,Pattern Recognition,00313203,,,127,,2022-07-01,July 2022,10.1016/j.patcog.2022.108614,0,"[{'@_fa': 'true', 'affilname': 'Guilin University of Technology', 'affiliation-city': 'Guilin', 'affiliation-country': 'China'}]",Journal,ar,Article,24823,0,False,S0031320322000954,108614,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85097924367', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85097924367?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097924367&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097924367&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85097924367,SCOPUS_ID:85097924367,2-s2.0-85097924367,Online Altitude Control and Scheduling Policy for Minimizing AoI in UAV-Assisted IoT Wireless Networks,Samir M.,IEEE Transactions on Mobile Computing,15361233,15580660,,21,2493-2505,2022-07-01,1 July 2022,10.1109/TMC.2020.3042925,3,"[{'@_fa': 'true', 'affilname': 'Concordia Institute for Information Systems Engineering', 'affiliation-city': 'Montreal', 'affiliation-country': 'Canada'}]",Journal,ar,Article,25038,0,False,,,7,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134033910', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134033910?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134033910&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134033910&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134033910,SCOPUS_ID:85134033910,2-s2.0-85134033910,Real-time camera analytics for enhancing traffic intersection safety,Ghasemi M.,"MobiSys 2022 - Proceedings of the 2022 20th Annual International Conference on Mobile Systems, Applications and Services",,,"[{'@_fa': 'true', '$': '9781450391856'}]",,630-631,2022-06-27,27 June 2022,10.1145/3498361.3538669,0,"[{'@_fa': 'true', 'affilname': 'Columbia University', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,21101096326,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134030455', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134030455?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134030455&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134030455&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134030455,SCOPUS_ID:85134030455,2-s2.0-85134030455,Motion Inspires Notion: Self-supervised Visual-LiDAR Fusion for Environment Depth Estimation,Li D.,"MobiSys 2022 - Proceedings of the 2022 20th Annual International Conference on Mobile Systems, Applications and Services",,,"[{'@_fa': 'true', '$': '9781450391856'}]",,114-127,2022-06-27,27 June 2022,10.1145/3498361.3538918,0,"[{'@_fa': 'true', 'affilname': 'Tsinghua University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Conference Proceeding,cp,Conference Paper,21101096326,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85131901853', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85131901853?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131901853&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131901853&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85131901853,SCOPUS_ID:85131901853,2-s2.0-85131901853,The review of image processing and edge computing for intelligent transportation system,Cao X.,Journal of Image and Graphics,10068961,,,27,1743-1767,2022-06-16,16 June 2022,10.11834/jig.211266,0,"[{'@_fa': 'true', 'affilname': 'Tongji University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,re,Review,21101021717,0,False,,,6,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122887123', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122887123?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122887123&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122887123&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122887123,SCOPUS_ID:85122887123,2-s2.0-85122887123,Spatiotemporal Scene-Graph Embedding for Autonomous Vehicle Collision Prediction,Malawade A.V.,IEEE Internet of Things Journal,,23274662,,9,9379-9388,2022-06-15,15 June 2022,10.1109/JIOT.2022.3141044,2,"[{'@_fa': 'true', 'affilname': 'University of California, Irvine', 'affiliation-city': 'Irvine', 'affiliation-country': 'United States'}]",Journal,ar,Article,21100338350,0,False,,,12,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85126975231', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85126975231?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126975231&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126975231&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0925231222002983'}",https://api.elsevier.com/content/abstract/scopus_id/85126975231,SCOPUS_ID:85126975231,2-s2.0-85126975231,A review on varying-parameter convergence differential neural network,Zhang Z.,Neurocomputing,09252312,18728286,,490,54-65,2022-06-14,14 June 2022,10.1016/j.neucom.2022.03.026,0,"[{'@_fa': 'true', 'affilname': 'South China University of Technology', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",Journal,sh,Short Survey,24807,0,False,S0925231222002983,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132785935', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132785935?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132785935&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132785935&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132785935,SCOPUS_ID:85132785935,2-s2.0-85132785935,Finding Label and Model Errors in Perception Data With Learned Observation Assertions,Kang D.,Proceedings of the ACM SIGMOD International Conference on Management of Data,07308078,,"[{'@_fa': 'true', '$': '9781450392495'}]",,496-505,2022-06-10,10 June 2022,10.1145/3514221.3517907,0,"[{'@_fa': 'true', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,30611,0,False,,,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132847929', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132847929?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132847929&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132847929&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132847929,SCOPUS_ID:85132847929,2-s2.0-85132847929,Autonomous Driving Assistance with Dynamic Objects Using Traffic Surveillance Cameras,Cho K.,Applied Sciences (Switzerland),,20763417,,12,,2022-06-01,June-2 2022,10.3390/app12126247,0,"[{'@_fa': 'true', 'affilname': 'Korea Land and Geospatial Informatix Corporation Spatial Information Research Institute', 'affiliation-city': 'Bongdong-eup/Wanju-gun', 'affiliation-country': 'South Korea'}]",Journal,ar,Article,21100829268,1,True,,6247,12,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132269590', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132269590?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132269590&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132269590&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132269590,SCOPUS_ID:85132269590,2-s2.0-85132269590,Probabilistic Traffic Motion Labeling for Multi-Modal Vehicle Route Prediction,Fernández A.F.,Sensors,14248220,,,22,,2022-06-01,June-2 2022,10.3390/s22124498,0,"[{'@_fa': 'true', 'affilname': 'Technische Hochschule Ingolstadt', 'affiliation-city': 'Ingolstadt', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Universidad de Castilla-La Mancha', 'affiliation-city': 'Ciudad Real', 'affiliation-country': 'Spain'}]",Journal,ar,Article,130124,1,True,,4498,12,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",35746294
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132255599', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132255599?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132255599&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132255599&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132255599,SCOPUS_ID:85132255599,2-s2.0-85132255599,A Method for Designated Target Anti-Interference Tracking Combining YOLOv5 and SiamRPN for UAV Tracking and Landing Control,Wu D.,Remote Sensing,,20724292,,14,,2022-06-01,June-2 2022,10.3390/rs14122825,0,"[{'@_fa': 'true', 'affilname': 'Jilin University', 'affiliation-city': 'Changchun', 'affiliation-country': 'China'}]",Journal,ar,Article,86430,1,True,,2825,12,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132129561', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132129561?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132129561&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132129561&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132129561,SCOPUS_ID:85132129561,2-s2.0-85132129561,Lightweight Hot-Spot Fault Detection Model of Photovoltaic Panels in UAV Remote-Sensing Image,Zheng Q.,Sensors,14248220,,,22,,2022-06-01,June-2 2022,10.3390/s22124617,0,"[{'@_fa': 'true', 'affilname': 'Xinjiang University', 'affiliation-city': 'Urumqi', 'affiliation-country': 'China'}]",Journal,ar,Article,130124,1,True,,4617,12,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",35746399
