@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,article-number,prism:isbn,pii,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85102654079', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85102654079?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102654079&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102654079&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85102654079,SCOPUS_ID:85102654079,2-s2.0-85102654079,A real-world dataset and data simulation algorithm for automated fish species identification,Allken V.,Geoscience Data Journal,20496060,8,2,199-209,2021-11-01,November 2021,10.1002/gdj3.114,2,"[{'@_fa': 'true', 'affilname': 'Havforskningsinstituttet', 'affiliation-city': 'Bergen', 'affiliation-country': 'Norway'}]",Journal,dp,Data Paper,21100812867,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118248620', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118248620?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118248620&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118248620&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118248620,SCOPUS_ID:85118248620,2-s2.0-85118248620,File system support for privacy-preserving analysis and forensics in low-bandwidth edge environments,Ovesen A.B.,Information (Switzerland),20782489,12,10,,2021-10-01,October 2021,10.3390/info12100430,0,"[{'@_fa': 'true', 'affilname': 'UiT The Arctic University of Norway', 'affiliation-city': 'Tromso', 'affiliation-country': 'Norway'}]",Journal,ar,Article,21100223111,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,430,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115378515', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115378515?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115378515&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115378515&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115378515,SCOPUS_ID:85115378515,2-s2.0-85115378515,Radioactivity monitoring in ocean ecosystems (RAMONES),Mertzimekis T.J.,GoodIT 2021 - Proceedings of the 2021 Conference on Information Technology for Social Good,,,,216-220,2021-09-09,9 September 2021,10.1145/3462203.3475906,0,"[{'@_fa': 'true', 'affilname': 'Ethnikó ke Kapodistriakó Panepistímio Athinón', 'affiliation-city': 'Athens', 'affiliation-country': 'Greece'}]",Conference Proceeding,cp,Conference Paper,21101059730,0,False,,,,,"[{'@_fa': 'true', '$': '9781450384780'}]",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116262002', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116262002?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116262002&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116262002&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85116262002,SCOPUS_ID:85116262002,2-s2.0-85116262002,Underwater Animal Detection Using YOLOV4,Rosli M.S.A.B.,"Proceedings - 2021 11th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2021",,,,158-163,2021-08-27,27 August 2021,10.1109/ICCSCE52189.2021.9530877,1,"[{'@_fa': 'true', 'affilname': 'Universiti Teknologi MARA', 'affiliation-city': 'Shah Alam', 'affiliation-country': 'Malaysia'}]",Conference Proceeding,cp,Conference Paper,21101060579,0,False,,,,,"[{'@_fa': 'true', '$': '9781665412810'}]",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85113557708', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85113557708?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113557708&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113557708&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85113557708,SCOPUS_ID:85113557708,2-s2.0-85113557708,Identifying and predicting occurrence and abundance of a vocal animal species based on individually specific calls,Bailey H.,Ecosphere,21508925,12,8,,2021-08-01,August 2021,10.1002/ecs2.3685,1,"[{'@_fa': 'true', 'affilname': 'University of Maryland Center for Environmental Science', 'affiliation-city': 'Cambridge', 'affiliation-country': 'United States'}]",Journal,ar,Article,21100307458,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,e03685,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107352300', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107352300?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107352300&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107352300&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352801X21000692'}",https://api.elsevier.com/content/abstract/scopus_id/85107352300,SCOPUS_ID:85107352300,2-s2.0-85107352300,"Assessing drinking water quality based on physical, chemical and microbial parameters in the Red Sea State, Sudan using a combination of water quality index and artificial neural network model",Ismael M.,Groundwater for Sustainable Development,2352801X,14,,,2021-08-01,August 2021,10.1016/j.gsd.2021.100612,1,"[{'@_fa': 'true', 'affilname': 'Northwest A&amp;F University', 'affiliation-city': 'Yangling', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Sudanese Standards and Metrology Organization', 'affiliation-city': 'Khartoum', 'affiliation-country': 'Sudan'}]",Journal,ar,Article,21100463093,0,False,,,,100612,,S2352801X21000692,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85117348838', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85117348838?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117348838&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117348838&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85117348838,SCOPUS_ID:85117348838,2-s2.0-85117348838,Architecture Design and Implementation of UUV Mission Planning,Wei D.,"Chinese Control Conference, CCC",21612927,2021-July,,1869-1873,2021-07-26,26 July 2021,10.23919/CCC52363.2021.9549770,0,"[{'@_fa': 'true', 'affilname': 'University of Electronic Science and Technology of China', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Conference Proceeding,cp,Conference Paper,21100228702,0,False,,,19341768,,"[{'@_fa': 'true', '$': '9789881563804'}]",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85109595296', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85109595296?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109595296&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109595296&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85109595296,SCOPUS_ID:85109595296,2-s2.0-85109595296,Implementation of an Artificial Neural Network for Storm Surge Forecasting,Ramos-Valle A.N.,Journal of Geophysical Research: Atmospheres,21698996,126,13,,2021-07-16,16 July 2021,10.1029/2020JD033266,0,"[{'@_fa': 'true', 'affilname': 'Department of Environmental Sciences', 'affiliation-city': 'New Brunswick', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'National Center for Atmospheric Research', 'affiliation-city': 'Boulder', 'affiliation-country': 'United States'}]",Journal,ar,Article,21101038508,0,False,,,2169897X,e2020JD033266,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85106562311', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85106562311?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106562311&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106562311&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85106562311,SCOPUS_ID:85106562311,2-s2.0-85106562311,Impact of 4th of july fireworks on spatiotemporal pm<inf>2.5</inf> concentrations in california based on the purpleair sensor network: Implications for policy and environmental justice,Mousavi A.,International Journal of Environmental Research and Public Health,16604601,18,11,,2021-06-01,1 June 2021,10.3390/ijerph18115735,1,"[{'@_fa': 'true', 'affilname': 'University of California, Irvine', 'affiliation-city': 'Irvine', 'affiliation-country': 'United States'}]",Journal,ar,Article,144989,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",16617827,5735,,,34071796
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85106574823', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85106574823?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106574823&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106574823&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85106574823,SCOPUS_ID:85106574823,2-s2.0-85106574823,Temperature and relative humidity profile retrieval from fengyun-3d/hiras in the arctic region,Hu J.,Remote Sensing,20724292,13,10,,2021-05-02,2 May 2021,10.3390/rs13101884,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Information Science &amp; Technology', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,86430,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,1884,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85104597864', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85104597864?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104597864&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104597864&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85104597864,SCOPUS_ID:85104597864,2-s2.0-85104597864,Real-time updating method of local geological model based on logging while drilling process,Sun J.,Arabian Journal of Geosciences,18667538,14,9,,2021-05-01,May 2021,10.1007/s12517-021-07034-1,1,"[{'@_fa': 'true', 'affilname': ""Xi'an Shiyou University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,17400154823,0,False,,,18667511,746,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85103442093', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85103442093?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103442093&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103442093&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85103442093,SCOPUS_ID:85103442093,2-s2.0-85103442093,Study of motion control and a virtual reality system for autonomous underwater vehicles,Wang M.,Algorithms,19994893,14,3,,2021-03-01,March 2021,10.3390/a14030093,0,"[{'@_fa': 'true', 'affilname': 'Guangdong University of Technology', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,21100199795,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,93,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85102207886', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85102207886?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102207886&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102207886&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85102207886,SCOPUS_ID:85102207886,2-s2.0-85102207886,Motion Behavior Recognition of Underwater Vehicle Based on YOLOv3,Tang L.,Journal of Physics: Conference Series,17426596,1744,2,,2021-02-17,17 February 2021,10.1088/1742-6596/1744/2/022144,0,"[{'@_fa': 'true', 'affilname': 'Shenyang Institute of Automation Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Jianzhu University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Conference Proceeding,cp,Conference Paper,130053,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",17426588,022144,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85103519542', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85103519542?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103519542&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103519542&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85103519542,SCOPUS_ID:85103519542,2-s2.0-85103519542,Frame and visualization for digital twin of marine riserless well intervention,Wang W.,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",,27,2,423-431,2021-02-01,February 2021,10.13196/j.cims.2021.02.010,0,"[{'@_fa': 'true', 'affilname': 'China University of Petroleum-Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,22679,0,False,,,10065911,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85103182767', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85103182767?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103182767&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103182767&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85103182767,SCOPUS_ID:85103182767,2-s2.0-85103182767,Development of hyperspectral imaging remote sensing technology,Liu Y.,Yaogan Xuebao/Journal of Remote Sensing,20959494,25,1,439-459,2021-01-25,25 January 2021,10.11834/jrs.20210283,2,"[{'@_fa': 'true', 'affilname': 'Shanghai Institute of Technical Physics Chinese Academy of Sciences', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,21100248003,0,False,,,10074619,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125955159', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125955159?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125955159&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125955159&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125955159,SCOPUS_ID:85125955159,2-s2.0-85125955159,Wave Glider Speed Model for Real-time Motion Planning,Amador A.,Oceans Conference Record (IEEE),,2021-September,,,2021-01-01,2021,10.23919/OCEANS44145.2021.9705782,0,"[{'@_fa': 'true', 'affilname': 'Marine Physical Laboratory', 'affiliation-city': 'San Diego', 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,13654,0,False,,,01977385,,"[{'@_fa': 'true', '$': '9780692935590'}]",,
