@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,prism:issueIdentifier,article-number,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124729917', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124729917?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124729917&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124729917&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124729917,SCOPUS_ID:85124729917,2-s2.0-85124729917,Real-Time Optical-Wireless Video Surveillance System for High Visual-Fidelity Underwater Monitoring,Kong M.,IEEE Photonics Journal,19430655,14,,2022-04-01,1 April 2022,10.1109/JPHOT.2022.3147844,,0,"[{'@_fa': 'true', 'affilname': 'King Abdullah University of Science and Technology', 'affiliation-city': 'Thuwal', 'affiliation-country': 'Saudi Arabia'}]",Journal,ar,Article,19700176215,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,2,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124067150', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124067150?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124067150&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124067150&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124067150,SCOPUS_ID:85124067150,2-s2.0-85124067150,Global-Reasoned Multi-Task Learning Model for Surgical Scene Understanding,Seenivasan L.,IEEE Robotics and Automation Letters,23773766,7,3858-3865,2022-04-01,1 April 2022,10.1109/LRA.2022.3146544,,0,"[{'@_fa': 'true', 'affilname': 'National University of Singapore', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,21100900379,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,2,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123316587', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123316587?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123316587&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123316587&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123316587,SCOPUS_ID:85123316587,2-s2.0-85123316587,Deep Heterogeneous Dilation of LSTM for Transient-Phase Gesture Prediction Through High-Density Electromyography: Towards Application in Neurorobotics,Sun T.,IEEE Robotics and Automation Letters,23773766,7,2851-2858,2022-04-01,1 April 2022,10.1109/LRA.2022.3142721,,0,"[{'@_fa': 'true', 'affilname': 'Facebook, Inc.', 'affiliation-city': 'Menlo Park', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'New York University', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}]",Journal,ar,Article,21100900379,0,False,,,,2,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122624409', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122624409?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122624409&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122624409&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0967066121002963'}",https://api.elsevier.com/content/abstract/scopus_id/85122624409,SCOPUS_ID:85122624409,2-s2.0-85122624409,Deep reinforcement learning with shallow controllers: An experimental application to PID tuning,Lawrence N.P.,Control Engineering Practice,,121,,2022-04-01,April 2022,10.1016/j.conengprac.2021.105046,S0967066121002963,0,"[{'@_fa': 'true', 'affilname': 'The University of British Columbia', 'affiliation-city': 'Vancouver', 'affiliation-country': 'Canada'}]",Journal,ar,Article,18174,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",09670661,,105046,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105341085', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105341085?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105341085&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105341085&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105341085,SCOPUS_ID:85105341085,2-s2.0-85105341085,Social-trust-aware variational recommendation,Walker J.,International Journal of Intelligent Systems,1098111X,37,2774-2802,2022-04-01,April 2022,10.1002/int.22444,,0,"[{'@_fa': 'true', 'affilname': 'University of Electronic Science and Technology of China', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,24305,0,False,,,08848173,4,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123838318', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123838318?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123838318&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123838318&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360132322000348'}",https://api.elsevier.com/content/abstract/scopus_id/85123838318,SCOPUS_ID:85123838318,2-s2.0-85123838318,Decision Support System for technology selection based on multi-criteria ranking: Application to NZEB refurbishment,Laguna Salvadó L.,Building and Environment,,212,,2022-03-15,15 March 2022,10.1016/j.buildenv.2022.108786,S0360132322000348,0,"[{'@_fa': 'true', 'affilname': 'Université de Bordeaux', 'affiliation-city': 'Bordeaux', 'affiliation-country': 'France'}]",Journal,ar,Article,26874,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",03601323,,108786,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125425926', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125425926?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125425926&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125425926&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125425926,SCOPUS_ID:85125425926,2-s2.0-85125425926,A Multiview Recognition Method of Predefined Objects for Robot Assembly Using Deep Learning and Its Implementation on an FPGA,Lomas-Barrie V.,Electronics (Switzerland),20799292,11,,2022-03-01,March-1 2022,10.3390/electronics11050696,,0,"[{'@_fa': 'true', 'affilname': 'Universidad Nacional Autónoma de México', 'affiliation-city': 'Ciudad de México', 'affiliation-country': 'Mexico'}]",Journal,ar,Article,21100829272,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,5,696,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124627761', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124627761?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124627761&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124627761&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124627761,SCOPUS_ID:85124627761,2-s2.0-85124627761,Bauhaus.MobilityLab: A Living Lab for the Development and Evaluation of AI-Assisted Services,Frey C.,Smart Cities,26246511,5,133-145,2022-03-01,March 2022,10.3390/smartcities5010009,,0,"[{'@_fa': 'true', 'affilname': 'Fraunhofer Institute for Optronics, System Technologies and Image Exploitation IOSB', 'affiliation-city': 'Karlsruhe', 'affiliation-country': 'Germany'}]",Journal,ar,Article,21101068929,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,1,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123373748', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123373748?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123373748&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123373748&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1532046422000120'}",https://api.elsevier.com/content/abstract/scopus_id/85123373748,SCOPUS_ID:85123373748,2-s2.0-85123373748,Evaluating pointwise reliability of machine learning prediction,Nicora G.,Journal of Biomedical Informatics,,127,,2022-03-01,March 2022,10.1016/j.jbi.2022.103996,S1532046422000120,0,"[{'@_fa': 'true', 'affilname': 'Università degli Studi di Pavia', 'affiliation-city': 'Pavia', 'affiliation-country': 'Italy'}]",Journal,ar,Article,23706,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",15320464,,103996,35041981,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122830123', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122830123?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122830123&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122830123&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S002002552101121X'}",https://api.elsevier.com/content/abstract/scopus_id/85122830123,SCOPUS_ID:85122830123,2-s2.0-85122830123,Survival functions versus conditional aggregation-based survival functions on discrete space,Basarik S.,Information Sciences,,586,704-720,2022-03-01,March 2022,10.1016/j.ins.2021.11.011,S002002552101121X,0,"[{'@_fa': 'true', 'affilname': 'Pavol Jozef Safarik University in Kosice', 'affiliation-city': 'Kosice', 'affiliation-country': 'Slovakia'}]",Journal,ar,Article,15134,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",00200255,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122143529', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122143529?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122143529&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122143529&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122143529,SCOPUS_ID:85122143529,2-s2.0-85122143529,Elastic properties and litho-fluid facies estimation from pre-stack seismic data through bidirectional long short-term memory networks,Aleardi M.,Geophysical Prospecting,13652478,70,558-577,2022-03-01,March 2022,10.1111/1365-2478.13174,,0,"[{'@_fa': 'true', 'affilname': 'Università di Pisa', 'affiliation-city': 'Pisa', 'affiliation-country': 'Italy'}]",Journal,ar,Article,27961,0,False,,,00168025,3,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120863584', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120863584?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120863584&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120863584&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1570870521002390'}",https://api.elsevier.com/content/abstract/scopus_id/85120863584,SCOPUS_ID:85120863584,2-s2.0-85120863584,Deep embedded median clustering for routing misbehaviour and attacks detection in ad-hoc networks,Rajendran A.,Ad Hoc Networks,,126,,2022-03-01,1 March 2022,10.1016/j.adhoc.2021.102757,S1570870521002390,0,"[{'@_fa': 'true', 'affilname': 'Rathinam Technical Campus', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}]",Journal,ar,Article,26799,0,False,,,15708705,,102757,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118580921', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118580921?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118580921&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118580921&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118580921,SCOPUS_ID:85118580921,2-s2.0-85118580921,AuGrid: Edge-Enabled Distributed Load Management for Smart Grid Service Providers,Deb P.K.,IEEE Transactions on Green Communications and Networking,24732400,6,437-446,2022-03-01,1 March 2022,10.1109/TGCN.2021.3121877,,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Kharagpur', 'affiliation-city': 'Kharagpur', 'affiliation-country': 'India'}]",Journal,ar,Article,21100906361,0,False,,,,1,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107338741', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107338741?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107338741&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107338741&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85107338741,SCOPUS_ID:85107338741,2-s2.0-85107338741,Resilient Operation of Distribution Grids Using Deep Reinforcement Learning,Hosseini M.M.,IEEE Transactions on Industrial Informatics,19410050,18,2100-2109,2022-03-01,1 March 2022,10.1109/TII.2021.3086080,,0,"[{'@_fa': 'true', 'affilname': 'The University of Utah', 'affiliation-city': 'Salt Lake City', 'affiliation-country': 'United States'}]",Journal,ar,Article,144912,0,False,,,15513203,3,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125629156', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125629156?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125629156&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125629156&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125629156,SCOPUS_ID:85125629156,2-s2.0-85125629156,Feature transformation for improved software bug detection models,Cynthia S.T.,ACM International Conference Proceeding Series,,,,2022-02-24,24 February 2022,10.1145/3511430.3511444,,0,"[{'@_fa': 'true', 'affilname': 'University of Saskatchewan', 'affiliation-city': 'Saskatoon', 'affiliation-country': 'Canada'}]",Conference Proceeding,cp,Conference Paper,21101078818,0,False,,,,,16,,"[{'@_fa': 'true', '$': '9781450396189'}]"
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125347674', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125347674?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125347674&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125347674&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125347674,SCOPUS_ID:85125347674,2-s2.0-85125347674,High quality rendered dataset and non-local graph convolutional network for intrinsic image decomposition,Wang Y.,Journal of Image and Graphics,,27,404-420,2022-02-16,16 February 2022,10.11834/jig.210705,,0,"[{'@_fa': 'true', 'affilname': 'Shandong University', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}]",Journal,ar,Article,21101021717,0,False,,,10068961,2,,,
