@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,pii,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120649661', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120649661?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120649661&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120649661&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1569190X21001398'}",https://api.elsevier.com/content/abstract/scopus_id/85120649661,SCOPUS_ID:85120649661,2-s2.0-85120649661,Modelling argumentation in short text: A case of social media debate,Lytos A.,Simulation Modelling Practice and Theory,1569190X,,115,,,2022-02-01,February 2022,10.1016/j.simpat.2021.102446,0,"[{'@_fa': 'true', 'affilname': 'The University of Sheffield', 'affiliation-city': 'Sheffield', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,102446,12189,0,False,,,S1569190X21001398,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120648001', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120648001?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120648001&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120648001&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261921013702'}",https://api.elsevier.com/content/abstract/scopus_id/85120648001,SCOPUS_ID:85120648001,2-s2.0-85120648001,Ship energy management system development and experimental evaluation utilizing marine loading cycles based on machine learning techniques,Planakis N.,Applied Energy,03062619,,307,,,2022-02-01,1 February 2022,10.1016/j.apenergy.2021.118085,0,"[{'@_fa': 'true', 'affilname': 'National Technical University of Athens', 'affiliation-city': 'Athens', 'affiliation-country': 'Greece'}]",Journal,ar,Article,118085,28801,0,False,,,S0306261921013702,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119972768', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119972768?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119972768&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119972768&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2214714421005390'}",https://api.elsevier.com/content/abstract/scopus_id/85119972768,SCOPUS_ID:85119972768,2-s2.0-85119972768,Polyamine-modified polyacrylonitrile fibers for efficient removal of U(VI) from real fluorine-contained low-level radioactive wastewater,Zhang Y.,Journal of Water Process Engineering,22147144,,45,,,2022-02-01,February 2022,10.1016/j.jwpe.2021.102452,0,"[{'@_fa': 'true', 'affilname': 'Southwest University of Science and Technology', 'affiliation-city': 'Mianyang', 'affiliation-country': 'China'}]",Journal,ar,Article,102452,21100324365,0,False,,,S2214714421005390,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118957106', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118957106?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118957106&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118957106&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118957106,SCOPUS_ID:85118957106,2-s2.0-85118957106,Study and analysis of various sentiment classification strategies: A challenging overview,Keakde M.K.,"International Journal of Modeling, Simulation, and Scientific Computing",17939623,17939615,13,1,,2022-02-01,1 February 2022,10.1142/S1793962322500015,0,"[{'@_fa': 'true', 'affilname': 'Gandhi Institute of Technology and Management, Visakhapatnam', 'affiliation-city': 'Visakhapatnam', 'affiliation-country': 'India'}]",Journal,re,Review,2250001,19900192598,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116849776', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116849776?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116849776&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116849776&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85116849776,SCOPUS_ID:85116849776,2-s2.0-85116849776,Multi-objective workflow scheduling in cloud computing: trade-off between makespan and cost,Belgacem A.,Cluster Computing,13867857,15737543,25,1,579-595,2022-02-01,February 2022,10.1007/s10586-021-03432-y,0,"[{'@_fa': 'true', 'affilname': 'Université de Boumerdes', 'affiliation-city': 'Boumerdes', 'affiliation-country': 'Algeria'}]",Journal,ar,Article,,24596,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85111832674', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85111832674?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111832674&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111832674&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85111832674,SCOPUS_ID:85111832674,2-s2.0-85111832674,Precision trunk injection technology for treatment of huanglongbing (HLB)-affected citrus trees—a review,Li M.,Journal of Plant Diseases and Protection,18613829,18613837,129,1,15-34,2022-02-01,February 2022,10.1007/s41348-021-00510-6,0,"[{'@_fa': 'true', 'affilname': 'Hebei Agricultural University', 'affiliation-city': 'Baoding', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Florida', 'affiliation-city': 'Gainesville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'University of Florida Institute of Food and Agricultural Sciences', 'affiliation-city': 'Gainesville', 'affiliation-country': 'United States'}]",Journal,re,Review,,4700151610,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85099293089', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85099293089?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099293089&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099293089&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85099293089,SCOPUS_ID:85099293089,2-s2.0-85099293089,‘Ethical’ artificial intelligence in the welfare state: Discourse and discrepancy in Australian social services,James A.,Critical Social Policy,02610183,1461703X,42,1,22-42,2022-02-01,February 2022,10.1177/0261018320985463,2,"[{'@_fa': 'true', 'affilname': 'La Trobe University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}]",Journal,ar,Article,,28751,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123258080', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123258080?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123258080&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123258080&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123258080,SCOPUS_ID:85123258080,2-s2.0-85123258080,Deepfake video detection with feature interaction amongst key frames,Zhu K.,Journal of Image and Graphics,10068961,,27,1,188-202,2022-01-16,16 January 2022,10.11834/jig.210408,0,"[{'@_fa': 'true', 'affilname': 'Sun Yat-Sen University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,,21101021717,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123249943', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123249943?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123249943&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123249943&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123249943,SCOPUS_ID:85123249943,2-s2.0-85123249943,3D mesh steganography and steganalysis: review and prospect,Zhou H.,Journal of Image and Graphics,10068961,,27,1,150-162,2022-01-16,16 January 2022,10.11834/jig.210371,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology of China', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Simon Fraser University', 'affiliation-city': 'Burnaby', 'affiliation-country': 'Canada'}]",Journal,re,Review,,21101021717,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115004546', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115004546?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115004546&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115004546&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1386142521009240'}",https://api.elsevier.com/content/abstract/scopus_id/85115004546,SCOPUS_ID:85115004546,2-s2.0-85115004546,Rapid discrimination of Curcuma longa and Curcuma xanthorrhiza using Direct Analysis in Real Time Mass Spectrometry and Near Infrared Spectroscopy,Losso K.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,13861425,,265,,,2022-01-15,15 January 2022,10.1016/j.saa.2021.120347,0,"[{'@_fa': 'true', 'affilname': 'Universität Innsbruck', 'affiliation-city': 'Innsbruck', 'affiliation-country': 'Austria'}, {'@_fa': 'true', 'affilname': 'Austrian Drug Screening Institute', 'affiliation-city': 'Innsbruck', 'affiliation-country': 'Austria'}]",Journal,ar,Article,120347,24530,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",S1386142521009240,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123412686', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123412686?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123412686&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123412686&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123412686,SCOPUS_ID:85123412686,2-s2.0-85123412686,Global Trends and Hotspots in Research on Rehabilitation Robots: A Bibliometric Analysis From 2010 to 2020,Xue X.,Frontiers in Public Health,,22962565,9,,,2022-01-11,11 January 2022,10.3389/fpubh.2021.806723,0,"[{'@_fa': 'true', 'affilname': 'Chengdu Sport University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,806723,21100798718,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,35087788,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124677666,SCOPUS_ID:85124677666,2-s2.0-85124677666,ASM-ROBOT: A Cyber-Physical Home Automation Controller with Memristive Reconfigurable State Machine,Okafor K.C.,International Journal of Advanced Computer Science and Applications,2158107X,21565570,13,1,896-912,2022-01-01,2022,10.14569/IJACSA.2022.01301103,0,"[{'@_fa': 'true', 'affilname': 'Federal University of Technology, Owerri', 'affiliation-city': 'Owerri', 'affiliation-country': 'Nigeria'}, {'@_fa': 'true', 'affilname': 'University of Johannesburg', 'affiliation-city': 'Johannesburg', 'affiliation-country': 'South Africa'}]",Journal,ar,Article,,21100867241,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124676519', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124676519?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124676519&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124676519&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124676519,SCOPUS_ID:85124676519,2-s2.0-85124676519,"5th International Workshop on Artificial Intelligence for Business Process Management, AI4BPM 2021, 17th International Workshop on Business Process Intelligence, BPI 2021, 1st International Workshop on BPM Governance for and Beyond DigitalTransformation, BPMGOV 2021, 1st International Workshop on Business Process Management and Routine Dynamics, BPM and RD 2021, 14th International Workshop on Social and Human Aspects of Business Process Management, BPMS2 2021, 9th International Workshop on DEClarative, DECision and Hybrid approaches to processes, DEC2H 2021, 5th International Workshop on Business Processes Meet the Internet-of-Things, BP-Meet-IoT 2021, 4th International Workshop on Security and Privacy-enhanced Business Process Management, SPBP 2021 held at 19th International Conference on Business Process Management, BPM 2021",,Lecture Notes in Business Information Processing,18651348,18651356,436 LNBIP,,,2022-01-01,2022,,0,,Book Series,cr,Conference Review,,17500155101,0,False,,,,,"[{'@_fa': 'true', '$': '9783030943424'}]"
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124670848', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124670848?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124670848&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124670848&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124670848,SCOPUS_ID:85124670848,2-s2.0-85124670848,Interpretable Machine Learning in Social Sciences: Use Cases and Limitations,Suvorova A.,Communications in Computer and Information Science,18650929,18650937,1503 CCIS,,319-331,2022-01-01,2022,10.1007/978-3-030-93715-7_23,0,"[{'@_fa': 'true', 'affilname': 'National Research University Higher School of Economics', 'affiliation-city': 'Moscow', 'affiliation-country': 'Russian Federation'}]",Book Series,cp,Conference Paper,,17700155007,0,False,,,,,"[{'@_fa': 'true', '$': '9783030937140'}]"
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124648086', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124648086?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124648086&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124648086&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124648086,SCOPUS_ID:85124648086,2-s2.0-85124648086,A Novel Approach to Detect Face Mask in Real Time,Gupta S.,Communications in Computer and Information Science,18650929,18650937,1546 CCIS,,604-615,2022-01-01,2022,10.1007/978-3-030-95711-7_49,0,"[{'@_fa': 'true', 'affilname': 'Amity University', 'affiliation-city': 'Noida', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,,17700155007,0,False,,,,,"[{'@_fa': 'true', '$': '9783030957100'}]"
