@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119422439', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119422439?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119422439&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119422439&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2214212621002349'}",https://api.elsevier.com/content/abstract/scopus_id/85119422439,SCOPUS_ID:85119422439,2-s2.0-85119422439,AICrit: A unified framework for real-time anomaly detection in water treatment plants,Gauthama Raman M.R.,Journal of Information Security and Applications,22142134,64,,2022-02-01,February 2022,10.1016/j.jisa.2021.103046,S2214212621002349,0,"[{'@_fa': 'true', 'affilname': 'Singapore University of Technology and Design', 'affiliation-city': None, 'affiliation-country': 'Singapore'}]",Journal,ar,Article,103046,21100332403,0,False,22142126,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119066285', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119066285?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119066285&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119066285&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261921014136'}",https://api.elsevier.com/content/abstract/scopus_id/85119066285,SCOPUS_ID:85119066285,2-s2.0-85119066285,An online energy management system for AC/DC residential microgrids supported by non-intrusive load monitoring,Çimen H.,Applied Energy,03062619,307,,2022-02-01,1 February 2022,10.1016/j.apenergy.2021.118136,S0306261921014136,0,"[{'@_fa': 'true', 'affilname': 'Aalborg University', 'affiliation-city': 'Aalborg', 'affiliation-country': 'Denmark'}]",Journal,ar,Article,118136,28801,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118989110', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118989110?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118989110&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118989110&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0001457521005042'}",https://api.elsevier.com/content/abstract/scopus_id/85118989110,SCOPUS_ID:85118989110,2-s2.0-85118989110,Mining patterns of autonomous vehicle crashes involving vulnerable road users to understand the associated factors,Kutela B.,Accident Analysis and Prevention,00014575,165,,2022-02-01,February 2022,10.1016/j.aap.2021.106473,S0001457521005042,0,"[{'@_fa': 'true', 'affilname': 'Texas Transportation Institute', 'affiliation-city': 'College Station', 'affiliation-country': 'United States'}]",Journal,ar,Article,106473,19532,0,False,,,,,34774280,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85117331443', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85117331443?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117331443&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117331443&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0951832021006153'}",https://api.elsevier.com/content/abstract/scopus_id/85117331443,SCOPUS_ID:85117331443,2-s2.0-85117331443,Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice,Zio E.,Reliability Engineering and System Safety,09518320,218,,2022-02-01,February 2022,10.1016/j.ress.2021.108119,S0951832021006153,2,"[{'@_fa': 'true', 'affilname': 'Mines ParisTech', 'affiliation-city': 'Paris', 'affiliation-country': 'France'}, {'@_fa': 'true', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}]",Journal,ar,Article,108119,13853,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85102815390', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85102815390?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102815390&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102815390&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85102815390,SCOPUS_ID:85102815390,2-s2.0-85102815390,On Training Traffic Predictors via Broad Learning Structures: A Benchmark Study,Liu D.,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",21682216,52,749-758,2022-02-01,1 February 2022,10.1109/TSMC.2020.3006124,,2,"[{'@_fa': 'true', 'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,,21100262320,0,False,21682232,,,2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85101742423', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85101742423?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101742423&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101742423&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85101742423,SCOPUS_ID:85101742423,2-s2.0-85101742423,Domain-Invariant Similarity Activation Map Contrastive Learning for Retrieval-Based Long-Term Visual Localization,Hu H.,IEEE/CAA Journal of Automatica Sinica,23299266,9,313-328,2022-02-01,1 February 2022,10.1109/JAS.2021.1003907,,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,,21100367773,0,False,23299274,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118500250', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118500250?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118500250&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118500250&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0925400521015264'}",https://api.elsevier.com/content/abstract/scopus_id/85118500250,SCOPUS_ID:85118500250,2-s2.0-85118500250,From air quality sensors to sensor networks: Things we need to learn,Li Y.,Sensors and Actuators B: Chemical,09254005,351,,2022-01-15,15 January 2022,10.1016/j.snb.2021.130958,S0925400521015264,0,"[{'@_fa': 'true', 'affilname': 'SailBri Cooper Inc.', 'affiliation-city': 'Tigard', 'affiliation-country': 'United States'}]",Journal,ar,Article,130958,25236,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124677666,SCOPUS_ID:85124677666,2-s2.0-85124677666,ASM-ROBOT: A Cyber-Physical Home Automation Controller with Memristive Reconfigurable State Machine,Okafor K.C.,International Journal of Advanced Computer Science and Applications,2158107X,13,896-912,2022-01-01,2022,10.14569/IJACSA.2022.01301103,,0,"[{'@_fa': 'true', 'affilname': 'Federal University of Technology, Owerri', 'affiliation-city': 'Owerri', 'affiliation-country': 'Nigeria'}, {'@_fa': 'true', 'affilname': 'University of Johannesburg', 'affiliation-city': 'Johannesburg', 'affiliation-country': 'South Africa'}]",Journal,ar,Article,,21100867241,1,True,21565570,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",1,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124255382', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124255382?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124255382&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124255382&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124255382,SCOPUS_ID:85124255382,2-s2.0-85124255382,Active Learning for Deep Gaussian Process Surrogates,Sauer A.,Technometrics,00401706,,,2022-01-01,2022,10.1080/00401706.2021.2008505,,0,"[{'@_fa': 'true', 'affilname': 'Virginia Polytechnic Institute and State University', 'affiliation-city': 'Blacksburg', 'affiliation-country': 'United States'}]",Journal,ar,Article,,14567,0,False,15372723,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124252552', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124252552?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124252552&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124252552&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124252552,SCOPUS_ID:85124252552,2-s2.0-85124252552,A Machine Learning Based Method for Real-Time Queue Length Estimation Using License Plate Recognition and GPS Trajectory Data,Liu D.,KSCE Journal of Civil Engineering,12267988,,,2022-01-01,2022,10.1007/s12205-022-0451-4,,0,"[{'@_fa': 'true', 'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,,17600155006,0,False,19763808,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124212670', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124212670?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124212670&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124212670&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124212670,SCOPUS_ID:85124212670,2-s2.0-85124212670,Admission Control and Virtual Network Embedding in 5G Networks: a Deep Reinforcement-Learning approach,Troia S.,IEEE Access,,,,2022-01-01,2022,10.1109/ACCESS.2022.3148703,,0,"[{'@_fa': 'true', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}]",Journal,ar,Article,,21100374601,1,True,21693536,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124135817', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124135817?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124135817&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124135817&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124135817,SCOPUS_ID:85124135817,2-s2.0-85124135817,Machine Learning Assisted Energy Optimization in Smart Grid for Smart City Applications,Tang Z.,Journal of Interconnection Networks,02192659,,,2022-01-01,2022,10.1142/S0219265921440060,,0,"[{'@_fa': 'true', 'affilname': 'State Grid Taizhou Power Supply Company', 'affiliation-city': 'JiangSuTaiZhou', 'affiliation-country': 'China'}]",Journal,ar,Article,2144006,12100157101,0,False,17936713,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124110584', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124110584?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124110584&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124110584&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124110584,SCOPUS_ID:85124110584,2-s2.0-85124110584,Research on the Communication Strategy of History and Culture in Shaanxi Based on BP Neural Network Model,Xie D.,Computational Intelligence and Neuroscience,16875265,2022,,2022-01-01,2022,10.1155/2022/8965622,,0,"[{'@_fa': 'true', 'affilname': 'University of Technology MARA', 'affiliation-city': 'Shah Anam', 'affiliation-country': 'Malaysia'}, {'@_fa': 'true', 'affilname': ""Xi'An Traffic Engineering Institute"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,8965622,7000153240,1,True,16875273,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,35111216,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124095139', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124095139?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124095139&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124095139&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124095139,SCOPUS_ID:85124095139,2-s2.0-85124095139,STGs: construct spatial and temporal graphs for citywide crowd flow prediction,Xing J.,Applied Intelligence,0924669X,,,2022-01-01,2022,10.1007/s10489-021-02939-6,,0,"[{'@_fa': 'true', 'affilname': 'Beijing Jiaotong University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,,23674,0,False,15737497,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124007334', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124007334?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124007334&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124007334&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124007334,SCOPUS_ID:85124007334,2-s2.0-85124007334,Intelligent Traffic Accident Detection System Using Surveillance Video,Sun P.,Lecture Notes in Electrical Engineering,18761100,769,995-1005,2022-01-01,2022,10.1007/978-981-16-2090-4_61,,0,"[{'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Book Series,cp,Conference Paper,,19700186822,0,False,18761119,,,,,"[{'@_fa': 'true', '$': '9789811620898'}]"
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123884378', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123884378?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123884378&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123884378&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S000326702101237X'}",https://api.elsevier.com/content/abstract/scopus_id/85123884378,SCOPUS_ID:85123884378,2-s2.0-85123884378,A video processing and machine vision-based automatic analyzer to determine sequentially total suspended and settleable solids in wastewater,de Oliveira Ramos R.,Analytica Chimica Acta,00032670,,,2022-01-01,2022,10.1016/j.aca.2021.339411,S000326702101237X,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal da Paraíba', 'affiliation-city': 'Joao Pessoa', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,339411,23911,0,False,18734324,,,,,
