doi,url,database,title,abstract,publisher,publication_date,domain,id,type,status
2627cdd58ecc81e6176de44724a26ae1bec6b273,https://www.semanticscholar.org/paper/2627cdd58ecc81e6176de44724a26ae1bec6b273,semantic_scholar,energy-aware data management on numa architectures,"The ever-increasing need for more computing and data processing power demands for a continuous and rapid growth of power-hungry data center capacities all over the world. As a first study in 2008 revealed, energy consumption of such data centers is becoming a critical problem, since their power consumption is about to double every 5 years. However, a recently (2016) released follow-up study points out that this threatening trend was dramatically throttled within the past years, due to the increased energy efficiency actions taken by data center operators. Furthermore, the authors of the study emphasize that making and keeping data centers energy-efficient is a continuous task, because more and more computing power is demanded from the same or an even lower energy budget, and that this threatening energy consumption trend will resume as soon as energy efficiency research efforts and its market adoption are reduced. An important class of applications running in data centers are data management systems, which are a fundamental component of nearly every application stack. While those systems were traditionally designed as disk-based databases that are optimized for keeping disk accesses as low a possible, modern state-of-the-art database systems are main memory-centric and store the entire data pool in the main memory, which replaces the disk as main bottleneck. To scale up such in-memory database systems, non-uniform memory access (NUMA) hardware architectures are employed that face a decreased bandwidth and an increased latency when accessing remote memory compared to the local memory. In this thesis, we investigate energy awareness aspects of large scale-up NUMA systems in the context of in-memory data management systems. To do so, we pick up the idea of a fine-grained data-oriented architecture and improve the concept in a way that it keeps pace with increased absolute performance numbers of a pure in-memory DBMS and scales up on NUMA systems in the large scale. To achieve this goal, we design and build ERIS, the first scale-up in-memory data management system that is designed from scratch to implement a data-oriented architecture. With the help of the ERIS platform, we explore our novel core concept for energy awareness, which is Energy Awareness by Adaptivity. The concept describes that software and especially database systems have to quickly respond to environmental changes (i.e., workload changes) by adapting themselves to enter a state of low energy consumption. We present the hierarchically organized Energy-Control Loop (ECL), which is a reactive control loop and provides two concrete implementations of our Energy Awareness by Adaptivity concept, namely the hardware-centric Resource Adaptivity and the software-centric Storage Adaptivity. Finally, we will give an exhaustive evaluation regarding the scalability of ERIS as well as our adaptivity facilities.",,2017,citation,11,to_check,not included
5cefcd5ead9e05871710d75da2d1db75ba9a33bf,https://www.semanticscholar.org/paper/5cefcd5ead9e05871710d75da2d1db75ba9a33bf,semantic_scholar,satellite network architecture design based on sdn and icn technology,"In order to solve the problems of traditional integrated space-terrestrial network control and service deployment complexity and large request delay of streaming media data such as video in big data environment, this paper proposes ContentSDSN architecture. By introducing the idea of SDN and ICN, on the one hand, SDN framework is used to simplify the control of the integrated space-terrestrial network and improve the efficiency of network service deployment; on the other hand, by using of the inherent request aggregation and data distribution capabilities of network forwarding nodes, as well as the forwarding node has high sensitivity to content and optional cache features, in order to achieve the overall performance of the integrated space-terrestrial network upgrade. The simulation results show that ContentSDSN architecture has the advantages of flexible network control and small request delay compared with the integrated space-terrestrial network architecture.",2018 8th International Conference on Electronics Information and Emergency Communication (ICEIEC),2018,citation,12,to_check,included
116a89b6aeb5c99a19ca75b88a93748cd73da5b2,https://www.semanticscholar.org/paper/116a89b6aeb5c99a19ca75b88a93748cd73da5b2,semantic_scholar,an aggregatable name-based routing for energy-efficient data sharing in big data era,"Big data strongly demands a network infrastructure having the capability to efficiently collect, process, cache, share, and deliver the data, instead of simple transmissions. Such network designs show the requirements of energy efficiency, availability, high performance, and data-aware intelligence. To meet these requirements, we adopt the information-centric networking (ICN) approach, where data are retrieved through names and in-network caching is utilized. However, as the typical existing ICN architectures, content centric network (CCN) cannot efficiently utilize the caches for data sharing because of the on-path caching strategy, and network of information (NetInf) demonstrates the resolution latency for data retrievals. To design an efficient and effective ICN architecture for big data sharing, we combine the strong points of CCN and NetInf, where information islands (IOIs) and management plane are utilized for direct data retrieval and global data discovery, respectively. We provide a reference architecture and propose an aggregatable name-based routing (ANBR), which can naturally enable consumers to retrieve the closest copy of information. In this network, each piece of data can be cached at one IOI at most once, which greatly improves the efficiency of cache usages. The consumers first try to retrieve the data in the local IOI, and then try to globally retrieve it from the closest IOI, holding the copy of the data if necessary. We investigate the impact from the key factor, IOI size, to the energy consumption of ANBR. It shows that energy consumption first decreases and then increases as the IOI size increases, and the optimized IOI size can be found for deployment. Furthermore, we study the relation between the optimized IOI size and the average retrieval times for the data. The result shows that the optimized IOI size increases as the average retrieval times increase.",IEEE Access,2015,citation,13,to_check,included
63ee066ff5bb3fca0cd924e8ebeff84a1d308fad,https://www.semanticscholar.org/paper/63ee066ff5bb3fca0cd924e8ebeff84a1d308fad,semantic_scholar,topology-based data dissemination approaches for large scale data centric networking architecture,"Massive information flows are generated from interactive processing and visualizations. To efficiently support information transmission over the Internet, information centric architecture has been recently proposed. In this paper, we consider an information centric architecture, called the data centric networking architecture to provide communication services to big data, where a service identifier is used to name the data objects. We propose different approaches for the dissemination of data objects in a large-scale data centric network. In particular, we propose various approaches to link the data dissemination approach with the topology of the Internet. Further, we evaluate the proposed approaches with respect to data delivery efficiency, round-trip time improvement, and deployment cost. Based on the results obtained from this study, it can be shown that by disseminating data objects to small ISPs, the data delivery efficiency can be significantly improved within an acceptable deployment cost.",China Communications,2013,citation,14,to_check,not included
5045fb290a1ab454ef18d1ab3ae1444712739529,https://www.semanticscholar.org/paper/5045fb290a1ab454ef18d1ab3ae1444712739529,semantic_scholar,towards a service-oriented architecture for the energy efficiency of buildings: a systematic review,"Currently, smart buildings generate large amounts of data due to the many devices and equipment available. Hence, buildings implement building management systems (BMSs), which monitor, control, manage and analyze each of these components. However, current BMSs are incapable of managing a massive amount of data (big data) and therefore cannot extract knowledge or make intelligent decisions in quasi real time. In addition, there are serious limitations to integrating BMSs with other services since they generally use proprietary software. In this sense, service-oriented architecture (SOA) is an architectural style that allows one to build distributed systems and provide functionalities such as services to end users or other types of services. Therefore, an SOA has the great advantage of allowing the expansion of the functionalities of BMSs. In fact, there are several studies that address SOAs for building management. However, we have not found any description or systematic analysis in the literature that allows the development of a versatile and interoperable SOA focused on the energy efficiency of buildings and that can integrate massive data analysis features. For these reasons, this study seeks to fill this knowledge gap and, more specifically, to identify and analyze the various software requirements proposed in the literature and the characteristics of big data that allow for improving the energy efficiency of buildings. To this end, we performed an in-depth review of the literature according to the methodology proposed by Kitchenham. As a result of this review, we provide researchers with a specific vision of the requirements and characteristics to consider for software development aimed at the energy efficiency of unique or historic buildings.",IEEE Access,2021,citation,15,to_check,not included
b0e3120aa51446006c5bfe53dc1ad4a66f4768af,https://www.semanticscholar.org/paper/b0e3120aa51446006c5bfe53dc1ad4a66f4768af,semantic_scholar,medical prognosis of infectious diseases in nursing homes by applying machine learning on clinical data collected in cloud microservices,"Background: treating infectious diseases in elderly individuals is difficult; patient referral to emergency services often occurs, since the elderly tend to arrive at consultations with advanced, serious symptoms. Aim: it was hypothesized that anticipating an infectious disease diagnosis by a few days could significantly improve a patient’s well-being and reduce the burden on emergency health system services. Methods: vital signs from residents were taken daily and transferred to a database in the cloud. Classifiers were used to recognize patterns in the spatial domain process of the collected data. Doctors reported their diagnoses when any disease presented. A flexible microservice architecture provided access and functionality to the system. Results: combining two different domains, health and technology, is not easy, but the results are encouraging. The classifiers reported good results; the system has been well accepted by medical personnel and is proving to be cost-effective and a good solution to service disadvantaged areas. In this context, this research found the importance of certain clinical variables in the identification of infectious diseases. Conclusions: this work explores how to apply mobile communications, cloud services, and machine learning technology, in order to provide efficient tools for medical staff in nursing homes. The scalable architecture can be extended to big data applications that may extract valuable knowledge patterns for medical research.",International Journal of Environmental Research and Public Health,2021,citation,16,to_check,not included
2d89fa83d6e68d0f9b8914a65778c65b2cf03d3c,https://www.semanticscholar.org/paper/2d89fa83d6e68d0f9b8914a65778c65b2cf03d3c,semantic_scholar,cost-effective vital signs collecting system based on fast biosensors and a flexible cloud microservices architecture for the prognosis of infectious diseases (preprint),"
 BACKGROUND
 Quite often, patients arrive to consultation when the symptoms of an infectious disease are already serious, forcing doctors to divert them to the emergency services. Particularly, the possible anticipation of the diagnosis -prognostic- for institutionalized people would lead to soften the treatment, increasing resident’s wellness and alleviating the degradation of the emergency services. Big data, mobile communications, cloud services or machine learning technologies applied in medicine -e-Health- assist practitioners with efficient tools.
 
 
 OBJECTIVE
 This article describes a new data collection system for predicting infectious diseases in elderly people, supporting future telecare and medical recommender applications.
 
 
 METHODS
 The system provides a medical database updated with vital signs that nurses take with medical sensors from residents. The Cloud database is accessible with a flexible microservices software architecture.
 
 
 RESULTS
 The e-Health system components are cost-effective, leading to massive implementations for servicing disadvantaged areas. The scalable architecture is prepared for big data applications that may extract valuable knowledge patterns for medical research.
 
 
 CONCLUSIONS
 The innovation relies in the combination of advanced e-Health technologies and procedures that delivers ubiquitously available quality data to provide multifaceted scalable low-cost applications to improve resident’s wealth and release public health care services.
",,2019,citation,17,to_check,not included
355f2e5901d31fe22594bf1d8cecead117212c40,https://www.semanticscholar.org/paper/355f2e5901d31fe22594bf1d8cecead117212c40,semantic_scholar,api deployment for big data management towards sustainable energy prosumption in smart cities-a layered architecture perspective,"ABSTRACT The smart city has emerged as a universal term for the pervasive utilisation of information and communication technologies deployed to provide value-added services to citizens based on data generated from sectors such as energy, mobility, etc. However, current approaches are faced with interoperability as a challenging issue in processing big data. Therefore, this study explores the role of application programming interfaces (APIs) for managing real-time, online, and historical energy data in the context of residential buildings and electric vehicles. Moreover, a layered architecture that employs APIs in big data is developed for district energy management towards providing energy information intelligence and support decision-making on energy sustainability in facilitating prosumption operations. Practically, the layered architecture collects energy data and provides data to prosumers who are citizens that produce, consume, share, and sell energy generated from renewable sources such as solar and wind to better improve energy prosumption in smart grid.",International Journal of Sustainable Energy,2020,citation,18,to_check,not included
ee4488c2b59bbddd571e7657309b27ebe64d1d6a,https://www.semanticscholar.org/paper/ee4488c2b59bbddd571e7657309b27ebe64d1d6a,semantic_scholar,big data-oriented energy prosumption service in smart community districts: a multi-case study perspective,"The smart grid achieves bidirectional information and energy flow between energy consumer and utility grid, aiding energy users not only to utilize energy, but also to produce, sell, and share energy with other consumers or with the utility grid. This type of energy user is referred to as the “prosumer”. Thus, prosumer management structures are important within energy market. However, prior studies on energy sustainability has paid little attention on prosumer involvement and management. Likewise, the continuous growth of cities has increased data processing complexity. Consequently, processing and analysis of historical, online, and real-time streaming data from energy sensors and metering devices has become a major issue in smart cities. Therefore, this research aims to present an architecture based on big data to improve energy prosumption in smart community districts by applying enterprise architecture approach grounded on The Open Group Architecture Framework (TOGAF). Accordingly, qualitative methodology is adopted to collect data by employing case study by focus group interview from two energy companies in Norway to preliminarily validate the architecture. Findings from the case studies was demonstrated in ArchiMate modeling language to evaluate the applicability of the architecture. Moreover, findings from this study provides practical scenario that energy service providers can refer to in designing their own energy data platforms. Essentially, the architecture can be utilized as a guide to help municipalities and policy makers in creating approach for energy data analytics in smart community districts towards making decisions for future energy prosumption planning.",Energy Inform.,2019,citation,19,to_check,included
93897f6f3f30ca3029ca7ed86892eefde373d816,https://www.semanticscholar.org/paper/93897f6f3f30ca3029ca7ed86892eefde373d816,semantic_scholar,enabling global big data computations,"Most analytics projects focus on the management of the 3Vs of big data and use specific stacks to support this variety. However, they constrain themselves to “local” data, data that exists within or “close” to the organization, or external data imported to local systems. And yet, as it has been recently pointed out, “the value of data explodes when it can be linked with other data.” In this paper we present our vision for a global marketplace of analytics—either in the form of per-entity metrics or per-entity data, provided by globally accessible data management tasks— where a data scientist can pick and combine data at will in her data mining algorithms, possibly combining with her own data. The main idea is to use the dataframe, a popular data structure in R and Python. Currently, the columns of a dataframe contain computations or data found within the data infrastructure of the organization. We propose to extend the concept of a column. A column is now a collection of key-value pairs, produced anywhere by a remotely accessed program (e.g., an SQL query, a MapReduce job, even a continuous query.) The key is used for the outer join with the existing dataframe, the value is the content of the column. This whole process should be orchestrated by a set of well-defined, standardized APIs. We argue that the proposed architecture presents numerous challenges and could be beneficial for big data interoperability. In addition, it can be used to build mediation systems involving local or global columns. Columns correspond to attributes of entities, where the primary key of the entity is the key of the involved columns.",DOLAP,2018,citation,20,to_check,not included
261746995b755658f33eb65d33e45fd11dce56e2,https://www.semanticscholar.org/paper/261746995b755658f33eb65d33e45fd11dce56e2,semantic_scholar,the data management entity: a simple abstraction to facilitate big data systems interoperability,"big data era is described by intense variety in data management systems, query languages and programming paradigms. Each system targets well a specific application area, reinforcing the belief that the era of one-size fits all has gone. Interoperability, systems' connectivity and high-level data models become once again the core of research initiatives. In this paper we present our vision for a layered architecture to support interoperability among different data management systems, generalized under the term data management entities (DMEs). DMEs range from JVMs running java programs to Hadoop systems employing complex MapReduce jobs to traditional RDBMS running SQL queries to stream engines and CEP scripts. The top layer consists of a universe of DMEs, communicating through a well defined http-like protocol: a DME transparently invokes another DME's data manipulation task, regardless task's nature. Communicating DMEs share/operate on a shared data object, a key-value set (KVS) - just a set of key-value pairs - which exists in the layer below and is referenced through a unique (internet-wide) address via a well-defined API. This layer serves as the transient common memory space for communicating DMEs and consists of globally addressable KVSs, organized in domains, sub-domains, etc. In a way, this approach constitutes a form of remote procedure call by reference (the KVS is the common reference). We argue that this architecture allows the construction of high level query languages and cost-based distributed query processing engines, involving completely heterogeneous data manipulation tasks. For example, we show that MapReduce evaluation algorithm and distributed relational query processing are just instances of the proposed architecture. We also claim that it can easily facilitate the end-to-end processing in big data applications, an established goal in the research agenda set by the Beckman report.",EDBT/ICDT Workshops,2016,citation,21,to_check,not included
48a27b7f2dff8a148e4a6ed18eefe024f0edc55c,https://www.semanticscholar.org/paper/48a27b7f2dff8a148e4a6ed18eefe024f0edc55c,semantic_scholar,applying security to a big stream cloud architecture for the internet of things,"The Internet of Things IoT is expected to interconnect billions around 50 by 2020 of heterogeneous sensor/actuator-equipped devices denoted as ""Smart Objects"" SOs, characterized by constrained resources in terms of memory, processing, and communication reliability. Several IoT applications have real-time and low-latency requirements and must rely on architectures specifically designed to manage gigantic streams of information in terms of number of data sources and transmission data rate. We refer to ""Big Stream"" as the paradigm which best fits the selected IoT scenario, in contrast to the traditional ""Big Data"" concept, which does not consider real-time constraints. Moreover, there are many security concerns related to IoT devices and to the Cloud. In this paper, we analyze security aspects in a novel Cloud architecture for Big Stream applications, which efficiently handles Big Stream data through a Graph-based platform and delivers processed data to consumers, with low latency. The authors detail each module defined in the system architecture, describing all refinements required to make the platform able to secure large data streams. An experimentation is also conducted in order to evaluate the performance of the proposed architecture when integrating security mechanisms.",Int. J. Distributed Syst. Technol.,2016,citation,22,to_check,included
ad280d4e5f7fc42cc792d5b4a7cd7d63abb39fcc,https://www.semanticscholar.org/paper/ad280d4e5f7fc42cc792d5b4a7cd7d63abb39fcc,semantic_scholar,information-centric iot middleware overlay: vsl,"The heart of the Internet of Things (IoT) is data. IoT services processes data from sensors that interface their physical surroundings, and from other software such as Internet weather databases. They produce data to control physical environments via actuators, and offer data to other services. More recently, service-centric designs for managing the IoT have been proposed. Data-centric or name-based communication architectures complement these developments very well. Especially for edge-based or site-local installations, data-centric Internet architectures can be implemented already today, as they do not require any changes at the core. We present the Virtual State Layer (VSL), a site-local data-centric architecture for the IoT. Special features of our solution are full separation of logic and data in IoT services, offering the data-centric VSL interface directly to developers, which significantly reduces the overall system complexity, explicit data modeling, a semantically-rich data item lookup, stream connections between services, and security-by-design. We evaluate our solution regarding usability, performance, scalability, resilience, energy efficiency, and security.",2019 International Conference on Networked Systems (NetSys),2019,citation,23,to_check,included
998285364a6d51cc6ba089993c30197a006423d2,https://www.semanticscholar.org/paper/998285364a6d51cc6ba089993c30197a006423d2,semantic_scholar,the use of computational intelligence for security in named data networking,"Information-Centric Networking (ICN) has recently been considered as a promising paradigm for the next-generation Internet, shifting from the sender-driven end-to-end communication paradigma to a receiver-driven content retrieval paradigm. In ICN, content -rather than hosts, like in IP-based design- plays the central role in the communications. This change from host-centric to content-centric has several significant advantages such as network load reduction, low dissemination latency, scalability, etc. One of the main design requirements for the ICN architectures -since the beginning of their design- has been strong security. 
Named Data Networking (NDN) (also referred to as Content-Centric Networking (CCN) or Data-Centric Networking (DCN)) is one of these architectures that are the focus of an ongoing research effort that aims to become the way Internet will operate in the future. Existing research into security of NDN is at an early stage and many designs are still incomplete. To make NDN a fully working system at Internet scale, there are still many missing pieces to be filled in. In this dissertation, we study the four most important security issues in NDN in order to defense against new forms of -potentially unknown- attacks, ensure privacy, achieve high availability, and block malicious network traffics belonging to attackers or at least limit their effectiveness, i.e., anomaly detection, DoS/DDoS attacks, congestion control, and cache pollution attacks. In order to protect NDN infrastructure, we need flexible, adaptable and robust defense systems which can make intelligent -and real-time- decisions to enable network entities to behave in an adaptive and intelligent manner. In this context, the characteristics of Computational Intelligence (CI) methods such as adaption, fault tolerance, high computational speed and error resilient against noisy information, make them suitable to be applied to the problem of NDN security, which can highlight promising new research directions. Hence, we suggest new hybrid CI-based methods to make NDN a more reliable and viable architecture for the future Internet.",,2015,citation,24,to_check,not included
