doi,url,database,title,abstract,publisher,publication_date,id,type,domain
b381cef7229960e7cb71be9adbe826d5db043829,https://www.semanticscholar.org/paper/b381cef7229960e7cb71be9adbe826d5db043829,semantic_scholar,Preliminary Study and Implementation of Chiang Mai Tourism Platform Based on DOSA,"To cope with data complication systematically, a tourism platform is proposed through a newly-defined concept named Data Oriented Security Architecture or DOSA. The framework of DOSA shifts an attention from “Application” in a conventional method to “Data”. The main idea is to neutralize the numerously different sources of data into single entity called Data Register Center and strengthen the security of data by utilizing the public- and private-key encryption. Thus it could be simply adaptable to the varieties of applications and easily extensible to sustainable development. The advantages of DOSA include (1) maintainability of data ownership, (2) improvement in security and privacy, and (3) reduction in storage that, as a result, are suitable to modern application development. The application prototype is implemented in web application and piloted by a set of tourist destination in Chiang Mai. This work contains the implementation from Data Register Center in DOSA through the Tourism Service Platform. Although the sample does not include all features of the DOSA, the results are comprehensive and ready for the future extension and improvement.",,2020,16,filtered,citation
442567e7d47373f6d305a249b7ae05b81d15782e,https://www.semanticscholar.org/paper/442567e7d47373f6d305a249b7ae05b81d15782e,semantic_scholar,Consideration and Research on Data Architecture for the Future Cyber Society,"The future cyber society is a virtual world made of data, contrasted with the real world made of material. Human beings are already living in these two interacted and fusional worlds. Various of data are not only the kind of valuable resources, but also the new cognitions of methodology from the viewpoint of data. There are too many characteristics and attributions of data we even didn't really know, such as data philosophy, data thinking, data theory, data rules, data assets, data ownership, data protection, data sharing, data application, data method, data architecture, etc. We need to build an open, safety, sharable, ecological data platform to manage all kinds of data and support various applications for the future cyber society. A simple architecture of data-oriented and data ownership-based, constructed of one-body with two-wings for building complex information systems was proposed and it may be suitable for the future ordered cyber data society.","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",2019,17,filtered,citation
4784c2c7418311172150b606b87c71d24ea12e5b,https://www.semanticscholar.org/paper/4784c2c7418311172150b606b87c71d24ea12e5b,semantic_scholar,Enhanced Forwarding Strategies in Information Centric Networking,"Network use has evolved over time to be dominated by content distribution and retrieval, while networking technology is mainly concerned with connections between named hosts. Accessing contents and services require the mapping of what users care about to where the content is located. Information Centric Networking (ICN) is a new paradigm in networking and a future Internet architecture which treats content as the primitive decoupling location from identity, security and access to retrieve content by name. Together with built-in capabilities for caching content, multi-path communications, disruption tolerance and security, ICN is able to leverage advancements in technology to address the issues associated with the mismatch between today’s network use and network architecture. There are a number of ICN architectures, viz., Network of Information (NetInf), Publish-Subscribe Internet Routing Paradigm (PSIRP), Data Oriented Network Architecture (DONA) and Content Centric Networking (CCN) being developed by researchers worldwide with the ultimate focus of replacing the current Internet. CCN, a ""Clean Slate"" architecture to ICN, uses new approaches to routing named content, achieving scalability, security and performance. Most computing devices of today (user devices as well as in the core network) are equipped with multiple networking interfaces and hence, have the ability to use multiple paths within or over different networks. The widest possible experience in using multi-path is mostly available in Internet Protocol (TCP/IP) based networks and the research done shows that multi-path routing can achieve robustness, load balancing, congestion reduction, low power consumption, and higher throughput. CCN, which has built-in capabilities to handle multiple networking attachments proposes two forwarding strategies, viz., the standard strategy which replicates network traffic into multiple paths and the best-face strategy which uses the discovered multiple paths one at a time, alternatively. However, these forwarding strategies do not exploit the full potential of CCN, especially the multi-path capability to improve performance in CCN based networks. The main objective of this thesis therefore, is to identify a set of mechanisms that capitalize on the multipath capability of CCN to improve the overall performance of user applications and the deployed networks.",,2015,18,filtered,citation
2627cdd58ecc81e6176de44724a26ae1bec6b273,https://www.semanticscholar.org/paper/2627cdd58ecc81e6176de44724a26ae1bec6b273,semantic_scholar,Energy-Aware Data Management on NUMA Architectures,"The ever-increasing need for more computing and data processing power demands for a continuous and rapid growth of power-hungry data center capacities all over the world. As a first study in 2008 revealed, energy consumption of such data centers is becoming a critical problem, since their power consumption is about to double every 5 years. However, a recently (2016) released follow-up study points out that this threatening trend was dramatically throttled within the past years, due to the increased energy efficiency actions taken by data center operators. Furthermore, the authors of the study emphasize that making and keeping data centers energy-efficient is a continuous task, because more and more computing power is demanded from the same or an even lower energy budget, and that this threatening energy consumption trend will resume as soon as energy efficiency research efforts and its market adoption are reduced. An important class of applications running in data centers are data management systems, which are a fundamental component of nearly every application stack. While those systems were traditionally designed as disk-based databases that are optimized for keeping disk accesses as low a possible, modern state-of-the-art database systems are main memory-centric and store the entire data pool in the main memory, which replaces the disk as main bottleneck. To scale up such in-memory database systems, non-uniform memory access (NUMA) hardware architectures are employed that face a decreased bandwidth and an increased latency when accessing remote memory compared to the local memory. In this thesis, we investigate energy awareness aspects of large scale-up NUMA systems in the context of in-memory data management systems. To do so, we pick up the idea of a fine-grained data-oriented architecture and improve the concept in a way that it keeps pace with increased absolute performance numbers of a pure in-memory DBMS and scales up on NUMA systems in the large scale. To achieve this goal, we design and build ERIS, the first scale-up in-memory data management system that is designed from scratch to implement a data-oriented architecture. With the help of the ERIS platform, we explore our novel core concept for energy awareness, which is Energy Awareness by Adaptivity. The concept describes that software and especially database systems have to quickly respond to environmental changes (i.e., workload changes) by adapting themselves to enter a state of low energy consumption. We present the hierarchically organized Energy-Control Loop (ECL), which is a reactive control loop and provides two concrete implementations of our Energy Awareness by Adaptivity concept, namely the hardware-centric Resource Adaptivity and the software-centric Storage Adaptivity. Finally, we will give an exhaustive evaluation regarding the scalability of ERIS as well as our adaptivity facilities.",,2017,19,filtered,citation
b255bc0b959fe46252c85f53820b62ebb770afee,https://www.semanticscholar.org/paper/b255bc0b959fe46252c85f53820b62ebb770afee,semantic_scholar,QuantCloud: Enabling Big Data Complex Event Processing for Quantitative Finance Through a Data-Driven Execution,"Quantitative Finance (QF) utilizes increasingly sophisticated mathematic models and advanced computer techniques to predict the movement of global markets, and price the derivatives and other assets. Being able to react quickly and intelligently to fast-changing markets is a decisive success factor for trading companies. To date, the rise of QF requires an integrated toolchain of enabling technologies to carry out complex event processing on the explosive growth and diversified forms of market metadata, in pursuit of a microsecond latency on an Exabyte-level dataset. Inspired by this, we present a data-driven execution paradigm that untangles the dependencies of complex processing events and integrate the paradigm with a big data infrastructure that streams time series data. This integrated platform is termed as the QuantCloud platform. Essentially, QuantCloud executes the complex event processing in a data-driven mode and manages large amounts of diversified market data in a data-parallel mode. To show its practicability and performance, we develop a prototype and benchmark by applying real-world QF research models on the New York Stock Exchange (NYSE) data. Using this prototype, we demonstrate this platform with an application to: (i) data cleaning and aggregating (including the computing of logarithmic returns from tick data and the finding the medians of grouped data) and (ii) data modeling: the autoregressive-moving average (ARMA) model. The performance results show that (a) this platform obtains a high throughput (usually in the order of millions of tick messages per second) and a sub-microsecond latency; (b) it fully executes data-dependent tasks through a data-driven execution; and (c) it implements a modular design approach for rapidly developing these data-crunching methods and QF research models. This platform resulting from an aggregated effort of the data-driven execution and big data infrastructure, offers the financial engineers with new insights and enhanced capabilities for effective and efficient incorporation of big data complex event processing technologies in their workflow.",IEEE Transactions on Big Data,2019,20,filtered,citation
cfd5063808f3a1c6b4b9da598c10b094fb753153,https://www.semanticscholar.org/paper/cfd5063808f3a1c6b4b9da598c10b094fb753153,semantic_scholar,Evaluative Review of Streaming Analytics: Tools and Technologies in Real-Time Data Processing,"Nowadays, big data processing systems are evolving to be more stream-oriented; where each data record is processed as it arrives by distributed and low latency computational frameworks [18]. Data streams have been extensively used in several fields of computational analytics such as data mining, business intelligence etc. [17]. In every field, the data stream can be considered as an ordered sequence of data items, as they continuously arrive over the period. Due to this characteristic, streaming data analytics is a challenging area of research [5, 11]. This paper aims to present data stream processing as a growing research field , along with streaming analytics frameworks as a rich focus area. The paper also contributes to evaluate the efficacy of available stream analytics frameworks. One of the Industry 4.0 use case - predictive maintenance rail transportation - has been illustrated here as a case study design mapped with streaming analytics framework.",,2021,21,filtered,citation
5cefcd5ead9e05871710d75da2d1db75ba9a33bf,https://www.semanticscholar.org/paper/5cefcd5ead9e05871710d75da2d1db75ba9a33bf,semantic_scholar,Satellite Network Architecture Design Based on SDN and ICN Technology,"In order to solve the problems of traditional integrated space-terrestrial network control and service deployment complexity and large request delay of streaming media data such as video in big data environment, this paper proposes ContentSDSN architecture. By introducing the idea of SDN and ICN, on the one hand, SDN framework is used to simplify the control of the integrated space-terrestrial network and improve the efficiency of network service deployment; on the other hand, by using of the inherent request aggregation and data distribution capabilities of network forwarding nodes, as well as the forwarding node has high sensitivity to content and optional cache features, in order to achieve the overall performance of the integrated space-terrestrial network upgrade. The simulation results show that ContentSDSN architecture has the advantages of flexible network control and small request delay compared with the integrated space-terrestrial network architecture.",2018 8th International Conference on Electronics Information and Emergency Communication (ICEIEC),2018,22,filtered,citation
116a89b6aeb5c99a19ca75b88a93748cd73da5b2,https://www.semanticscholar.org/paper/116a89b6aeb5c99a19ca75b88a93748cd73da5b2,semantic_scholar,An Aggregatable Name-Based Routing for Energy-Efficient Data Sharing in Big Data Era,"Big data strongly demands a network infrastructure having the capability to efficiently collect, process, cache, share, and deliver the data, instead of simple transmissions. Such network designs show the requirements of energy efficiency, availability, high performance, and data-aware intelligence. To meet these requirements, we adopt the information-centric networking (ICN) approach, where data are retrieved through names and in-network caching is utilized. However, as the typical existing ICN architectures, content centric network (CCN) cannot efficiently utilize the caches for data sharing because of the on-path caching strategy, and network of information (NetInf) demonstrates the resolution latency for data retrievals. To design an efficient and effective ICN architecture for big data sharing, we combine the strong points of CCN and NetInf, where information islands (IOIs) and management plane are utilized for direct data retrieval and global data discovery, respectively. We provide a reference architecture and propose an aggregatable name-based routing (ANBR), which can naturally enable consumers to retrieve the closest copy of information. In this network, each piece of data can be cached at one IOI at most once, which greatly improves the efficiency of cache usages. The consumers first try to retrieve the data in the local IOI, and then try to globally retrieve it from the closest IOI, holding the copy of the data if necessary. We investigate the impact from the key factor, IOI size, to the energy consumption of ANBR. It shows that energy consumption first decreases and then increases as the IOI size increases, and the optimized IOI size can be found for deployment. Furthermore, we study the relation between the optimized IOI size and the average retrieval times for the data. The result shows that the optimized IOI size increases as the average retrieval times increase.",IEEE Access,2015,23,filtered,citation
3fc6d348f19826ccdfcd4763e69f610cf3b4f2d7,https://www.semanticscholar.org/paper/3fc6d348f19826ccdfcd4763e69f610cf3b4f2d7,semantic_scholar,Information Centric Networking for Delivering Big Data with Persistent Identifiers,"Information Centric Networking (ICN) is a new and promising network concept which is founded upon the idea that most users in the internet are interested in accessing digital objects, irrespectively of their locations. Digital objects in ICN have unique names that are used in order to route data content from the source node to the destination node. During the content delivery from sources to destinations, the data contents are cached to intermediate nodes in order to achieve efficient and reliable distribution of the data content among the network infrastructure (in-network caching). In this research project we focus on the efficiency of ICN for delivering Big Data with Persistent Identifiers. We proposed a Mapping Architecture for resolving PIDs to ICN names and we evaluate the efficiency of in-network caching when delivering Big Data objects. Our results showed that in-network caching can offer significant performance benefits when the cache size of the network elements that perform in-network caching is bigger than the Big Data object size.",,2014,24,filtered,citation
39857610766e160d2b0f0eda0a80092fb03c0680,https://www.semanticscholar.org/paper/39857610766e160d2b0f0eda0a80092fb03c0680,semantic_scholar,A content centric approach to energy efficient data dissemination,"Planet scale growth in deployment of mobile and interconnected devices interacting in a participatory sensing, collection and dissemination of information, have motivated interest in the Internet of Things. Therefore, the problem of information overload and big data becomes inherent. In this paper we intend to propose a methodology aiming at a lower processing overhead towards an energy efficient method for networking of information in larger systems. We consider a content-centric networking paradigm that is aimed at enhancing the dissemination of information and eliminating many problems of host based communication. The proposed method is based on a network coding approach which leverages the spectral characteristics of network topology. We argue that topology of interacting nodes within a cluster can influence the performance of network coding from a computational complexity perspective and therefore the overall energy consumption in a system. We propose an algorithm that takes an opportunistic strategy to utilize the social structure and spectral characteristics of the network topology based on our design of a multicast coding network that reduces the number of encoding nodes.",2013 IEEE International Systems Conference (SysCon),2013,25,filtered,citation
63ee066ff5bb3fca0cd924e8ebeff84a1d308fad,https://www.semanticscholar.org/paper/63ee066ff5bb3fca0cd924e8ebeff84a1d308fad,semantic_scholar,Topology-based data dissemination approaches for large scale data centric networking architecture,"Massive information flows are generated from interactive processing and visualizations. To efficiently support information transmission over the Internet, information centric architecture has been recently proposed. In this paper, we consider an information centric architecture, called the data centric networking architecture to provide communication services to big data, where a service identifier is used to name the data objects. We propose different approaches for the dissemination of data objects in a large-scale data centric network. In particular, we propose various approaches to link the data dissemination approach with the topology of the Internet. Further, we evaluate the proposed approaches with respect to data delivery efficiency, round-trip time improvement, and deployment cost. Based on the results obtained from this study, it can be shown that by disseminating data objects to small ISPs, the data delivery efficiency can be significantly improved within an acceptable deployment cost.",China Communications,2013,26,filtered,citation
