@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,pii,freetoread,freetoreadLabel,prism:isbn,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105775718', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105775718?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105775718&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105775718&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105775718,SCOPUS_ID:85105775718,2-s2.0-85105775718,Coordination control of active front steering and direct yaw moment control based on stability judgment for AVs stability enhancement,Yao X.,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",09544070,,236,1,59-74,2022-01-01,January 2022,10.1177/09544070211018104,0,"[{'@_fa': 'true', 'affilname': 'Hefei University of Technology', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",Journal,ar,Article,,23969,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114329393', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114329393?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114329393&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114329393&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114329393,SCOPUS_ID:85114329393,2-s2.0-85114329393,Deep learning algorithm as a strategy for detection an invasive species in uncontrolled environment,Martínez-González Á.T.,Reviews in Fish Biology and Fisheries,09603166,15735184,31,4,909-922,2021-12-01,December 2021,10.1007/s11160-021-09667-7,0,"[{'@_fa': 'true', 'affilname': 'Centro de Investigacion Cientifica de Yucatan', 'affiliation-city': 'Merida', 'affiliation-country': 'Mexico'}]",Journal,ar,Article,,23366,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85110898180', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85110898180?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110898180&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110898180&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85110898180,SCOPUS_ID:85110898180,2-s2.0-85110898180,Deep Learning Based Data Fusion for Sensor Fault Diagnosis and Tolerance in Autonomous Vehicles,Pan H.,Chinese Journal of Mechanical Engineering (English Edition),10009345,21928258,34,1,,2021-12-01,December 2021,10.1186/s10033-021-00568-1,1,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Ningbo', 'affiliation-country': 'China'}]",Journal,ar,Article,72,19806,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105426206', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105426206?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105426206&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105426206&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105426206,SCOPUS_ID:85105426206,2-s2.0-85105426206,CARAMEL: results on a secure architecture for connected and autonomous vehicles detecting GPS spoofing attacks,Vitale C.,Eurasip Journal on Wireless Communications and Networking,16871472,16871499,2021,1,,2021-12-01,December 2021,10.1186/s13638-021-01971-x,0,"[{'@_fa': 'true', 'affilname': 'University of Cyprus', 'affiliation-city': 'Nicosia', 'affiliation-country': 'Cyprus'}]",Journal,ar,Article,115,18202,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105207085', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105207085?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105207085&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105207085&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105207085,SCOPUS_ID:85105207085,2-s2.0-85105207085,Deep learning-based identification system of weeds and crops in strawberry and pea fields for a precision agriculture sprayer,Khan S.,Precision Agriculture,13852256,15731618,22,6,1711-1727,2021-12-01,December 2021,10.1007/s11119-021-09808-9,2,"[{'@_fa': 'true', 'affilname': 'University of Engineering and Technology, Peshawar', 'affiliation-city': 'Peshawar', 'affiliation-country': 'Pakistan'}, {'@_fa': 'true', 'affilname': 'National Center of Robotics and Automation', 'affiliation-city': 'Peshawar', 'affiliation-country': 'Pakistan'}]",Journal,ar,Article,,86245,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85088560716', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85088560716?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088560716&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088560716&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85088560716,SCOPUS_ID:85088560716,2-s2.0-85088560716,Artificial intelligence and game theory controlled autonomous UAV swarms,Kusyk J.,Evolutionary Intelligence,18645909,18645917,14,4,1775-1792,2021-12-01,December 2021,10.1007/s12065-020-00456-y,1,"[{'@_fa': 'true', 'affilname': 'City University of New York', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}]",Journal,ar,Article,,14500154734,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85111010813', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85111010813?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111010813&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111010813&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S095741742100806X'}",https://api.elsevier.com/content/abstract/scopus_id/85111010813,SCOPUS_ID:85111010813,2-s2.0-85111010813,Intelligent control of an UAV with a cable-suspended load using a neural network estimator,Sierra-García J.E.,Expert Systems with Applications,09574174,,183,,,2021-11-30,30 November 2021,10.1016/j.eswa.2021.115380,0,"[{'@_fa': 'true', 'affilname': 'Universidad Complutense de Madrid', 'affiliation-city': 'Madrid', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'Universidad de Burgos', 'affiliation-city': 'Burgos', 'affiliation-country': 'Spain'}]",Journal,ar,Article,115380,24201,0,False,S095741742100806X,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85108361303', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85108361303?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108361303&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108361303&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0957417421007715'}",https://api.elsevier.com/content/abstract/scopus_id/85108361303,SCOPUS_ID:85108361303,2-s2.0-85108361303,A framework for 3D tracking of frontal dynamic objects in autonomous cars,Lotfi F.,Expert Systems with Applications,09574174,,183,,,2021-11-30,30 November 2021,10.1016/j.eswa.2021.115343,0,"[{'@_fa': 'true', 'affilname': 'K. N. Toosi\xa0University\xa0of Technology', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",Journal,ar,Article,115343,24201,0,False,S0957417421007715,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115024624', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115024624?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115024624&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115024624&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S092523122101362X'}",https://api.elsevier.com/content/abstract/scopus_id/85115024624,SCOPUS_ID:85115024624,2-s2.0-85115024624,Fast intent prediction of multi-cyclists in 3D point cloud data using deep neural networks,Saleh K.,Neurocomputing,09252312,18728286,465,,205-214,2021-11-20,20 November 2021,10.1016/j.neucom.2021.09.008,0,"[{'@_fa': 'true', 'affilname': 'University of Technology Sydney', 'affiliation-city': 'Sydney', 'affiliation-country': 'Australia'}]",Journal,ar,Article,,24807,0,False,S092523122101362X,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119172724', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119172724?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119172724&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119172724&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85119172724,SCOPUS_ID:85119172724,2-s2.0-85119172724,Online Adaptation of Parameters using GRU-based Neural Network with BO for Accurate Driving Model,Yang Z.,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,,,,,33-36,2021-11-02,2 November 2021,10.1145/3474717.3483632,0,"[{'@_fa': 'true', 'affilname': 'IBM Research', 'affiliation-city': 'Yorktown Heights', 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,,21101065647,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', '$': '9781450386647'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119114129', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119114129?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119114129&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119114129&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85119114129,SCOPUS_ID:85119114129,2-s2.0-85119114129,Predicting equivalent water thickness in wheat using UAV mounted multispectral sensor through deep learning techniques,Traore A.,Remote Sensing,,20724292,13,21,,2021-11-01,November-1 2021,10.3390/rs13214476,0,"[{'@_fa': 'true', 'affilname': 'Chinese Academy of Agricultural Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,4476,86430,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119092685', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119092685?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119092685&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119092685&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85119092685,SCOPUS_ID:85119092685,2-s2.0-85119092685,Path planning generator with metadata through a domain change by gan between physical and virtual environments,Maldonado-Romo J.,Sensors,14248220,,21,22,,2021-11-01,November-2 2021,10.3390/s21227667,0,"[{'@_fa': 'true', 'affilname': 'Instituto Politécnico Nacional', 'affiliation-city': 'Mexico City', 'affiliation-country': 'Mexico'}]",Journal,ar,Article,7667,130124,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119044024', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119044024?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119044024&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119044024&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85119044024,SCOPUS_ID:85119044024,2-s2.0-85119044024,LiDAR-driven spiking neural network for collision avoidance in autonomous driving,Shalumov A.,Bioinspiration and Biomimetics,17483182,17483190,16,6,,2021-11-01,November 2021,10.1088/1748-3190/ac290c,0,"[{'@_fa': 'true', 'affilname': 'Open University of Israel', 'affiliation-city': 'Tel Aviv-Yafo', 'affiliation-country': 'Israel'}]",Journal,ar,Article,066016,4700152290,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118940978', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118940978?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118940978&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118940978&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118940978,SCOPUS_ID:85118940978,2-s2.0-85118940978,Trajectory planning for unmanned aerial vehicle slung⁃payload aerial transportation system based on reinforcement learning,Xian B.,Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition),16715497,,51,6,2259-2267,2021-11-01,November 2021,10.13229/j.cnki.jdxbgxb20200577,0,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",Journal,ar,Article,,145365,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118560876', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118560876?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118560876&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118560876&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118560876,SCOPUS_ID:85118560876,2-s2.0-85118560876,Thick Cloud Region Content Generation of UAV Image Based on Two-Stage Model,Wei Z.,Jisuanji Xuebao/Chinese Journal of Computers,02544164,,44,11,2233-2247,2021-11-01,November 2021,10.11897/SP.J.1016.2021.02233,0,"[{'@_fa': 'true', 'affilname': 'Army Academy of Artillery and Air Defense', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",Journal,ar,Article,,26131,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118490984', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118490984?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118490984&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118490984&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118490984,SCOPUS_ID:85118490984,2-s2.0-85118490984,Integrating vehicle positioning and path tracking practices for an autonomous vehicle prototype in campus environment,Yang J.A.,Electronics (Switzerland),,20799292,10,21,,2021-11-01,November-1 2021,10.3390/electronics10212703,0,"[{'@_fa': 'true', 'affilname': 'National Taiwan University of Science and Technology', 'affiliation-city': 'Taipei', 'affiliation-country': 'Taiwan'}]",Journal,ar,Article,2703,21100829272,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
