doi,publication_date,publication,publisher,title,abstract,database
10.1109/LRA.2020.2967296,2020-01-17,p,IEEE,aerial single view depth completion with image guided uncertainty estimation," On the pursuit of autonomous flying robots, the scientific community has been developing onboard real-time algorithms for localisation, mapping and planning. Despite recent progress, the available solutions still lack accuracy and robustness in many aspects. While mapping for autonomous cars had a substantive boost using deep-learning techniques to enhance LIDAR measurements using image-based depth completion, the large viewpoint variations experienced by aerial vehicles are still posing major challenges for learning-based mapping approaches. In this letter, we propose a depth completion and uncertainty estimation approach that better handles the challenges of aerial platforms, such as large viewpoint and depth variations, and limited computing resources. The core of our method is a novel compact network that performs both depth completion and confidence estimation using an image-guided approach. Real-time performance onboard a GPU suitable for small flying robots is achieved by sharing deep features between both tasks. Experiments demonstrate that our network outperforms the state-of-the-art in depth completion and uncertainty estimation for single-view methods on mobile GPUs. We further present a new photorealistic aerial depth completion dataset that exhibits more challenging depth completion scenarios than the established indoor and car driving datasets. The dataset includes an open-source, visual-inertial UAV simulator for photo-realistic data generation. Our results show that our network trained on this dataset can be directly deployed on real-world outdoor aerial public datasets without fine-tuning or style transfer.",project-academic
10.1109/ICRA48506.2021.9560756,2021-05-30,p,IEEE,siamese anchor proposal network for high speed aerial tracking," In the domain of visual tracking, most deep learning-based trackers highlight the accuracy but casting aside efficiency. Therefore, their real-world deployment on mobile platforms like the unmanned aerial vehicle (UAV) is impeded. In this work, a novel two-stage Siamese network-based method is proposed for aerial tracking, i.e., stage-1 for high-quality anchor proposal generation, stage-2 for refining the anchor proposal. Different from anchor-based methods with numerous pre-defined fixed-sized anchors, our no-prior method can 1) increase the robustness and generalization to different objects with various sizes, especially to small, occluded, and fast-moving objects, under complex scenarios in light of the adaptive anchor generation, 2) make calculation feasible due to the substantial decrease of anchor numbers. In addition, compared to anchor-free methods, our framework has better performance owing to refinement at stage-2. Comprehensive experiments on three benchmarks have proven the superior performance of our approach, with a speed of ∼200 frames/s.",project-academic
,2020-12-19,a,,siamese anchor proposal network for high speed aerial tracking," In the domain of visual tracking, most deep learning-based trackers highlight the accuracy but casting aside efficiency. Therefore, their real-world deployment on mobile platforms like the unmanned aerial vehicle (UAV) is impeded. In this work, a novel two-stage Siamese network-based method is proposed for aerial tracking, i.e., stage-1 for high-quality anchor proposal generation, stage-2 for refining the anchor proposal. Different from anchor-based methods with numerous pre-defined fixed-sized anchors, our no-prior method can 1) increase the robustness and generalization to different objects with various sizes, especially to small, occluded, and fast-moving objects, under complex scenarios in light of the adaptive anchor generation, 2) make calculation feasible due to the substantial decrease of anchor numbers. In addition, compared to anchor-free methods, our framework has better performance owing to refinement at stage-2. Comprehensive experiments on three benchmarks have proven the superior performance of our approach, with a speed of around 200 frames/s.",project-academic
,2019-01-06,a,,exploring applications of deep reinforcement learning for real world autonomous driving systems," Deep Reinforcement Learning (DRL) has become increasingly powerful in recent years, with notable achievements such as Deepmind's AlphaGo. It has been successfully deployed in commercial vehicles like Mobileye's path planning system. However, a vast majority of work on DRL is focused on toy examples in controlled synthetic car simulator environments such as TORCS and CARLA. In general, DRL is still at its infancy in terms of usability in real-world applications. Our goal in this paper is to encourage real-world deployment of DRL in various autonomous driving (AD) applications. We first provide an overview of the tasks in autonomous driving systems, reinforcement learning algorithms and applications of DRL to AD systems. We then discuss the challenges which must be addressed to enable further progress towards real-world deployment.",project-academic
10.1109/ACCESS.2020.2981463,2020-03-18,a,IEEE,cooperative autonomous driving oriented mec aided 5g v2x prototype system design field tests and ai based optimization tools," Vehicle-to-Everything (V2X) requirements from cooperative autonomous driving can be characterized as ultra-reliable, low latency, high traffic, and high mobility. These requirements introduce great challenges in the air interface and protocol stack design, resource allocation, network deployment, and all the way up to mobile (or multi-access) edge computing (MEC), cloud and application layer. In this paper, we present a cooperative autonomous driving oriented MEC-aided 5G-V2X prototype system design and the rationale behind the design choices. The prototype system is developed based on a next-generation radio access network (NG-RAN) experimental platform, a cooperative driving vehicle platoon, and an MEC server providing high definition (HD) 3D dynamic map service. Field tests are conducted and the results demonstrate that the combination of 5G-V2X, MEC and cooperative autonomous driving can be pretty powerful. Considering the remaining challenges in the commercial deployment of 5G-V2X networks and future researches, we propose two artificial intelligence (AI) based optimization tools. The first is a deep-learning-based tool called deep spatio-temporal residual networks with a permutation operator (PST-ResNet). By providing city-wide user and network traffic prediction, PST-ResNet can help to reduce the capital expense (CAPEX) and operating expense (OPEX) costs of commercial 5G-V2X networks. The second is a swarm intelligence based optimization tool called subpopulation collaboration based dynamic self-adaption cuckoo Search (SC-DSCS), which can be widely used to solve complex optimization problems in future researches. The effectiveness of proposed optimization tools is verified by real-world data and benchmark functions.",project-academic
,2007-12-28,p,,toward domain neutral human level metacognition," We have found that implementing a metacognitive loop (MCL), which gives intelligent systems the ability to selfmonitor their ongoing performance and make targeted changes to their various action-determining components, can play an important role in helping systems cope with the unexpected problems and events that are the inevitable result of real-world deployment. In this paper, we discuss our work with MCL-enhanced intelligent systems, and describe the ontologies that allow MCL to reason about, appropriately classify and respond to the perfomance anomalies it detects. Introduction: The Hardest AI Problem and the Metacognitive Loop It is widely agreed that AI has been extremely successful in the narrow sense: given any of a large variety of well-defined AI problems, there is (or, so goes the common wisdom, there could easily be) an implemented solution using reasonably well-understood techniques. Or at the very least, there are solutions to similar problems, so that there is much reason to expect solutions to the problem at hand. But in the wide sense, AI is a disappointment. Although many AI systems are at or beyond human-level competence at the individual tasks for which they were designed (from chess playing to medical diagnosis), AI systems are nowhere near human-level competence across the board. This is not simply a matter of building a system that has numerous subsystems, one for each of hundreds or thousands of individual tasks. The combined skills of a doctor, lawyer, chess-master, linguist, etc., does not a human make. For humans have, in addition to whatever number of individual skills, the ability to do reasonably well when faced with situations for which they have not been specifically trained. This general competence, the ability to muddle through when faced with the unexpected or unfamiliar, we consider to be the the core of human-level common sense. Indeed, this ability may well be the key to how we are able to train: we recognize when we lack an ability, make a decision to gain it, and recognize when it is time to stop learning—when training is complete; or complete enough for our purposes; or when it is ineffective, too slow, too expensive, or no longer important. We Copyright c © 2007, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved. also (sometimes!) recognize when we are in over our heads, and then we ask for help or wisely give up. It is this general sort of ability that current AI systems lack, with the result that they tend to be brittle, easily breaking when confronted with situations beyond their set of narrow competencies. Why is this so? And why has the brittleness problem been so hard to solve? Our hypothesis is this: while there are well-established and sohpisticated AI technologies for dealing with change or novelty e.g., machine learning (ML) and commonsense reasoning (CSR), neither alone is adequate to the task in question, since each needs the other to realize its true potential. Thus ML needs reasoned guidance (a form of CSR) as to when, why, what, and how to learn; and CSR needs trainable modules (to which ML can be applied) so that the fruits of such reasoning can be applied to bring about better future performance. Proper melding of ML and CSR should, in our view, go a long way toward solving the brittleness problem and bringing us closer to the ultimate goal of AI. What will it take to meld ML and CSR in such a way as to solve the brittleness problem, i.e., to build a system that (under a wide range of unforeseen circumstances) adjusts itself instead of breaking? We have isolated four capacities. First of all, a system will need to know enough about what it is doing (its goals, its actions, and their results), so that it can detect—and then assess—when those goals are not being achieved (Brachman 2002). This is a key place where CSR comes into play, in reasoning after the fact about such goal failures. Other relevant approaches include case-based reasoning and meta-level planning (Cox 2005; Anderson & Oates 2007). Second, it will need to be able to make targeted changes to itself when there are indications of current inadequacies in what it is doing. This is where ML can come into play: if the desired changes involve any sort of training or adapting, the relevant trainable modules and their associated training processes must be invoked. Third, it will need to be able to apply the same first two capacities to monitor how a given self-change is working out (thus there is a form of recursion involved). This again involves CSR in order to assess whether the targeted change is occurring properly. And fourth, it will need to do this in real time. This is a tall order, but the elements are clear enough to allow progress. This paper reports on our work to date and where we see it headed. The rest of the paper is organized as follows: We outline our specific approach to these four capacities (which we call MCL: the metacognitive loop); we discuss some early pilot studies; we present three ontologies that allow MCL to reason about, and appropriately classify and respond to the perfomance anomolies it detects; we show how these ontologies have been applied to a simulated autonomous vehicle domain; and we conclude with some general considerations and a discussion of future work.",project-academic
10.3389/FROBT.2021.739023,2021-01-01,a,Frontiers Media SA,robust asv navigation through ground to water cross domain deep reinforcement learning," This paper presents a framework to alleviate the Deep Reinforcement Learning (DRL) training data sparsity problem that is present in challenging domains by creating a DRL agent training and vehicle integration methodology. The methodology leverages accessible domains to train an agent to solve navigational problems such as obstacle avoidance and allows the agent to generalize to challenging and inaccessible domains such as those present in marine environments with minimal further training. This is done by integrating a DRL agent at a high level of vehicle control and leveraging existing path planning and proven low-level control methodologies that are utilized in multiple domains. An autonomy package with a tertiary multilevel controller is developed to enable the DRL agent to interface at the prescribed high control level and thus be separated from vehicle dynamics and environmental constraints. An example Deep Q Network (DQN) employing this methodology for obstacle avoidance is trained in a simulated ground environment, and then its ability to generalize across domains is experimentally validated. Experimental validation utilized a simulated water surface environment and real-world deployment of ground and water robotic platforms. This methodology, when used, shows that it is possible to leverage accessible and data rich domains, such as ground, to effectively develop marine DRL agents for use on Autonomous Surface Vehicle (ASV) navigation. This will allow rapid and iterative agent development without the risk of ASV loss, the cost and logistic overhead of marine deployment, and allow landlocked institutions to develop agents for marine applications.",project-academic
10.1109/ICC.2019.8761117,2019-05-20,p,IEEE,machine learning for position prediction and determination in aerial base station system," A novel framework for dynamic 3-D deployment of unmanned aerial vehicle (UAV) in the aerial base station system (ABSS) that based on the machine learning algorithms is proposed. In the framework, the UAV is deployed as an aerial base station to serve a group of ground users and is placed based on the prediction of the users' mobility. The joint problem of prediction of users' track and 3-D deployment of the UAV is formulated for maximizing the sum transmit rate. A two-step approach is proposed for predicting the movement of users and for determining the dynamic 3-D placement of the UAV. Firstly, an echo state network (ESN) based prediction algorithm is utilized for predicting the future positions of users based on the real-world datasets collected from Twitter. Secondly, an iterative K-Means based algorithm is proposed for obtaining the optimal placement of UAV at each time slot based on the output of ESN model. Numerical results are illustrated for showing the superiority of the proposed algorithm over the prevalent algorithm on prediction tasks. The accuracy and efficiency of the proposed framework are also investigated. Additionally, compared with static placement of the UAV, the advantage of dynamic 3-D deployment is demonstrated.",project-academic
10.1016/B978-0-12-820276-0.00010-8,2020-05-18,c,Academic Press,unmanned aerial systems autonomy cognition and control," Abstract None None None None The increasing trend towards a higher level of autonomy in unmanned aerial systems (UASs) had led to lower requirements for control by the human operator and to an increasing capability to perform complex tasks by reacting to the environmental influences. Nevertheless, current UASs are designed to function in static and predictable environments. Therefore, it is envisaged that the existing uncertainties and dynamic changes, caused when an unmanned aerial vehicle (UAV) is operating in an unknown environment, would reduce its performance significantly. The uncertainties can be also incurred through interaction with other complex and intelligent systems, such as humans. We present a compact literature survey of UAS control and navigation as a basic knowledge to develop UASs from the perspective of the control engineer. Besides, we present several control strategies to maintain a UAS, as well as multi-UASs, under a network setting under various scenarios. Several simulations are given to illustrate the performance of the controllers in MATLAB®. Advances in computing power and algorithms currently enable the development of systems with a high degree of autonomy. Nonetheless, there is a large gap between practical operation in the real-world and laboratory implementation, as safe deployment of UASs requires validation of their behavior under almost all envisaged scenarios. A reliable and autonomous operation of such a system requires design and development of a cognitive control system that acquires knowledge and understanding of the surrounding environment via perception, reasoning, and learning. Cognitive control systems in UASs will enhance their safety and performance. Cognitive control can also be used in cooperative execution of complex tasks where multiple agents such as humans, machines, or both interact. Such UASs will have a great potential to be used in extreme environments such as search and rescue in the case of disaster, nuclear decommissioning operations, deep-sea exploration, mining, etc.",project-academic
10.3390/RS12244193,2020-12-21,a,Multidisciplinary Digital Publishing Institute (MDPI),post disaster building damage detection from earth observation imagery using unsupervised and transferable anomaly detecting generative adversarial networks," We present an unsupervised deep learning approach for post-disaster building damage detection that can transfer to different typologies of damage or geographical locations. Previous advances in this direction were limited by insufficient qualitative training data. We propose to use a state-of-the-art Anomaly Detecting Generative Adversarial Network (ADGAN) because it only requires pre-event imagery of buildings in their undamaged state. This approach aids the post-disaster response phase because the model can be developed in the pre-event phase and rapidly deployed in the post-event phase. We used the xBD dataset, containing pre- and post- event satellite imagery of several disaster-types, and a custom made Unmanned Aerial Vehicle (UAV) dataset, containing post-earthquake imagery. Results showed that models trained on UAV-imagery were capable of detecting earthquake-induced damage. The best performing model for European locations obtained a recall, precision and F1-score of 0.59, 0.97 and 0.74, respectively. Models trained on satellite imagery were capable of detecting damage on the condition that the training dataset was void of vegetation and shadows. In this manner, the best performing model for (wild)fire events yielded a recall, precision and F1-score of 0.78, 0.99 and 0.87, respectively. Compared to other supervised and/or multi-epoch approaches, our results are encouraging. Moreover, in addition to image classifications, we show how contextual information can be used to create detailed damage maps without the need of a dedicated multi-task deep learning framework. Finally, we formulate practical guidelines to apply this single-epoch and unsupervised method to real-world applications.",project-academic
10.1109/ICRA48506.2021.9561076,2021-05-30,p,IEEE,task driven deep image enhancement network for autonomous driving in bad weather," Visual perception in autonomous driving is a crucial part of a vehicle to navigate safely and sustainably in different traffic conditions. However, in bad weather such as heavy rain and haze, the performance of visual perception is greatly affected by several degrading effects. Recently, deep learning-based perception methods have addressed multiple degrading effects to reflect real-world bad weather cases but have shown limited success due to 1) high computational costs for deployment on mobile devices and 2) poor relevance between image enhancement and visual perception in terms of the model ability. To solve these issues, we propose a task-driven image enhancement network connected to the high-level vision task, which takes in an image corrupted by bad weather as input. Specifically, we introduce a novel low memory network to reduce most of the layer connections of dense blocks for less memory and computational cost while maintaining high performance. We also introduce a new task-driven training strategy to robustly guide the high-level task model suitable for both high-quality restoration of images and highly accurate perception. Experiment results demonstrate that the proposed method improves the performance among lane and 2D object detection, and depth estimation largely under adverse weather in terms of both low memory and accuracy.",project-academic
,2021-10-14,a,,task driven deep image enhancement network for autonomous driving in bad weather," Visual perception in autonomous driving is a crucial part of a vehicle to navigate safely and sustainably in different traffic conditions. However, in bad weather such as heavy rain and haze, the performance of visual perception is greatly affected by several degrading effects. Recently, deep learning-based perception methods have addressed multiple degrading effects to reflect real-world bad weather cases but have shown limited success due to 1) high computational costs for deployment on mobile devices and 2) poor relevance between image enhancement and visual perception in terms of the model ability. To solve these issues, we propose a task-driven image enhancement network connected to the high-level vision task, which takes in an image corrupted by bad weather as input. Specifically, we introduce a novel low memory network to reduce most of the layer connections of dense blocks for less memory and computational cost while maintaining high performance. We also introduce a new task-driven training strategy to robustly guide the high-level task model suitable for both high-quality restoration of images and highly accurate perception. Experiment results demonstrate that the proposed method improves the performance among lane and 2D object detection, and depth estimation largely under adverse weather in terms of both low memory and accuracy.",project-academic
10.1631/FITEE.1900637,2021-07-14,a,Zhejiang University Press,pre training with asynchronous supervised learning for reinforcement learning based autonomous driving," Rule-based autonomous driving systems may suffer from increased complexity with large-scale intercoupled rules, so many researchers are exploring learning-based approaches. Reinforcement learning (RL) has been applied in designing autonomous driving systems because of its outstanding performance on a wide variety of sequential control problems. However, poor initial performance is a major challenge to the practical implementation of an RL-based autonomous driving system. RL training requires extensive training data before the model achieves reasonable performance, making an RL-based model inapplicable in a real-world setting, particularly when data are expensive. We propose an asynchronous supervised learning (ASL) method for the RL-based end-to-end autonomous driving model to address the problem of poor initial performance before training this RL-based model in real-world settings. Specifically, prior knowledge is introduced in the ASL pre-training stage by asynchronously executing multiple supervised learning processes in parallel, on multiple driving demonstration data sets. After pre-training, the model is deployed on a real vehicle to be further trained by RL to adapt to the real environment and continuously break the performance limit. The presented pre-training method is evaluated on the race car simulator, TORCS (The Open Racing Car Simulator), to verify that it can be sufficiently reliable in improving the initial performance and convergence speed of an end-to-end autonomous driving model in the RL training stage. In addition, a real-vehicle verification system is built to verify the feasibility of the proposed pre-training method in a real-vehicle deployment. Simulations results show that using some demonstrations during a supervised pre-training stage allows significant improvements in initial performance and convergence speed in the RL training stage.",project-academic
,2020-03-23,a,,adversarial attacks on monocular depth estimation," Recent advances of deep learning have brought exceptional performance on many computer vision tasks such as semantic segmentation and depth estimation. However, the vulnerability of deep neural networks towards adversarial examples have caused grave concerns for real-world deployment. In this paper, we present to the best of our knowledge the first systematic study of adversarial attacks on monocular depth estimation, an important task of 3D scene understanding in scenarios such as autonomous driving and robot navigation. In order to understand the impact of adversarial attacks on depth estimation, we first define a taxonomy of different attack scenarios for depth estimation, including non-targeted attacks, targeted attacks and universal attacks. We then adapt several state-of-the-art attack methods for classification on the field of depth estimation. Besides, multi-task attacks are introduced to further improve the attack performance for universal attacks. Experimental results show that it is possible to generate significant errors on depth estimation. In particular, we demonstrate that our methods can conduct targeted attacks on given objects (such as a car), resulting in depth estimation 3-4x away from the ground truth (e.g., from 20m to 80m).",project-academic
,2019-06-20,a,,deep learning in the automotive industry recent advances and application examples," One of the most exciting technology breakthroughs in the last few years has been the rise of deep learning. State-of-the-art deep learning models are being widely deployed in academia and industry, across a variety of areas, from image analysis to natural language processing. These models have grown from fledgling research subjects to mature techniques in real-world use. The increasing scale of data, computational power and the associated algorithmic innovations are the main drivers for the progress we see in this field. These developments also have a huge potential for the automotive industry and therefore the interest in deep learning-based technology is growing. A lot of the product innovations, such as self-driving cars, parking and lane-change assist or safety functions, such as autonomous emergency braking, are powered by deep learning algorithms. Deep learning is poised to offer gains in performance and functionality for most ADAS (Advanced Driver Assistance System) solutions. Virtual sensing for vehicle dynamics application, vehicle inspection/heath monitoring, automated driving and data-driven product development are key areas that are expected to get the most attention. This article provides an overview of the recent advances and some associated challenges in deep learning techniques in the context of automotive applications.",project-academic
