doi,type,publication,publisher,publication_date,database,title,url,abstract,domain,id
10.1016/j.vrih.2022.01.004,filtered,Virtual Reality and Intelligent Hardware,scopus,2022-02-01,sciencedirect,virtual-reality-based digital twin of office spaces with social distance measurement feature,https://api.elsevier.com/content/abstract/scopus_id/85124517698,"Background
                  Social distancing is an effective way to reduce the spread of the SARS-CoV-2 virus. Many students and researchers have already attempted to use computer vision technology to automatically detect human beings in the field of view of a camera and help enforce social distancing. However, because of the present lockdown measures in several countries, the validation of computer vision systems using large-scale datasets is a challenge.
               
                  Methods
                  In this paper, a new method is proposed for generating customized datasets and validating deep-learning-based computer vision models using virtual reality (VR) technology. Using VR, we modeled a digital twin (DT) of an existing office space and used it to create a dataset of individuals in different postures, dresses, and locations. To test the proposed solution, we implemented a convolutional neural network (CNN) model for detecting people in a limited-sized dataset of real humans and a simulated dataset of humanoid figures.
               
                  Results
                  We detected the number of persons in both the real and synthetic datasets with more than 90% accuracy, and the actual and measured distances were significantly correlated (r=0.99). Finally, we used intermittent-layer- and heatmap-based data visualization techniques to explain the failure modes of a CNN.
               
                  Conclusions
                  A new application of DTs is proposed to enhance workplace safety by measuring the social distance between individuals. The use of our proposed pipeline along with a DT of the shared space for visualizing both environmental and human behavior aspects preserves the privacy of individuals and improves the latency of such monitoring systems because only the extracted information is streamed.",multimedia,11
http://arxiv.org/abs/2201.01369v1,filtered,arxiv,arxiv,2022-01-04 00:00:00,arxiv,"using simulation optimization to improve zero-shot policy transfer of
  quadrotors",http://arxiv.org/abs/2201.01369v1,"In this work, we show that it is possible to train low-level control policies
with reinforcement learning entirely in simulation and, then, deploy them on a
quadrotor robot without using real-world data to fine-tune. To render zero-shot
policy transfers feasible, we apply simulation optimization to narrow the
reality gap. Our neural network-based policies use only onboard sensor data and
run entirely on the embedded drone hardware. In extensive real-world
experiments, we compare three different control structures ranging from
low-level pulse-width-modulated motor commands to high-level attitude control
based on nested proportional-integral-derivative controllers. Our experiments
show that low-level controllers trained with reinforcement learning require a
more accurate simulation than higher-level control policies.",robotics,12
10.1109/iccece54139.2022.9712792,filtered,2022 2nd International Conference on Consumer Electronics and Computer Engineering (ICCECE),IEEE,2022-01-16 00:00:00,ieeexplore,design of deep learning based autonomous driving control algorithm,https://ieeexplore.ieee.org/document/9712792/,"In recent years, with the continuous development of the field of artificial intelligence, autonomous driving technology has gained widespread attention. In order to meet the purpose of changing driving behavior and completing driving tasks in real time without human intervention. In this paper, we study the design and implementation process of end-to-end autonomous driving algorithms based on computer vision and deep learning, and explain the elements of algorithm design from a theoretical perspective. The method of continuous steering angle prediction for autonomous driving based on convolutional neural network is proposed, as well as the method of network pre-training and overfitting prevention to improve the training effect and generalization ability. The difference with the traditional end-to-end control methods is that the traditional methods study the problem abstractly as a classification problem, describing the motion in terms of direction with a coarser granularity. The method proposed in this paper treats it as a regression problem, describing the motion in terms of steering angles, which provides a more accurate description of the motion and is more adaptive.",autonomous vehicle,13
10.1109/wacv51458.2022.00206,filtered,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),IEEE,2022-01-08 00:00:00,ieeexplore,plugging self-supervised monocular depth into unsupervised domain adaptation for semantic segmentation,https://ieeexplore.ieee.org/document/9707096/,"Although recent semantic segmentation methods have made remarkable progress, they still rely on large amounts of annotated training data, which are often infeasible to collect in the autonomous driving scenario. Previous works usually tackle this issue with Unsupervised Domain Adaptation (UDA), which entails training a network on synthetic images and applying the model to real ones while minimizing the discrepancy between the two domains. Yet, these techniques do not consider additional information that may be obtained from other tasks. Differently, we propose to exploit self-supervised monocular depth estimation to improve UDA for semantic segmentation. On one hand, we deploy depth to realize a plug-in component which can inject complementary geometric cues into any existing UDA method. We further rely on depth to generate a large and varied set of samples to Self-Train the final model. Our whole proposal allows for achieving state-of-the-art performance (58.8 mIoU) in the GTA5 → CS benchmark. Code is available at https://github.com/CVLAB-Unibo/d4-dbst.",autonomous vehicle,14
10.1007/s11042-021-11437-3,filtered,Multimedia Tools and Applications,Springer,2022-01-01 00:00:00,springer,deep reinforcement learning based control for autonomous vehicles in carla,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11042-021-11437-3,"Nowadays, Artificial Intelligence (AI) is growing by leaps and bounds in almost all fields of technology, and Autonomous Vehicles (AV) research is one more of them. This paper proposes the using of algorithms based on Deep Learning (DL) in the control layer of an autonomous vehicle. More specifically, Deep Reinforcement Learning (DRL) algorithms such as Deep Q-Network (DQN) and Deep Deterministic Policy Gradient (DDPG) are implemented in order to compare results between them. The aim of this work is to obtain a trained model, applying a DRL algorithm, able of sending control commands to the vehicle to navigate properly and efficiently following a determined route. In addition, for each of the algorithms, several agents are presented as a solution, so that each of these agents uses different data sources to achieve the vehicle control commands. For this purpose, an open-source simulator such as CARLA is used, providing to the system with the ability to perform a multitude of tests without any risk into an hyper-realistic urban simulation environment, something that is unthinkable in the real world. The results obtained show that both DQN and DDPG reach the goal, but DDPG obtains a better performance. DDPG perfoms trajectories very similar to classic controller as LQR. In both cases RMSE is lower than 0.1m following trajectories with a range 180-700m. To conclude, some conclusions and future works are commented.",autonomous vehicle,15
http://arxiv.org/abs/2201.05797v1,filtered,arxiv,arxiv,2022-01-15 00:00:00,arxiv,"finding label and model errors in perception data with learned
  observation assertions",http://arxiv.org/abs/2201.05797v1,"ML is being deployed in complex, real-world scenarios where errors have
impactful consequences. In these systems, thorough testing of the ML pipelines
is critical. A key component in ML deployment pipelines is the curation of
labeled training data. Common practice in the ML literature assumes that labels
are the ground truth. However, in our experience in a large autonomous vehicle
development center, we have found that vendors can often provide erroneous
labels, which can lead to downstream safety risks in trained models.
  To address these issues, we propose a new abstraction, learned observation
assertions, and implement it in a system called Fixy. Fixy leverages existing
organizational resources, such as existing (possibly noisy) labeled datasets or
previously trained ML models, to learn a probabilistic model for finding errors
in human- or model-generated labels. Given user-provided features and these
existing resources, Fixy learns feature distributions that specify likely and
unlikely values (e.g., that a speed of 30mph is likely but 300mph is unlikely).
It then uses these feature distributions to score labels for potential errors.
We show that FIxy can automatically rank potential errors in real datasets with
up to 2$\times$ higher precision compared to recent work on model assertions
and standard techniques such as uncertainty sampling.",autonomous vehicle,16
10.1016/j.engappai.2021.104514,filtered,Engineering Applications of Artificial Intelligence,scopus,2022-01-01,sciencedirect,instance-based defense against adversarial attacks in deep reinforcement learning,https://api.elsevier.com/content/abstract/scopus_id/85118104144,"Deep Reinforcement Learning systems are now a hot topic in Machine Learning for their effectiveness in many complex tasks, but their application in safety-critical domains (e.g., robot control or self-autonomous driving) remains dangerous without mechanism to detect and prevent risk situations. In Deep RL, such risk is mostly in the form of adversarial attacks, which introduce small perturbations to sensor inputs with the aim of changing the network-based decisions and thus cause catastrophic situations. In the light of these dangers, a promising line of research is that of providing these Deep RL algorithms with suitable defenses, especially when deploying in real environments. This paper suggests that this line of research could be greatly improved by the concepts from the existing research field of Safe Reinforcement Learning, which has been postulated as a family of RL algorithms capable of providing defenses against many forms of risks. However, the connections between Safe RL and the design of defenses against adversarial attacks in Deep RL remain largely unexplored. This paper seeks to explore precisely some of these connections. In particular, this paper proposes to reuse some of the concepts from existing Safe RL algorithms to create a novel and effective instance-based defense for the deployment stage of Deep RL policies. The proposed algorithm uses a risk function based on how far a state is from the state space known by the agent, that allows identifying and preventing adversarial situations. The success of the proposed defense has been evaluated in 4 Atari games.",autonomous vehicle,17
10.1109/jiot.2021.3096637,filtered,IEEE Internet of Things Journal,IEEE,2001-02-01 20:22:00,ieeexplore,an integrated framework for health state monitoring in a smart factory employing iot and big data techniques,https://ieeexplore.ieee.org/document/9481251/,"With the rapid growth in the use of various smart digital sensors, the Internet of Things (IoT) is a swiftly growing technology, which has contributed significantly to Industry 4.0 and the promotion of IoT-based smart factories, which gives rise to the new challenges of big data analytics and the implementation of machine learning techniques. This article proposes a practical framework that combines IoT techniques, a data lake, data analysis, and cloud computing for manufacturing equipment health-state monitoring and diagnostics in smart manufacturing. It addresses all the required aspects in the realization of such a system and allows the seamless interchange of data and functionality. Due to the specific characteristics of IoT sensor data (low quality, redundant multisources, partial labeling), we not only provide a promising framework but also give detailed insights and pay considerable attention to data quality issues. In the proposed framework, an ingestion procedure is designed to manage data collection, data security, data transformation and data storage issues. To improve the quality of IoT big data, a high-noise feature filter is proposed for automated preliminary sensor selection to suppress noisy features, followed by a noisy data cleaning module to provide good quality data for unbiased diagnosis modeling. The proposed framework can achieve seamless integration between IoT big data ingestion from the physical factory and machine learning-based data analytics in the virtual systems. It is built on top of the Apache Spark processing engine, being capable of working in both big data and real-time environments. One case study has been conducted based on a four-stage syngas compressor from real industries, which won the Best Industry Application of IoT at the BigInsights Data &amp; AI Innovation Awards. The experimental results demonstrate the effectiveness of both the proposed IoT-architecture and techniques to address the data quality issues.",health,18
10.1109/tie.2021.3065616,filtered,IEEE Transactions on Industrial Electronics,IEEE,2022-03-01 00:00:00,ieeexplore,health management of dry-type transformer based on broad learning system,https://ieeexplore.ieee.org/document/9380956/,"This article presents a novel health management method of the dry-type transformer to diagnose the early unhealthy behavior and evaluate the transformer's health condition by health score. The health condition diagnosis implemented by a proposed dynamic-weighted-feed-back broad learning system (BLS) (DW-FB-BLS) method, which helps to determine the BLS network structure effectively, and adjusts the weight of features in the online application to avoid reduction of accuracy caused by concept drift. Then, a rational score rule is set to evaluate the health condition of the dry-type transformer by health score, which allows intuitive presentation and preservation of transformer's health condition over a long period. Finally, the effectiveness and validity of the proposed method are verified based on the real field data of dry-type transformer. Satisfactory results for unhealthy behavior diagnosis and health evaluation are obtained, it shows that health management of this article can reflect the real health condition of dry-type transformer appropriately.",health,19
10.1109/access.2022.3141913,filtered,IEEE Access,IEEE,2000-01-01 00:00:00,ieeexplore,decentralized federated learning for healthcare networks: a case study on tumor segmentation,https://ieeexplore.ieee.org/document/9676574/,"Smart healthcare relies on artificial intelligence (AI) functions for learning and analysis of patient data. Since large and diverse datasets for training of Machine Learning (ML) models can rarely be found in individual medical centers, classical centralized AI requires moving privacy-sensitive data from medical institutions to data centers that process the fused information. Training on data centers thus requires higher communication resource/energy demands while violating privacy. This is considered today as a significant bottleneck in pursuing scientific collaboration across trans-national clinical medical research centers. Recently, federated learning (FL) has emerged as a distributed AI approach that enables the cooperative training of ML models, without the need of sharing patient data. This paper dives into the analysis of different FL methods and proposes a real-time distributed networking framework based on the Message Queuing Telemetry Transport (MQTT) protocol. In particular, we design a number of solutions for ML over networks, based on FL tools relying on a parameter server (PS) and fully decentralized paradigms driven by consensus methods. The proposed approach is validated in the context of brain tumor segmentation, using a modified version of the popular U-NET model with representative clinical datasets obtained from the daily clinical workflow. The FL process is implemented on multiple physically separated machines located in different countries and communicating over the Internet. The real-time test-bed is used to obtain measurements of training accuracy vs. latency trade-offs, and to highlight key operational conditions that affect the performance in real deployments.",health,20
10.1007/978-3-030-80928-7_10,filtered,Machine Learning for Critical Internet of Medical Things,Springer,2022-01-01 00:00:00,springer,aiiomt: iomt-based system-enabled artificial intelligence for enhanced smart healthcare systems,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-80928-7_10,"The healthcare system has been on the frontline in recent years, researchers have tried to find solutions to different illnesses and sickness by applying various modern methods. But the major difference among them is that in recent years, other powerful new tools have emerged, which could be used as an instrument in the healthcare system and keeping it within reasonable limits. One of those technological tools is the Internet of Medical Things (IoMT) and Artificial intelligence (AI). Recently, AI enabled with IoMT-based systems is causing a paradigm shift in the healthcare zone, and the applicability might yield profit especially in diagnosis, prediction, and treatment of different diseases outbreak. The application of AI enabled with IoT-based systems in the healthcare system can be expediting the diagnoses and monitoring of disease and minimizes the burden of medical processes. Therefore, this chapter reviews the applicability of AiIoMT-based system in healthcare systems and the research challenges in deployment of AiIoMT system. The chapter also proposed an AiIoMT-based framework for diagnosis and monitoring of patients in real time. The model was tested using cytology image dataset and evaluated based on accuracy, sensitivity, specificity, F-score, and precision. The findings show a greater diagnosis accuracy of 99.5%, which shows that the AI model is a promising algorithm for the diagnosis of diseases in an IoMT-based system. The diagnosis, prediction, treatment, screening, and medication in the healthcare system have significantly improved with the continuing expansion in the methods having seriously reduced human intervention in medical practice.",health,21
http://arxiv.org/abs/2202.01176v1,filtered,arxiv,arxiv,2022-02-02 00:00:00,arxiv,epidemic dreams: dreaming about health during the covid-19 pandemic,http://arxiv.org/abs/2202.01176v1,"The continuity hypothesis of dreams suggests that the content of dreams is
continuous with the dreamer's waking experiences. Given the unprecedented
nature of the experiences during COVID-19, we studied the continuity hypothesis
in the context of the pandemic. We implemented a deep-learning algorithm that
can extract mentions of medical conditions from text and applied it to two
datasets collected during the pandemic: 2,888 dream reports (dreaming life
experiences), and 57M tweets mentioning the pandemic (waking life experiences).
The health expressions common to both sets were typical COVID-19 symptoms
(e.g., cough, fever, and anxiety), suggesting that dreams reflected people's
real-world experiences. The health expressions that distinguished the two sets
reflected differences in thought processes: expressions in waking life
reflected a linear and logical thought process and, as such, described
realistic symptoms or related disorders (e.g., nasal pain, SARS, H1N1); those
in dreaming life reflected a thought process closer to the visual and emotional
spheres and, as such, described either conditions unrelated to the virus (e.g.,
maggots, deformities, snakebites), or conditions of surreal nature (e.g., teeth
falling out, body crumbling into sand). Our results confirm that dream reports
represent an understudied yet valuable source of people's health experiences in
the real world.",health,22
http://arxiv.org/abs/2201.05115v1,filtered,arxiv,arxiv,2022-01-13 00:00:00,arxiv,functional anomaly detection: a benchmark study,http://arxiv.org/abs/2201.05115v1,"The increasing automation in many areas of the Industry expressly demands to
design efficient machine-learning solutions for the detection of abnormal
events. With the ubiquitous deployment of sensors monitoring nearly
continuously the health of complex infrastructures, anomaly detection can now
rely on measurements sampled at a very high frequency, providing a very rich
representation of the phenomenon under surveillance. In order to exploit fully
the information thus collected, the observations cannot be treated as
multivariate data anymore and a functional analysis approach is required. It is
the purpose of this paper to investigate the performance of recent techniques
for anomaly detection in the functional setup on real datasets. After an
overview of the state-of-the-art and a visual-descriptive study, a variety of
anomaly detection methods are compared. While taxonomies of abnormalities (e.g.
shape, location) in the functional setup are documented in the literature,
assigning a specific type to the identified anomalies appears to be a
challenging task. Thus, strengths and weaknesses of the existing approaches are
benchmarked in view of these highlighted types in a simulation study. Anomaly
detection methods are next evaluated on two datasets, related to the monitoring
of helicopters in flight and to the spectrometry of construction materials
namely. The benchmark analysis is concluded by recommendation guidance for
practitioners.",health,23
http://arxiv.org/abs/2201.01943v1,filtered,arxiv,arxiv,2022-01-06 00:00:00,arxiv,"machine learning: algorithms, models, and applications",http://arxiv.org/abs/2201.01943v1,"Recent times are witnessing rapid development in machine learning algorithm
systems, especially in reinforcement learning, natural language processing,
computer and robot vision, image processing, speech, and emotional processing
and understanding. In tune with the increasing importance and relevance of
machine learning models, algorithms, and their applications, and with the
emergence of more innovative uses cases of deep learning and artificial
intelligence, the current volume presents a few innovative research works and
their applications in real world, such as stock trading, medical and healthcare
systems, and software automation. The chapters in the book illustrate how
machine learning and deep learning algorithms and models are designed,
optimized, and deployed. The volume will be useful for advanced graduate and
doctoral students, researchers, faculty members of universities, practicing
data scientists and data engineers, professionals, and consultants working on
the broad areas of machine learning, deep learning, and artificial
intelligence.",health,24
10.1016/j.physc.2021.1354007,filtered,Physica C: Superconductivity and its Applications,scopus,2022-02-15,sciencedirect,optical fibre based quench detection in hts applications using machine learning classifiers,https://api.elsevier.com/content/abstract/scopus_id/85122309535,"A Mach-Zehnder Interferometer (MZI) based optical fibre sensing technique, developed and patented by EPFL, is an efficient and economical way to detect hotspots in High Temperature Superconductor (HTS) applications. Due to the MZI sensitivity being a composite of strain sensitive and temperature sensitive contributions, the MZI gives an instantaneous response to a quench (within 10 ms), because of the quick strain transfer to the optical fibre. However, the MZI output signal can also manifest the environmental noise caused by mechanical vibrations, bubbling in the cryostat and temperature variations, along with the response to the quench. This presents the problems of false alarms and indiscernible response to a quench. Discrete wavelet transform (DWT) has been proven to be a useful tool for feature extraction in different fields requiring signal categorization and hence holds the potential to enable quench recognition in the MZI output. This paper proposes an effective approach of performing DWT based feature extraction on experimental data and subsequently using the extracted features for the MZI response classification using two machine learning based classification techniques: k-nearest neighbours (KNN) and Artificial Neural Network (ANN). For this manuscript, experiments were performed using MZI for quench detection in an HTS tape. Feature extraction was then implemented on these experimental measurements using discrete wavelet coefficients extracted at different decomposition levels from the MZI output; these features were then used to train the KNN and ANN models for identifying quench in the MZI signal. This method could be a valuable supplement to the MZI technique by enabling the development of a real time application that can process the MZI output data as well as eliminate the occurrences of false alarms; thereby facilitating reliable quench detection. With this development, the MZI technique would become an even more attractive solution for the health monitoring of HTS applications.",health,25
